Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
HDL,50.27,"6,792.00","6,925.00","6,750.00","6,800.00","6,834.06","34,193.00","6,790.00","233,676,927.60","1,047",10.00,175.00,0.15,2.59,-0.50,"5,160.72","4,913.38","7,938.00","1,740.00",09_01_2021
HDL,58.66,"7,160.00","7,269.00","7,133.00","7,174.00","7,196.62","18,314.00","7,101.00","131,798,833.80",440,73.00,136.00,1.03,1.91,-0.32,"5,999.34","5,439.92","7,938.00","1,852.00",11_03_2021
HDL,60.89,"7,160.00","7,269.00","7,133.00","7,174.00","7,196.62","18,314.00","7,101.00","131,798,833.80",440,73.00,136.00,1.03,1.91,-0.32,"5,999.34","5,439.92","7,938.00","1,852.00",11_05_2021
HDL,60.89,"7,160.00","7,269.00","7,133.00","7,174.00","7,196.62","18,314.00","7,101.00","131,798,833.80",440,73.00,136.00,1.03,1.91,-0.32,"5,999.34","5,439.92","7,938.00","1,852.00",11_06_2021
HDL,60.89,"7,160.00","7,269.00","7,133.00","7,174.00","7,196.62","18,314.00","7,101.00","131,798,833.80",440,73.00,136.00,1.03,1.91,-0.32,"5,999.34","5,439.92","7,938.00","1,852.00",11_07_2021
HDL,61.68,"7,269.00","7,269.00","7,110.00","7,130.00","7,183.07","9,120.00","7,174.00","65,509,592.50",210,-44.00,159.00,-0.61,2.24,-0.74,"6,021.08","5,452.09","7,938.00","2,000.00",11_08_2021
HDL,51.58,"7,062.00","7,125.60","6,895.00","6,900.00","6,990.47","16,449.00","7,130.00","114,986,207.40",610,-230.00,230.60,-3.23,3.34,-1.31,"6,041.37","5,463.68","7,938.00","2,170.00",11_09_2021
HDL,47.77,"7,062.00","7,125.60","6,895.00","6,900.00","6,990.47","16,449.00","7,130.00","114,986,207.40",610,-230.00,230.60,-3.23,3.34,-1.31,"6,041.37","5,463.68","7,938.00","2,170.00",11_10_2021
HDL,45.72,"7,000.00","7,000.00","6,763.00","6,910.00","6,872.13","15,307.00","6,900.00","105,191,642.00",558,10.00,237.00,0.14,3.50,0.55,"6,060.93","5,475.96","7,938.00","2,300.00",11_11_2021
HDL,45.04,"7,000.00","7,000.00","6,763.00","6,910.00","6,872.13","15,307.00","6,900.00","105,191,642.00",558,10.00,237.00,0.14,3.50,0.55,"6,060.93","5,475.96","7,938.00","2,300.00",11_12_2021
HDL,45.04,"7,000.00","7,000.00","6,763.00","6,910.00","6,872.13","15,307.00","6,900.00","105,191,642.00",558,10.00,237.00,0.14,3.50,0.55,"6,060.93","5,475.96","7,938.00","2,300.00",11_13_2021
HDL,42.99,"6,910.00","6,910.00","6,801.00","6,820.00","6,857.32","13,961.00","6,910.00","95,735,074.50",388,-90.00,109.00,-1.30,1.60,-0.55,"6,079.73","5,487.96","7,938.00","2,541.00",11_14_2021
HDL,43.42,"6,950.00","7,000.00","6,825.00","6,839.00","6,897.89","13,023.00","6,820.00","89,831,187.00",304,19.00,175.00,0.28,2.56,-0.86,"6,098.98","5,500.45","7,938.00","2,541.00",11_15_2021
HDL,43.88,"6,875.00","6,994.00","6,800.00","6,994.00","6,912.96","9,340.00","6,839.00","64,567,010.40",278,155.00,194.00,2.27,2.85,1.16,"6,119.47","5,514.58","7,938.00","2,541.00",11_16_2021
HDL,58.50,"6,854.20","7,085.00","6,854.20","6,901.00","6,966.60","10,450.00","6,994.00","72,800,996.70",298,-93.00,230.80,-1.33,3.37,-0.95,"6,138.28","5,528.75","7,938.00","2,541.00",11_17_2021
HDL,42.68,"6,880.00","6,966.00","6,800.20","6,810.00","6,853.70","9,820.00","6,901.00","67,303,367.60",317,-91.00,165.80,-1.32,2.44,-0.64,"6,156.49","5,541.08","7,938.00","2,541.00",11_18_2021
HDL,45.75,"6,880.00","6,966.00","6,800.20","6,810.00","6,853.70","9,820.00","6,901.00","67,303,367.60",317,-91.00,165.80,-1.32,2.44,-0.64,"6,156.49","5,541.08","7,938.00","2,541.00",11_19_2021
HDL,45.75,"6,880.00","6,966.00","6,800.20","6,810.00","6,853.70","9,820.00","6,901.00","67,303,367.60",317,-91.00,165.80,-1.32,2.44,-0.64,"6,156.49","5,541.08","7,938.00","2,541.00",11_20_2021
HDL,41.05,"6,811.00","6,987.00","6,780.00","6,829.00","6,830.12","6,710.00","6,810.00","45,830,095.00",192,19.00,207.00,0.28,3.05,-0.02,"6,174.80","5,554.30","7,938.00","2,780.00",11_21_2021
HDL,41.74,"6,945.00","6,945.00","6,828.00","6,869.00","6,853.37","5,496.00","6,829.00","37,666,124.00",176,40.00,117.00,0.59,1.71,0.23,"6,193.96","5,567.92","7,938.00","2,780.00",11_22_2021
HDL,38.39,"6,800.10","6,889.00","6,750.00","6,800.00","6,800.38","8,917.00","6,869.00","60,638,951.80",265,-69.00,139.00,-1.00,2.06,-0.01,"6,213.06","5,581.10","7,938.00","2,780.00",11_23_2021
HDL,41.02,"6,765.00","6,850.00","6,680.00","6,819.00","6,748.74","6,292.00","6,800.00","42,463,069.20",226,19.00,170.00,0.28,2.54,1.03,"6,232.27","5,593.87","7,938.00","3,200.00",11_24_2021
HDL,45.84,"6,883.00","6,883.00","6,660.00","6,813.00","6,794.13","3,995.00","6,819.00","27,142,530.00",120,-6.00,223.00,-0.09,3.35,0.28,"6,251.30","5,607.26","7,938.00","3,480.00",11_25_2021
HDL,39.41,"6,883.00","6,883.00","6,660.00","6,813.00","6,794.13","3,995.00","6,819.00","27,142,530.00",120,-6.00,223.00,-0.09,3.35,0.28,"6,251.30","5,607.26","7,938.00","3,480.00",11_26_2021
HDL,39.41,"6,883.00","6,883.00","6,660.00","6,813.00","6,794.13","3,995.00","6,819.00","27,142,530.00",120,-6.00,223.00,-0.09,3.35,0.28,"6,251.30","5,607.26","7,938.00","3,480.00",11_27_2021
HDL,36.51,"6,691.00","6,780.00","6,630.00","6,665.00","6,678.95","13,393.00","6,813.00","89,451,123.00",394,-148.00,150.00,-2.17,2.26,-0.21,"6,269.34","5,620.11","7,938.00","3,480.00",11_28_2021
HDL,41.44,"6,695.00","6,785.00","6,551.00","6,580.00","6,629.65","11,363.00","6,665.00","75,332,736.00",332,-85.00,234.00,-1.28,3.57,-0.75,"6,286.67","5,632.72","7,938.00","3,480.00",11_29_2021
HDL,40.57,"6,680.00","6,700.00","6,444.00","6,497.00","6,477.15","15,804.00","6,580.00","102,364,922.00",493,-83.00,256.00,-1.26,3.97,0.31,"6,303.23","5,645.20","7,938.00","3,500.00",11_30_2021
HDL,41.56,"6,525.00","6,598.00","6,465.00","6,475.00","6,502.54","16,168.00","6,497.00","105,133,064.10",328,-22.00,133.00,-0.34,2.06,-0.43,"6,320.25","5,658.39","7,938.00","3,500.00",12_01_2021
HDL,45.47,"6,597.00","6,597.00","6,250.00","6,295.00","6,344.51","18,586.00","6,475.00","117,919,022.50",685,-180.00,347.00,-2.78,5.55,-0.79,"6,336.06","5,670.37","7,938.00","3,500.00",12_02_2021
HDL,45.88,"6,597.00","6,597.00","6,250.00","6,295.00","6,344.51","18,586.00","6,475.00","117,919,022.50",685,-180.00,347.00,-2.78,5.55,-0.79,"6,336.06","5,670.37","7,938.00","3,500.00",12_03_2021
HDL,45.88,"6,597.00","6,597.00","6,250.00","6,295.00","6,344.51","18,586.00","6,475.00","117,919,022.50",685,-180.00,347.00,-2.78,5.55,-0.79,"6,336.06","5,670.37","7,938.00","3,500.00",12_04_2021
HDL,44.98,"6,300.00","6,310.00","5,940.00","5,960.00","6,041.79","28,518.00","6,295.00","172,299,631.90",954,-335.00,370.00,-5.32,6.23,-1.37,"6,347.89","5,681.37","7,938.00","3,500.00",12_05_2021
HDL,43.75,"5,940.00","6,083.00","5,701.00","5,990.00","5,825.39","25,700.00","5,960.00","149,712,433.50",858,30.00,382.00,0.50,6.70,2.75,"6,360.06","5,692.77","7,938.00","3,500.00",12_06_2021
HDL,45.58,"6,100.00","6,100.00","5,860.00","5,897.00","5,975.33","12,636.00","5,990.00","75,504,320.00",423,-93.00,240.00,-1.55,4.10,-1.33,"6,371.37","5,702.25","7,938.00","3,500.00",12_07_2021
HDL,41.04,"5,850.00","5,880.00","5,600.00","5,650.00","5,707.80","16,576.00","5,897.00","94,612,442.50",624,-247.00,280.00,-4.19,5.00,-1.02,"6,380.45","5,710.58","7,938.00","3,626.00",12_08_2021
HDL,39.77,"5,600.00","5,710.00","5,501.00","5,689.90","5,607.05","15,793.00","5,650.00","88,552,205.20",433,39.90,209.00,0.71,3.80,1.46,"6,389.28","5,719.63","7,938.00","3,626.00",12_09_2021
HDL,43.96,"5,600.00","5,710.00","5,501.00","5,689.90","5,607.05","15,793.00","5,650.00","88,552,205.20",433,39.90,209.00,0.71,3.80,1.46,"6,389.28","5,719.63","7,938.00","3,626.00",12_10_2021
HDL,43.96,"5,600.00","5,710.00","5,501.00","5,689.90","5,607.05","15,793.00","5,650.00","88,552,205.20",433,39.90,209.00,0.71,3.80,1.46,"6,389.28","5,719.63","7,938.00","3,626.00",12_11_2021
HDL,43.31,"5,680.00","5,681.00","5,490.00","5,500.00","5,577.20","11,768.00","5,689.90","65,632,437.10",421,-189.90,191.00,-3.34,3.48,-1.40,"6,394.86","5,727.52","7,938.00","3,695.00",12_12_2021
HDL,36.64,"5,390.00","5,497.00","5,235.00","5,239.00","5,316.43","22,727.00","5,500.00","120,826,450.30",712,-261.00,262.00,-4.75,5.00,-1.48,"6,397.85","5,734.66","7,938.00","3,695.00",12_13_2021
HDL,40.72,"5,342.00","5,538.00","5,250.00","5,538.00","5,407.82","7,850.00","5,239.00","42,451,365.50",300,299.00,288.00,5.71,5.49,2.35,"6,402.26","5,743.58","7,938.00","3,695.00",12_14_2021
HDL,43.97,"5,648.00","5,774.00","5,510.00","5,720.00","5,670.83","22,545.00","5,538.00","127,848,765.50",749,182.00,264.00,3.29,4.79,0.86,"6,404.13","5,753.44","7,938.00","3,695.00",12_15_2021
HDL,48.44,"5,750.00","5,750.00","5,520.00","5,670.00","5,635.02","9,712.00","5,720.00","54,727,323.00",309,-50.00,230.00,-0.87,4.17,0.62,"6,403.57","5,762.33","7,938.00","3,695.00",12_16_2021
HDL,47.14,"5,750.00","5,750.00","5,520.00","5,670.00","5,635.02","9,712.00","5,720.00","54,727,323.00",309,-50.00,230.00,-0.87,4.17,0.62,"6,403.57","5,762.33","7,938.00","3,695.00",12_17_2021
HDL,47.14,"5,750.00","5,750.00","5,520.00","5,670.00","5,635.02","9,712.00","5,720.00","54,727,323.00",309,-50.00,230.00,-0.87,4.17,0.62,"6,403.57","5,762.33","7,938.00","3,695.00",12_18_2021
HDL,47.14,"5,750.00","5,750.00","5,520.00","5,670.00","5,635.02","9,712.00","5,720.00","54,727,323.00",309,-50.00,230.00,-0.87,4.17,0.62,"6,403.57","5,762.33","7,938.00","3,695.00",12_19_2021
HDL,44.46,"5,650.00","6,237.00","5,601.00","6,237.00","6,044.47","30,878.00","5,670.00","186,641,138.00","1,065",567.00,636.00,10.00,11.36,3.09,"6,410.63","5,773.92","7,938.00","3,695.00",12_20_2021
HDL,51.63,"6,361.70","6,616.00","6,361.70","6,400.00","6,462.12","22,573.00","6,237.00","145,869,420.50",719,163.00,254.30,2.61,4.00,-0.97,"6,419.05","5,785.59","7,938.00","3,695.00",12_21_2021
HDL,53.73,"6,528.00","7,040.00","6,528.00","7,000.00","6,972.35","98,023.00","6,400.00","683,450,652.10","3,142",600.00,512.00,9.38,7.84,0.40,"6,433.55","5,801.21","7,938.00","3,695.00",12_22_2021
HDL,56.98,"7,140.00","7,195.00","6,795.00","6,800.00","6,927.83","52,323.00","7,000.00","362,484,836.80","2,165",-200.00,400.00,-2.86,5.89,-1.88,"6,447.89","5,816.01","7,938.00","3,695.00",12_23_2021
HDL,57.42,"7,140.00","7,195.00","6,795.00","6,800.00","6,927.83","52,323.00","7,000.00","362,484,836.80","2,165",-200.00,400.00,-2.86,5.89,-1.88,"6,447.89","5,816.01","7,938.00","3,695.00",12_24_2021
HDL,57.42,"7,140.00","7,195.00","6,795.00","6,800.00","6,927.83","52,323.00","7,000.00","362,484,836.80","2,165",-200.00,400.00,-2.86,5.89,-1.88,"6,447.89","5,816.01","7,938.00","3,695.00",12_25_2021
HDL,55.80,"6,936.00","6,950.00","6,830.00","6,932.00","6,907.92","38,601.00","6,800.00","266,652,685.40","1,416",132.00,120.00,1.94,1.76,0.35,"6,462.03","5,831.37","7,938.00","3,695.00",12_26_2021
HDL,53.92,"6,975.00","6,998.00","6,750.00","6,799.00","6,888.63","31,083.00","6,932.00","214,119,301.50","1,165",-133.00,248.00,-1.92,3.67,-1.32,"6,476.06","5,846.08","7,938.00","3,695.00",12_27_2021
HDL,53.88,"6,910.00","6,950.00","6,700.00","6,918.00","6,884.29","38,340.00","6,799.00","263,943,527.10","1,146",119.00,250.00,1.75,3.73,0.49,"6,491.22","5,861.64","7,938.00","3,695.00",12_28_2021
HDL,37.38,"6,928.00","7,000.00","6,830.00","6,870.00","6,899.28","76,179.00","6,918.00","525,580,504.30","2,493",-48.00,170.00,-0.69,2.49,-0.43,"6,505.51","5,876.83","7,938.00","3,695.00",12_29_2021
HDL,49.80,"6,928.00","7,000.00","6,830.00","6,870.00","6,899.28","76,179.00","6,918.00","525,580,504.30","2,493",-48.00,170.00,-0.69,2.49,-0.43,"6,505.51","5,876.83","7,938.00","3,695.00",12_30_2021
HDL,49.80,"6,928.00","7,000.00","6,830.00","6,870.00","6,899.28","76,179.00","6,918.00","525,580,504.30","2,493",-48.00,170.00,-0.69,2.49,-0.43,"6,505.51","5,876.83","7,938.00","3,695.00",12_31_2021
HDL,49.80,"6,928.00","7,000.00","6,830.00","6,870.00","6,899.28","76,179.00","6,918.00","525,580,504.30","2,493",-48.00,170.00,-0.69,2.49,-0.43,"6,505.51","5,876.83","7,938.00","3,695.00",01_01_2022
HDL,51.34,"4,004.00","4,318.20","4,004.00","4,318.00","4,272.17","105,193.00","3,925.71","449,402,591.90","3,385",392.29,314.20,9.99,7.85,1.06,"6,498.24","5,877.40","7,938.00","3,695.00",01_02_2022
HDL,45.31,"4,404.30","4,440.00","4,220.00","4,249.00","4,320.70","65,839.00","4,318.00","284,470,570.50","2,373",-69.00,220.00,-1.60,5.21,-1.69,"6,491.16","5,877.44","7,938.00","3,695.00",01_03_2022
HDL,44.15,"4,250.00","4,298.00","4,200.00","4,214.00","4,233.31","25,045.00","4,249.00","106,023,226.30",938,-35.00,98.00,-0.82,2.33,-0.46,"6,483.69","5,877.56","7,938.00","3,725.00",01_04_2022
HDL,39.33,"4,298.00","4,298.00","4,135.00","4,141.00","4,173.59","24,304.00","4,214.00","101,434,907.00",997,-73.00,163.00,-1.73,3.94,-0.79,"6,475.28","5,876.81","7,938.00","3,725.00",01_05_2022
HDL,39.60,"4,141.00","4,193.00","4,121.00","4,170.00","4,168.78","21,060.00","4,141.00","87,794,523.70",678,29.00,72.00,0.70,1.75,0.03,"6,466.18","5,875.24","7,938.00","3,744.00",01_06_2022
HDL,50.20,"4,141.00","4,193.00","4,121.00","4,170.00","4,168.78","21,060.00","4,141.00","87,794,523.70",678,29.00,72.00,0.70,1.75,0.03,"6,466.18","5,875.24","7,938.00","3,744.00",01_07_2022
HDL,50.20,"4,141.00","4,193.00","4,121.00","4,170.00","4,168.78","21,060.00","4,141.00","87,794,523.70",678,29.00,72.00,0.70,1.75,0.03,"6,466.18","5,875.24","7,938.00","3,744.00",01_08_2022
HDL,50.67,"4,190.00","4,300.00","4,170.00","4,245.00","4,237.50","24,591.00","4,170.00","104,204,384.90",833,75.00,130.00,1.80,3.12,0.18,"6,454.18","5,874.32","7,938.00","3,879.00",01_09_2022
HDL,52.98,"4,299.00","4,310.00","4,230.00","4,245.00","4,262.15","18,536.00","4,245.00","79,003,284.20",691,0.00,80.00,0.00,1.89,-0.40,"6,442.58","5,873.68","7,938.00","3,879.00",01_10_2022
HDL,54.69,"4,290.00","4,290.00","4,235.00","4,257.90","4,255.61","24,307.00","4,245.00","103,441,005.10",785,12.90,55.00,0.30,1.30,0.05,"6,432.55","5,872.89","7,938.00","3,879.00",01_11_2022
HDL,59.48,"4,265.00","4,430.00","4,258.00","4,330.00","4,355.65","39,177.00","4,257.90","170,641,189.60","1,272",72.10,172.00,1.69,4.04,-0.59,"6,422.59","5,872.35","7,938.00","3,879.00",01_12_2022
HDL,62.64,"4,395.00","4,488.00","4,335.00","4,486.00","4,428.21","32,630.00","4,330.00","144,492,334.00","1,004",156.00,153.00,3.60,3.53,1.29,"6,413.27","5,872.34","7,938.00","3,879.00",01_13_2022
HDL,63.31,"4,395.00","4,488.00","4,335.00","4,486.00","4,428.21","32,630.00","4,330.00","144,492,334.00","1,004",156.00,153.00,3.60,3.53,1.29,"6,413.27","5,872.34","7,938.00","3,879.00",01_14_2022
HDL,63.31,"4,395.00","4,488.00","4,335.00","4,486.00","4,428.21","32,630.00","4,330.00","144,492,334.00","1,004",156.00,153.00,3.60,3.53,1.29,"6,413.27","5,872.34","7,938.00","3,879.00",01_15_2022
HDL,64.51,"4,575.00","4,898.00","4,575.00","4,888.00","4,793.96","44,963.00","4,486.00","215,550,767.70","1,683",402.00,323.00,8.96,7.06,1.92,"6,408.17","5,874.86","7,938.00","3,879.00",01_16_2022
HDL,66.71,"4,985.00","5,000.00","4,850.00","4,985.00","4,962.61","37,039.00","4,888.00","183,810,059.90","1,429",97.00,150.00,1.98,3.09,0.45,"6,403.89","5,878.33","7,938.00","3,879.00",01_17_2022
HDL,66.64,"5,020.00","5,049.00","4,745.00","4,830.00","4,876.74","42,000.00","4,985.00","204,823,249.80","1,606",-155.00,304.00,-3.11,6.41,-0.97,"6,398.42","5,880.92","7,938.00","3,879.00",01_18_2022
HDL,67.21,"4,910.00","4,910.00","4,745.00","4,780.00","4,803.43","25,852.00","4,830.00","124,178,336.30",994,-50.00,165.00,-1.04,3.48,-0.49,"6,392.32","5,883.65","7,938.00","3,879.00",01_19_2022
HDL,63.29,"4,844.00","4,845.00","4,736.00","4,830.00","4,814.44","19,851.00","4,780.00","95,571,466.60",705,50.00,109.00,1.05,2.30,0.32,"6,385.07","5,886.41","7,938.00","3,879.00",01_20_2022
HDL,58.60,"4,844.00","4,845.00","4,736.00","4,830.00","4,814.44","19,851.00","4,780.00","95,571,466.60",705,50.00,109.00,1.05,2.30,0.32,"6,385.07","5,886.41","7,938.00","3,879.00",01_21_2022
HDL,58.60,"4,844.00","4,845.00","4,736.00","4,830.00","4,814.44","19,851.00","4,780.00","95,571,466.60",705,50.00,109.00,1.05,2.30,0.32,"6,385.07","5,886.41","7,938.00","3,879.00",01_22_2022
HDL,60.43,"4,899.00","4,950.00","4,820.00","4,847.00","4,865.96","17,123.00","4,830.00","83,319,773.00",686,17.00,130.00,0.35,2.70,-0.39,"6,378.25","5,889.99","7,938.00","3,879.00",01_23_2022
HDL,58.14,"4,847.00","4,850.00","4,656.00","4,665.00","4,707.87","39,361.00","4,847.00","185,306,447.90","1,624",-182.00,194.00,-3.75,4.17,-0.92,"6,369.88","5,893.06","7,938.00","3,879.00",01_24_2022
HDL,61.24,"4,670.00","4,763.30","4,550.00","4,694.00","4,684.81","23,364.00","4,665.00","109,456,012.70",865,29.00,213.30,0.62,4.69,0.20,"6,361.50","5,895.11","7,938.00","3,879.00",01_25_2022
HDL,56.99,"4,730.00","4,740.00","4,570.00","4,614.00","4,619.80","18,485.00","4,694.00","85,396,982.60",752,-80.00,170.00,-1.70,3.72,-0.13,"6,351.30","5,896.58","7,938.00","3,879.00",01_26_2022
HDL,52.74,"4,619.00","4,672.00","4,606.00","4,607.00","4,625.69","10,162.00","4,614.00","47,006,279.40",395,-7.00,66.00,-0.15,1.43,-0.41,"6,338.77","5,897.37","7,938.00","3,879.00",01_27_2022
HDL,49.84,"4,619.00","4,672.00","4,606.00","4,607.00","4,625.69","10,162.00","4,614.00","47,006,279.40",395,-7.00,66.00,-0.15,1.43,-0.41,"6,338.77","5,897.37","7,938.00","3,879.00",01_28_2022
HDL,49.84,"4,619.00","4,672.00","4,606.00","4,607.00","4,625.69","10,162.00","4,614.00","47,006,279.40",395,-7.00,66.00,-0.15,1.43,-0.41,"6,338.77","5,897.37","7,938.00","3,879.00",01_29_2022
HDL,51.04,"4,699.00","4,950.00","4,699.00","4,799.00","4,782.43","19,619.00","4,607.00","93,826,517.70",671,192.00,251.00,4.17,5.34,0.35,"6,323.87","5,898.26","7,938.00","3,879.00",01_30_2022
HDL,52.26,"4,850.00","4,850.00","4,731.00","4,750.00","4,764.20","13,298.00","4,799.00","63,354,309.90",413,-49.00,119.00,-1.02,2.52,-0.30,"6,308.50","5,898.98","7,938.00","3,879.00",01_31_2022
HDL,50.56,"4,750.00","4,800.00","4,730.00","4,765.00","4,763.20","10,691.00","4,750.00","50,923,351.40",329,15.00,70.00,0.32,1.48,0.04,"6,294.54","5,899.73","7,938.00","3,879.00",02_01_2022
