Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
HEI,0.00,509.60,509.60,459.50,459.50,464.53,"39,935.00",510.48,"18,551,021.40",292,-50.98,50.10,-9.99,10.90,-1.09,-,-,509.60,459.50,08_10_2022
HEI,37.17,450.40,450.40,424.00,432.20,433.82,"106,384.00",459.50,"46,151,404.80",469,-27.30,26.40,-5.94,6.23,-0.37,-,-,509.60,424.00,08_11_2022
HEI,29.77,450.40,450.40,424.00,432.20,433.82,"106,384.00",459.50,"46,151,404.80",469,-27.30,26.40,-5.94,6.23,-0.37,-,-,509.60,424.00,08_12_2022
HEI,29.77,450.40,450.40,424.00,432.20,433.82,"106,384.00",459.50,"46,151,404.80",469,-27.30,26.40,-5.94,6.23,-0.37,-,-,509.60,424.00,08_13_2022
HEI,26.30,432.00,432.00,416.60,424.00,421.37,"18,955.00",432.20,"7,987,119.70",139,-8.20,15.40,-1.90,3.70,0.62,-,-,509.60,416.60,08_14_2022
HEI,20.67,430.00,438.60,400.90,435.00,412.85,"73,423.00",424.00,"30,312,370.10",322,11.00,37.70,2.59,9.40,5.09,-,-,509.60,400.90,08_15_2022
HEI,34.82,430.00,432.00,412.00,421.90,421.72,"29,833.00",435.00,"12,581,095.80",212,-13.10,20.00,-3.01,4.85,0.04,-,-,509.60,400.90,08_16_2022
HEI,26.87,416.50,434.00,411.00,424.90,418.96,"19,105.00",421.90,"8,004,230.50",117,3.00,23.00,0.71,5.60,1.40,-,-,509.60,400.90,08_17_2022
HEI,33.64,430.00,430.00,414.00,417.90,416.54,"36,151.00",424.90,"15,058,440.30",165,-7.00,16.00,-1.65,3.86,0.32,-,-,509.60,400.90,08_18_2022
HEI,38.64,430.00,430.00,414.00,417.90,416.54,"36,151.00",424.90,"15,058,440.30",165,-7.00,16.00,-1.65,3.86,0.32,-,-,509.60,400.90,08_19_2022
HEI,38.64,430.00,430.00,414.00,417.90,416.54,"36,151.00",424.90,"15,058,440.30",165,-7.00,16.00,-1.65,3.86,0.32,-,-,509.60,400.90,08_20_2022
