Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
HEIP,46.45,274.00,282.00,268.60,276.40,270.69,510.00,0.00,"138,050.00",6,276.40,13.40,0.00,4.99,2.07,-,-,282.00,214.20,09_02_2022
HEIP,37.67,274.00,282.00,268.60,276.40,270.69,510.00,0.00,"138,050.00",6,276.40,13.40,0.00,4.99,2.07,-,-,282.00,214.20,09_03_2022
HEIP,37.17,276.00,298.00,276.00,291.40,284.24,"11,192.00",276.40,"3,181,207.00",45,15.00,22.00,5.43,7.97,2.46,-,-,298.00,214.20,09_04_2022
HEIP,45.75,285.60,288.00,281.10,281.10,281.93,"1,162.00",291.40,"327,597.00",7,-10.30,6.90,-3.53,2.45,-0.29,-,-,298.00,214.20,09_05_2022
HEIP,35.04,286.70,292.40,280.00,291.20,284.46,"1,898.00",281.10,"539,908.60",20,10.10,12.40,3.59,4.43,2.31,-,-,298.00,214.20,09_06_2022
HEIP,30.57,285.40,285.40,285.40,285.40,285.40,10.00,291.20,"2,854.00",1,-5.80,0.00,-1.99,0.00,0.00,-,-,298.00,214.20,09_07_2022
HEIP,25.13,285.40,285.40,285.40,285.40,285.40,17.00,285.40,"4,851.80",1,0.00,0.00,0.00,0.00,0.00,-,-,298.00,214.20,09_08_2022
HEIP,23.16,285.40,285.40,285.40,285.40,285.40,17.00,285.40,"4,851.80",1,0.00,0.00,0.00,0.00,0.00,-,-,298.00,214.20,09_09_2022
HEIP,23.16,285.40,285.40,285.40,285.40,285.40,17.00,285.40,"4,851.80",1,0.00,0.00,0.00,0.00,0.00,-,-,298.00,214.20,09_10_2022
HEIP,22.53,291.00,291.00,268.80,268.80,279.90,"2,040.00",285.40,"571,005.00",9,-16.60,22.20,-5.82,8.26,-4.13,-,-,298.00,214.20,09_11_2022
HEIP,24.80,273.00,273.00,269.00,269.00,271.78,280.00,268.80,"76,099.00",3,0.20,4.00,0.07,1.49,-1.03,-,-,298.00,214.20,09_12_2022
HEIP,17.82,274.00,274.00,274.00,274.00,274.00,500.00,269.00,"137,000.00",1,5.00,0.00,1.86,0.00,0.00,-,-,298.00,214.20,09_13_2022
HEIP,21.81,279.40,291.80,276.40,281.80,284.96,"1,435.00",274.00,"408,921.00",12,7.80,15.40,2.85,5.57,-1.12,-,-,298.00,214.20,09_14_2022
HEIP,29.71,276.20,276.20,265.60,265.70,270.20,"2,524.00",281.80,"681,975.80",13,-16.10,10.60,-5.71,3.99,-1.69,-,-,298.00,214.20,09_15_2022
HEIP,30.57,261.00,281.00,260.50,281.00,264.64,"1,051.00",265.70,"278,135.50",9,15.30,20.50,5.76,7.87,5.82,-,-,298.00,214.20,09_16_2022
HEIP,31.70,261.00,281.00,260.50,281.00,264.64,"1,051.00",265.70,"278,135.50",9,15.30,20.50,5.76,7.87,5.82,-,-,298.00,214.20,09_17_2022
HEIP,29.78,275.40,275.40,265.00,265.00,274.11,366.00,281.00,"100,325.00",5,-16.00,10.40,-5.69,3.92,-3.44,-,-,298.00,214.20,09_18_2022
HEIP,18.06,275.40,275.40,265.00,265.00,274.11,366.00,281.00,"100,325.00",5,-16.00,10.40,-5.69,3.92,-3.44,-,-,298.00,214.20,09_19_2022
HEIP,18.43,259.70,259.70,259.70,259.70,259.70,10.00,265.00,"2,597.00",1,-5.30,0.00,-2.00,0.00,0.00,-,-,298.00,214.20,09_20_2022
HEIP,17.30,264.00,269.00,255.00,269.00,257.05,"1,471.00",259.70,"378,121.40",13,9.30,14.00,3.58,5.49,4.44,-,-,298.00,214.20,09_21_2022
HEIP,32.30,263.70,263.70,254.30,254.30,258.96,350.00,269.00,"90,635.00",6,-14.70,9.40,-5.46,3.70,-1.83,-,-,298.00,214.20,09_22_2022
HEIP,20.13,263.70,263.70,254.30,254.30,258.96,350.00,269.00,"90,635.00",6,-14.70,9.40,-5.46,3.70,-1.83,-,-,298.00,214.20,09_23_2022
HEIP,20.13,263.70,263.70,254.30,254.30,258.96,350.00,269.00,"90,635.00",6,-14.70,9.40,-5.46,3.70,-1.83,-,-,298.00,214.20,09_24_2022
HEIP,17.98,250.10,279.70,249.30,279.70,250.85,"1,630.00",254.30,"408,893.00",12,25.40,30.40,9.99,12.19,10.31,-,-,298.00,214.20,09_25_2022
HEIP,31.46,250.10,279.70,249.30,279.70,250.85,"1,630.00",254.30,"408,893.00",12,25.40,30.40,9.99,12.19,10.31,-,-,298.00,214.20,09_26_2022
HEIP,32.21,279.00,285.10,279.00,285.10,280.11,55.00,279.70,"15,406.00",2,5.40,6.10,1.93,2.19,1.75,-,-,298.00,214.20,09_27_2022
HEIP,27.74,290.50,290.50,290.50,290.50,290.50,10.00,285.10,"2,905.00",1,5.40,0.00,1.89,0.00,0.00,-,-,298.00,214.20,09_28_2022
HEIP,32.89,284.70,284.70,275.00,279.00,278.07,"816,282.00",290.50,"226,981,744.00",11,-11.50,9.70,-3.96,3.53,0.33,-,-,298.00,214.20,10_09_2022
HEIP,51.08,283.90,283.90,251.10,251.10,279.29,"593,932.00",279.00,"165,877,414.90",29,-27.90,32.80,-10.00,13.06,-11.23,-,-,298.00,214.20,10_10_2022
HEIP,34.08,247.30,256.00,247.00,256.00,247.72,"5,315.00",251.10,"1,316,650.00",12,4.90,9.00,1.95,3.64,3.23,-,-,298.00,214.20,10_11_2022
HEIP,25.29,251.00,251.00,246.00,251.00,246.32,"1,740.00",256.00,"428,592.00",11,-5.00,5.00,-1.95,2.03,1.87,-,-,298.00,214.20,10_12_2022
HEIP,25.06,247.10,250.00,238.00,250.00,243.07,"4,780.00",251.00,"1,161,896.80",16,-1.00,12.00,-0.40,5.04,2.77,-,-,298.00,214.20,10_13_2022
HEIP,25.90,247.10,250.00,238.00,250.00,243.07,"4,780.00",251.00,"1,161,896.80",16,-1.00,12.00,-0.40,5.04,2.77,-,-,298.00,214.20,10_14_2022
HEIP,25.90,247.10,250.00,238.00,250.00,243.07,"4,780.00",251.00,"1,161,896.80",16,-1.00,12.00,-0.40,5.04,2.77,-,-,298.00,214.20,10_15_2022
HEIP,26.02,250.00,250.00,236.50,247.50,242.62,"1,541.00",250.00,"373,884.40",13,-2.50,13.50,-1.00,5.71,1.97,-,-,298.00,214.20,10_16_2022
HEIP,36.38,252.40,261.90,240.00,251.40,257.43,"1,190.00",247.50,"306,340.00",13,3.90,21.90,1.58,9.13,-2.40,-,-,298.00,214.20,10_17_2022
HEIP,29.17,252.40,261.90,240.00,251.40,257.43,"1,190.00",247.50,"306,340.00",13,3.90,21.90,1.58,9.13,-2.40,-,-,298.00,214.20,10_18_2022
HEIP,28.36,256.40,256.40,241.40,249.90,250.03,60.00,251.40,"15,002.00",6,-1.50,15.00,-0.60,6.21,-0.05,-,-,298.00,214.20,10_19_2022
HEIP,27.25,254.80,254.80,238.00,238.10,240.10,559.00,249.90,"134,214.90",15,-11.80,16.80,-4.72,7.06,-0.84,-,-,298.00,214.20,10_20_2022
HEIP,23.99,254.80,254.80,238.00,238.10,240.10,559.00,249.90,"134,214.90",15,-11.80,16.80,-4.72,7.06,-0.84,-,-,298.00,214.20,10_21_2022
HEIP,23.99,254.80,254.80,238.00,238.10,240.10,559.00,249.90,"134,214.90",15,-11.80,16.80,-4.72,7.06,-0.84,-,-,298.00,214.20,10_22_2022
HEIP,23.99,240.10,249.90,235.50,249.90,239.48,330.00,238.10,"79,027.00",7,11.80,14.40,4.96,6.11,4.17,-,-,298.00,214.20,10_23_2022
HEIP,33.12,240.10,249.90,235.50,249.90,239.48,330.00,238.10,"79,027.00",7,11.80,14.40,4.96,6.11,4.17,-,-,298.00,214.20,10_24_2022
HEIP,33.12,240.10,249.90,235.50,249.90,239.48,330.00,238.10,"79,027.00",7,11.80,14.40,4.96,6.11,4.17,-,-,298.00,214.20,10_25_2022
HEIP,33.12,240.10,249.90,235.50,249.90,239.48,330.00,238.10,"79,027.00",7,11.80,14.40,4.96,6.11,4.17,-,-,298.00,214.20,10_26_2022
HEIP,33.12,240.10,249.90,235.50,249.90,239.48,330.00,238.10,"79,027.00",7,11.80,14.40,4.96,6.11,4.17,-,-,298.00,214.20,10_27_2022
HEIP,33.12,240.10,249.90,235.50,249.90,239.48,330.00,238.10,"79,027.00",7,11.80,14.40,4.96,6.11,4.17,-,-,298.00,214.20,10_28_2022
HEIP,33.12,240.10,249.90,235.50,249.90,239.48,330.00,238.10,"79,027.00",7,11.80,14.40,4.96,6.11,4.17,-,-,298.00,214.20,10_29_2022
