Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
HIDCLP,0.00,115.20,115.20,101.70,103.70,103.22,"166,062.00",113.00,"17,140,158.00",147,-9.30,13.50,-8.23,13.27,0.47,-,-,115.20,101.70,08_26_2022
HIDCLP,33.57,115.20,115.20,101.70,103.70,103.22,"166,062.00",113.00,"17,140,158.00",147,-9.30,13.50,-8.23,13.27,0.47,-,-,115.20,101.70,08_27_2022
HIDCLP,33.57,105.50,105.50,98.00,100.00,99.18,"77,430.00",103.70,"7,679,395.00",63,-3.70,7.50,-3.57,7.65,0.82,-,-,115.20,98.00,08_28_2022
HIDCLP,22.15,98.00,104.30,96.50,100.40,100.16,"16,850.00",100.00,"1,687,670.00",19,0.40,7.80,0.40,8.08,0.24,-,-,115.20,96.50,08_29_2022
HIDCLP,18.90,102.30,102.30,97.30,100.40,98.67,"63,770.00",100.40,"6,292,065.00",51,0.00,5.00,0.00,5.14,1.72,-,-,115.20,96.50,08_30_2022
HIDCLP,22.10,102.40,104.00,97.10,98.20,98.29,"34,940.00",100.40,"3,434,156.00",32,-2.20,6.90,-2.19,7.11,-0.09,-,-,115.20,96.50,08_31_2022
HIDCLP,20.56,98.20,106.30,98.00,100.00,99.95,"120,254.00",98.20,"12,019,451.00",116,1.80,8.30,1.83,8.47,0.05,-,-,115.20,96.50,09_01_2022
HIDCLP,36.92,101.90,106.80,99.90,105.50,102.97,"50,310.00",100.00,"5,180,282.30",53,5.50,6.90,5.50,6.91,2.40,-,-,115.20,96.50,09_02_2022
HIDCLP,36.30,101.90,106.80,99.90,105.50,102.97,"50,310.00",100.00,"5,180,282.30",53,5.50,6.90,5.50,6.91,2.40,-,-,115.20,96.50,09_03_2022
HIDCLP,35.80,103.40,107.30,103.10,107.30,105.55,"202,424.00",105.50,"21,366,420.60",131,1.80,4.20,1.71,4.07,1.63,-,-,115.20,96.50,09_04_2022
HIDCLP,50.09,105.20,108.00,104.10,105.50,105.94,"76,871.00",107.30,"8,143,570.90",68,-1.80,3.90,-1.68,3.75,-0.42,-,-,115.20,96.50,09_05_2022
HIDCLP,38.25,104.90,104.90,101.20,101.70,102.56,"51,890.00",105.50,"5,321,586.00",53,-3.80,3.70,-3.60,3.66,-0.84,-,-,115.20,96.50,09_06_2022
HIDCLP,36.52,103.70,104.90,100.90,104.50,102.74,"19,640.00",101.70,"2,017,803.00",35,2.80,4.00,2.75,3.96,1.68,-,-,115.20,96.50,09_07_2022
HIDCLP,16.99,102.50,103.90,102.00,103.00,102.18,"3,020.00",104.50,"308,569.00",5,-1.50,1.90,-1.44,1.86,0.80,-,-,115.20,96.50,09_08_2022
