Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
HPPL,39.89,560.00,602.80,543.10,573.00,574.92,"63,827.00",554.00,"36,695,581.00",457,19.00,59.70,3.43,10.99,-0.34,470.09,405.72,749.10,153.00,09_01_2021
HPPL,69.92,545.70,545.70,520.00,525.00,531.24,"37,753.00",535.00,"20,056,088.70",161,-10.00,25.70,-1.87,4.94,-1.19,498.39,463.19,749.10,206.00,11_03_2021
HPPL,57.80,545.70,545.70,520.00,525.00,531.24,"37,753.00",535.00,"20,056,088.70",161,-10.00,25.70,-1.87,4.94,-1.19,498.39,463.19,749.10,206.00,11_05_2021
HPPL,57.80,545.70,545.70,520.00,525.00,531.24,"37,753.00",535.00,"20,056,088.70",161,-10.00,25.70,-1.87,4.94,-1.19,498.39,463.19,749.10,206.00,11_06_2021
HPPL,57.80,545.70,545.70,520.00,525.00,531.24,"37,753.00",535.00,"20,056,088.70",161,-10.00,25.70,-1.87,4.94,-1.19,498.39,463.19,749.10,206.00,11_07_2021
HPPL,58.59,535.00,535.00,509.60,516.00,519.22,"11,112.00",525.00,"5,769,571.40",83,-9.00,25.40,-1.71,4.98,-0.62,499.26,464.37,749.10,206.00,11_08_2021
HPPL,51.05,507.10,519.80,472.60,486.00,489.27,"51,243.00",516.00,"25,071,644.10",290,-30.00,47.20,-5.81,9.99,-0.67,499.91,465.21,749.10,206.00,11_09_2021
HPPL,53.27,507.10,519.80,472.60,486.00,489.27,"51,243.00",516.00,"25,071,644.10",290,-30.00,47.20,-5.81,9.99,-0.67,499.91,465.21,749.10,206.00,11_10_2021
HPPL,51.22,477.00,480.00,460.00,466.00,468.27,"36,058.00",486.00,"16,884,974.70",274,-20.00,20.00,-4.12,4.35,-0.49,500.40,465.89,749.10,206.00,11_11_2021
HPPL,48.88,477.00,480.00,460.00,466.00,468.27,"36,058.00",486.00,"16,884,974.70",274,-20.00,20.00,-4.12,4.35,-0.49,500.40,465.89,749.10,206.00,11_12_2021
HPPL,48.88,477.00,480.00,460.00,466.00,468.27,"36,058.00",486.00,"16,884,974.70",274,-20.00,20.00,-4.12,4.35,-0.49,500.40,465.89,749.10,206.00,11_13_2021
HPPL,46.83,457.00,488.00,453.00,475.10,474.82,"20,000.00",466.00,"9,496,312.50",139,9.10,35.00,1.95,7.73,0.06,500.95,466.59,749.10,206.00,11_14_2021
HPPL,45.16,484.00,503.30,484.00,485.00,491.88,"32,122.00",475.10,"15,800,023.80",171,9.90,19.30,2.08,3.99,-1.42,501.34,467.24,749.10,206.00,11_15_2021
HPPL,47.98,486.00,510.00,486.00,505.00,499.85,"17,666.00",485.00,"8,830,372.10",160,20.00,24.00,4.12,4.94,1.02,501.94,468.10,749.10,206.00,11_16_2021
