Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
ICFC,49.47,"1,050.00","1,058.00","1,007.50","1,012.50","1,021.44","124,605.00","1,068.90","127,276,084.20",801,-56.40,50.50,-5.28,5.01,-0.88,519.23,444.37,"1,176.80",170.00,09_01_2021
ICFC,65.29,872.00,966.40,865.10,966.40,881.90,"141,668.00",878.60,"124,937,617.60",616,87.80,101.30,9.99,11.71,8.74,679.42,556.05,"1,176.80",255.00,11_03_2021
ICFC,65.83,872.00,966.40,865.10,966.40,881.90,"141,668.00",878.60,"124,937,617.60",616,87.80,101.30,9.99,11.71,8.74,679.42,556.05,"1,176.80",255.00,11_05_2021
ICFC,65.83,872.00,966.40,865.10,966.40,881.90,"141,668.00",878.60,"124,937,617.60",616,87.80,101.30,9.99,11.71,8.74,679.42,556.05,"1,176.80",255.00,11_06_2021
ICFC,65.83,872.00,966.40,865.10,966.40,881.90,"141,668.00",878.60,"124,937,617.60",616,87.80,101.30,9.99,11.71,8.74,679.42,556.05,"1,176.80",255.00,11_07_2021
ICFC,66.62,947.10,"1,063.00",890.00,"1,063.00",926.17,"241,944.00",966.40,"224,081,521.20","1,263",96.60,173.00,10.00,19.44,12.87,685.63,560.32,"1,176.80",255.00,11_08_2021
ICFC,65.28,"1,041.80","1,041.80",956.70,956.70,963.12,"134,685.00","1,063.00","129,717,732.20","1,090",-106.30,85.10,-10.00,8.90,-0.67,690.99,564.00,"1,176.80",255.00,11_09_2021
ICFC,59.51,"1,041.80","1,041.80",956.70,956.70,963.12,"134,685.00","1,063.00","129,717,732.20","1,090",-106.30,85.10,-10.00,8.90,-0.67,690.99,564.00,"1,176.80",255.00,11_10_2021
ICFC,57.46,937.60,937.60,861.10,861.10,869.94,"335,961.00",956.70,"292,265,064.10","1,968",-95.60,76.50,-9.99,8.88,-1.03,695.54,567.11,"1,176.80",255.00,11_11_2021
ICFC,57.73,937.60,937.60,861.10,861.10,869.94,"335,961.00",956.70,"292,265,064.10","1,968",-95.60,76.50,-9.99,8.88,-1.03,695.54,567.11,"1,176.80",255.00,11_12_2021
ICFC,57.73,937.60,937.60,861.10,861.10,869.94,"335,961.00",956.70,"292,265,064.10","1,968",-95.60,76.50,-9.99,8.88,-1.03,695.54,567.11,"1,176.80",255.00,11_13_2021
ICFC,55.68,861.10,947.20,812.10,862.00,861.17,"282,027.00",861.10,"242,872,690.60","1,022",0.90,135.10,0.10,16.64,0.10,700.09,570.24,"1,176.80",255.00,11_14_2021
ICFC,52.10,879.00,897.00,862.00,881.00,886.24,"146,918.00",862.00,"130,205,040.30",812,19.00,35.00,2.20,4.06,-0.60,704.77,573.33,"1,176.80",255.00,11_15_2021
ICFC,49.45,870.00,922.70,870.00,893.00,884.55,"127,434.00",881.00,"112,722,282.50",667,12.00,52.70,1.36,6.06,0.95,709.43,576.51,"1,176.80",255.00,11_16_2021
ICFC,48.24,910.80,910.80,875.00,899.90,892.32,"203,706.00",893.00,"181,771,111.20",761,6.90,35.80,0.77,4.09,0.84,714.12,579.79,"1,176.80",255.00,11_17_2021
ICFC,56.25,899.90,973.30,864.40,900.00,891.29,"152,420.00",899.90,"135,849,827.50",724,0.10,108.90,0.01,12.60,0.97,718.84,583.03,"1,176.80",255.00,11_18_2021
ICFC,54.50,899.90,973.30,864.40,900.00,891.29,"152,420.00",899.90,"135,849,827.50",724,0.10,108.90,0.01,12.60,0.97,718.84,583.03,"1,176.80",255.00,11_19_2021
ICFC,54.50,899.90,973.30,864.40,900.00,891.29,"152,420.00",899.90,"135,849,827.50",724,0.10,108.90,0.01,12.60,0.97,718.84,583.03,"1,176.80",255.00,11_20_2021
ICFC,49.80,891.00,891.00,865.00,865.00,875.66,"71,030.00",900.00,"62,197,881.90",330,-35.00,26.00,-3.89,3.01,-1.23,723.13,586.03,"1,176.80",255.00,11_21_2021
