Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
IHL,-,291.80,320.90,291.00,320.90,317.07,"69,635.00",291.80,"22,078,936.80","4,496",29.10,29.90,9.97,10.27,1.19,0.00,0.00,320.90,291.00,06_20_2023
IHL,-,327.00,352.90,320.90,340.10,337.29,"38,920.00",320.90,"13,127,518.30","3,512",19.20,32.00,5.98,9.97,0.82,0.00,0.00,352.90,291.00,06_21_2023
IHL,-,346.80,346.80,314.00,316.00,324.04,"34,344.00",340.10,"11,128,906.40","2,938",-25.60,32.80,-7.53,10.45,-2.55,0.00,0.00,346.80,291.00,06_22_2023
IHL,38.55,346.80,346.80,314.00,316.00,324.04,"34,344.00",340.10,"11,128,906.40","2,938",-25.60,32.80,-7.53,10.45,-2.55,0.00,0.00,346.80,291.00,06_23_2023
IHL,38.55,346.80,346.80,314.00,316.00,324.04,"34,344.00",340.10,"11,128,906.40","2,938",-25.60,32.80,-7.53,10.45,-2.55,0.00,0.00,346.80,291.00,06_24_2023
IHL,-,320.00,320.00,292.00,305.00,300.52,"34,233.00",316.00,"10,287,833.00","1,832",-11.00,28.00,-3.48,9.59,1.47,0.00,0.00,352.90,291.00,06_25_2023
IHL,-,299.30,320.00,294.00,312.00,302.29,"26,084.00",305.00,"7,884,962.70","1,184",7.00,26.00,2.30,8.84,3.11,0.00,0.00,352.90,291.00,06_26_2023
IHL,-,305.90,315.00,302.00,314.90,306.99,"15,285.00",312.00,"4,692,311.00",939,2.90,13.00,0.93,4.30,2.51,0.00,0.00,352.90,291.00,06_27_2023
IHL,-,315.00,320.00,290.20,294.00,302.83,"14,295.00",314.90,"4,328,908.50",701,-20.90,29.80,-6.64,10.27,-3.00,0.00,0.00,352.90,290.20,06_28_2023
IHL,36.30,315.00,320.00,290.20,294.00,302.83,"14,295.00",314.90,"4,328,908.50",701,-20.90,29.80,-6.64,10.27,-3.00,0.00,0.00,352.90,290.20,06_29_2023
