Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
ILBS,48.89,"1,708.00","1,774.00","1,697.00","1,726.00","1,724.90","11,914.00","1,741.00","20,550,425.60",173,-15.00,77.00,-0.86,4.54,0.06,"1,766.76","1,606.93","2,140.00",760.00,09_01_2021
ILBS,53.26,"1,825.00","1,825.00","1,805.00","1,822.00","1,815.16","1,774.00","1,791.00","3,220,088.70",43,31.00,20.00,1.73,1.11,0.38,"1,796.95","1,718.76","2,140.00",830.00,11_03_2021
ILBS,52.70,"1,825.00","1,825.00","1,805.00","1,822.00","1,815.16","1,774.00","1,791.00","3,220,088.70",43,31.00,20.00,1.73,1.11,0.38,"1,796.95","1,718.76","2,140.00",830.00,11_05_2021
ILBS,52.70,"1,825.00","1,825.00","1,805.00","1,822.00","1,815.16","1,774.00","1,791.00","3,220,088.70",43,31.00,20.00,1.73,1.11,0.38,"1,796.95","1,718.76","2,140.00",830.00,11_06_2021
ILBS,52.70,"1,825.00","1,825.00","1,805.00","1,822.00","1,815.16","1,774.00","1,791.00","3,220,088.70",43,31.00,20.00,1.73,1.11,0.38,"1,796.95","1,718.76","2,140.00",830.00,11_07_2021
ILBS,53.49,"1,786.00","1,820.00","1,766.00","1,786.00","1,788.87","3,159.00","1,822.00","5,651,034.80",41,-36.00,54.00,-1.98,3.06,-0.16,"1,796.85","1,720.53","2,140.00",835.00,11_08_2021
ILBS,52.86,"1,760.00","1,760.00","1,711.00","1,739.00","1,723.09","3,657.00","1,786.00","6,301,347.10",54,-47.00,49.00,-2.63,2.86,0.91,"1,796.48","1,721.24","2,140.00",844.00,11_09_2021
ILBS,47.88,"1,760.00","1,760.00","1,711.00","1,739.00","1,723.09","3,657.00","1,786.00","6,301,347.10",54,-47.00,49.00,-2.63,2.86,0.91,"1,796.48","1,721.24","2,140.00",844.00,11_10_2021
ILBS,45.83,"1,739.00","1,739.00","1,685.10","1,690.30","1,700.42","1,892.00","1,739.00","3,217,189.80",38,-48.70,53.90,-2.80,3.20,-0.60,"1,795.54","1,721.66","2,140.00",844.00,11_11_2021
ILBS,42.30,"1,739.00","1,739.00","1,685.10","1,690.30","1,700.42","1,892.00","1,739.00","3,217,189.80",38,-48.70,53.90,-2.80,3.20,-0.60,"1,795.54","1,721.66","2,140.00",844.00,11_12_2021
ILBS,42.30,"1,739.00","1,739.00","1,685.10","1,690.30","1,700.42","1,892.00","1,739.00","3,217,189.80",38,-48.70,53.90,-2.80,3.20,-0.60,"1,795.54","1,721.66","2,140.00",844.00,11_13_2021
ILBS,40.25,"1,657.00","1,703.40","1,625.00","1,699.00","1,676.60","8,155.00","1,690.30","13,672,683.50",147,8.70,78.40,0.51,4.82,1.32,"1,794.44","1,722.27","2,140.00",867.00,11_14_2021
ILBS,47.02,"1,676.00","1,754.00","1,672.00","1,754.00","1,721.89","6,704.00","1,699.00","11,543,531.40",139,55.00,82.00,3.24,4.90,1.83,"1,793.91","1,723.18","2,140.00",867.00,11_15_2021
ILBS,49.27,"1,720.10","1,789.00","1,720.10","1,760.00","1,762.69","3,332.00","1,754.00","5,873,293.00",131,6.00,68.90,0.34,4.01,-0.15,"1,793.45","1,724.62","2,140.00",867.00,11_16_2021
ILBS,61.55,"1,725.00","1,815.60","1,725.00","1,799.00","1,769.13","15,521.00","1,760.00","27,458,601.10",180,39.00,90.60,2.22,5.25,1.66,"1,793.10","1,726.30","2,140.00",867.00,11_17_2021
ILBS,66.19,"1,764.00","1,804.00","1,745.40","1,804.00","1,785.19","6,203.00","1,799.00","11,073,523.70",135,5.00,58.60,0.28,3.36,1.04,"1,792.89","1,727.18","2,140.00",867.00,11_18_2021
ILBS,61.78,"1,764.00","1,804.00","1,745.40","1,804.00","1,785.19","6,203.00","1,799.00","11,073,523.70",135,5.00,58.60,0.28,3.36,1.04,"1,792.89","1,727.18","2,140.00",867.00,11_19_2021
