Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
ILBSP,-,524.00,524.00,524.00,524.00,524.00,"5,000.00",0.00,"2,620,000.00",1,524.00,0.00,0.00,0.00,0.00,-,-,524.00,524.00,09_14_2022
ILBSP,32.71,524.00,524.00,524.00,524.00,524.00,"3,000.00",524.00,"1,572,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,524.00,524.00,09_27_2022
ILBSP,36.66,524.00,524.00,524.00,524.00,524.00,"7,500.00",524.00,"3,930,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,524.00,524.00,11_14_2022
ILBSP,43.25,524.00,524.00,524.00,524.00,524.00,"18,978.00",524.00,"9,944,472.00",1,0.00,0.00,0.00,0.00,0.00,-,-,524.00,524.00,11_15_2022
ILBSP,46.16,524.00,524.00,524.00,524.00,524.00,"22,610.00",524.00,"11,847,640.00",2,0.00,0.00,0.00,0.00,0.00,-,-,524.00,524.00,11_28_2022
ILBSP,45.78,524.00,524.00,524.00,524.00,524.00,"27,282.00",524.00,"14,295,768.00",1,0.00,0.00,0.00,0.00,0.00,-,-,524.00,524.00,11_30_2022
ILBSP,40.50,524.00,524.00,524.00,524.00,524.00,"10,262.00",524.00,"5,377,288.00",1,0.00,0.00,0.00,0.00,0.00,-,-,524.00,524.00,12_15_2022
ILBSP,36.09,524.00,524.00,524.00,524.00,524.00,"10,262.00",524.00,"5,377,288.00",1,0.00,0.00,0.00,0.00,0.00,-,-,524.00,524.00,12_16_2022
ILBSP,36.09,524.00,524.00,524.00,524.00,524.00,"10,262.00",524.00,"5,377,288.00",1,0.00,0.00,0.00,0.00,0.00,-,-,524.00,524.00,12_17_2022
ILBSP,40.71,524.00,524.00,524.00,524.00,524.00,"8,203.00",524.00,"4,298,372.00",1,0.00,0.00,0.00,0.00,0.00,-,-,524.00,524.00,12_29_2022
ILBSP,41.21,524.00,524.00,524.00,524.00,524.00,"8,203.00",524.00,"4,298,372.00",1,0.00,0.00,0.00,0.00,0.00,-,-,524.00,524.00,12_30_2022
ILBSP,41.21,524.00,524.00,524.00,524.00,524.00,"8,203.00",524.00,"4,298,372.00",1,0.00,0.00,0.00,0.00,0.00,-,-,524.00,524.00,12_31_2022
