Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
JALPA,0.00,318.60,318.60,318.60,318.60,319.14,30.00,0.00,"9,574.20",5,318.60,0.00,0.00,0.00,-0.17,-,-,318.60,318.60,03_14_2022
JALPA,45.29,318.60,318.60,318.60,318.60,314.87,18.00,318.60,"5,667.70",5,0.00,0.00,0.00,0.00,1.17,-,-,318.60,318.60,03_15_2022
JALPA,41.68,318.60,318.60,318.60,318.60,324.30,2.00,318.60,648.60,2,0.00,0.00,0.00,0.00,-1.79,-,-,318.60,318.60,03_16_2022
JALPA,38.01,318.60,318.60,318.60,318.60,324.30,2.00,318.60,648.60,2,0.00,0.00,0.00,0.00,-1.79,-,-,318.60,318.60,03_17_2022
JALPA,38.01,318.60,318.60,318.60,318.60,324.30,2.00,318.60,648.60,2,0.00,0.00,0.00,0.00,-1.79,-,-,318.60,318.60,03_18_2022
JALPA,38.01,318.60,318.60,318.60,318.60,324.30,2.00,318.60,648.60,2,0.00,0.00,0.00,0.00,-1.79,-,-,318.60,318.60,03_19_2022
JALPA,40.28,324.90,324.90,324.90,324.90,324.63,12.00,318.60,"3,895.60",3,6.30,0.00,1.98,0.00,0.08,-,-,324.90,318.60,03_20_2022
JALPA,55.16,319.70,326.00,319.70,326.00,322.56,33.00,324.90,"10,644.40",5,1.10,6.30,0.34,1.97,1.06,-,-,326.00,318.60,03_22_2022
JALPA,57.86,326.00,326.00,326.00,326.00,319.50,6.00,326.00,"1,917.00",1,0.00,0.00,0.00,0.00,1.99,-,-,326.00,318.60,03_23_2022
JALPA,50.64,332.50,332.50,332.50,332.50,332.50,10.00,326.00,"3,325.00",1,6.50,0.00,1.99,0.00,0.00,-,-,332.50,318.60,03_24_2022
JALPA,50.64,332.50,332.50,332.50,332.50,332.50,10.00,326.00,"3,325.00",1,6.50,0.00,1.99,0.00,0.00,-,-,332.50,318.60,03_24_2022
JALPA,50.36,332.50,332.50,332.50,332.50,332.50,10.00,326.00,"3,325.00",1,6.50,0.00,1.99,0.00,0.00,-,-,332.50,318.60,03_25_2022
JALPA,50.36,332.50,332.50,332.50,332.50,332.50,10.00,326.00,"3,325.00",1,6.50,0.00,1.99,0.00,0.00,-,-,332.50,318.60,03_26_2022
JALPA,49.71,332.50,332.50,332.50,332.50,328.78,5.00,332.50,"1,643.90",3,0.00,0.00,0.00,0.00,1.12,-,-,332.50,318.60,03_27_2022
JALPA,44.29,339.10,339.10,339.10,339.10,333.09,43.00,332.50,"14,322.70",10,6.60,0.00,1.98,0.00,1.77,-,-,339.10,318.60,03_28_2022
JALPA,54.45,345.80,352.70,345.80,352.70,345.12,54.00,339.10,"18,636.40",14,13.60,6.90,4.01,2.00,2.15,-,-,352.70,318.60,03_29_2022
JALPA,56.13,359.70,359.70,359.70,359.70,355.80,16.00,352.70,"5,692.80",3,7.00,0.00,1.98,0.00,1.08,-,-,359.70,318.60,03_30_2022
JALPA,50.31,366.80,374.10,366.80,374.10,369.67,27.00,359.70,"9,981.00",4,14.40,7.30,4.00,1.99,1.19,-,-,374.10,318.60,03_31_2022
JALPA,53.03,366.80,374.10,366.80,374.10,369.67,27.00,359.70,"9,981.00",4,14.40,7.30,4.00,1.99,1.19,-,-,374.10,318.60,04_01_2022
JALPA,53.03,366.80,374.10,366.80,374.10,369.67,27.00,359.70,"9,981.00",4,14.40,7.30,4.00,1.99,1.19,-,-,374.10,318.60,04_02_2022
JALPA,51.33,381.50,389.10,381.50,389.10,385.77,24.00,374.10,"9,258.40",5,15.00,7.60,4.01,1.99,0.86,-,-,389.10,318.60,04_03_2022
