Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
JBBL,51.03,575.00,585.00,565.00,568.00,575.18,"180,956.00",573.90,"104,082,328.50","1,432",-5.90,20.00,-1.03,3.54,-1.26,380.97,329.80,649.90,166.00,09_01_2021
JBBL,74.82,600.00,610.00,580.00,587.00,591.68,"223,282.00",594.00,"132,111,584.90","1,150",-7.00,30.00,-1.18,5.17,-0.80,471.53,394.04,649.90,205.00,11_03_2021
JBBL,69.78,600.00,610.00,580.00,587.00,591.68,"223,282.00",594.00,"132,111,584.90","1,150",-7.00,30.00,-1.18,5.17,-0.80,471.53,394.04,649.90,205.00,11_05_2021
JBBL,69.78,600.00,610.00,580.00,587.00,591.68,"223,282.00",594.00,"132,111,584.90","1,150",-7.00,30.00,-1.18,5.17,-0.80,471.53,394.04,649.90,205.00,11_06_2021
JBBL,69.78,600.00,610.00,580.00,587.00,591.68,"223,282.00",594.00,"132,111,584.90","1,150",-7.00,30.00,-1.18,5.17,-0.80,471.53,394.04,649.90,205.00,11_07_2021
JBBL,70.57,587.00,594.00,574.00,575.00,582.85,"143,366.00",587.00,"83,560,777.70",813,-12.00,20.00,-2.04,3.48,-1.37,474.13,396.00,649.90,205.00,11_08_2021
JBBL,61.00,575.00,575.00,543.90,549.00,555.05,"260,212.00",575.00,"144,430,721.00","1,542",-26.00,31.10,-4.52,5.72,-1.10,476.49,397.82,649.90,205.00,11_09_2021
JBBL,57.51,575.00,575.00,543.90,549.00,555.05,"260,212.00",575.00,"144,430,721.00","1,542",-26.00,31.10,-4.52,5.72,-1.10,476.49,397.82,649.90,205.00,11_10_2021
JBBL,55.46,538.10,558.00,532.10,545.00,542.80,"247,695.00",549.00,"134,448,693.10","1,340",-4.00,25.90,-0.73,4.87,0.40,478.83,399.59,649.90,205.00,11_11_2021
JBBL,47.68,538.10,558.00,532.10,545.00,542.80,"247,695.00",549.00,"134,448,693.10","1,340",-4.00,25.90,-0.73,4.87,0.40,478.83,399.59,649.90,205.00,11_12_2021
