Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
JBLB,58.67,"4,800.00","5,089.00","4,770.10","4,921.00","4,865.55","31,824.00","4,836.00","154,841,329.20","3,146",85.00,318.90,1.76,6.69,1.13,-,-,"5,516.90",890.00,09_01_2021
JBLB,56.05,"4,700.00","4,860.00","4,650.00","4,718.00","4,700.35","11,572.00","4,675.00","54,392,402.40",464,43.00,210.00,0.92,4.52,0.37,-,-,"5,516.90",890.00,11_03_2021
JBLB,48.34,"4,700.00","4,860.00","4,650.00","4,718.00","4,700.35","11,572.00","4,675.00","54,392,402.40",464,43.00,210.00,0.92,4.52,0.37,-,-,"5,516.90",890.00,11_05_2021
JBLB,48.34,"4,700.00","4,860.00","4,650.00","4,718.00","4,700.35","11,572.00","4,675.00","54,392,402.40",464,43.00,210.00,0.92,4.52,0.37,-,-,"5,516.90",890.00,11_06_2021
JBLB,48.34,"4,700.00","4,860.00","4,650.00","4,718.00","4,700.35","11,572.00","4,675.00","54,392,402.40",464,43.00,210.00,0.92,4.52,0.37,-,-,"5,516.90",890.00,11_07_2021
JBLB,49.13,"4,700.00","4,720.00","4,577.00","4,620.00","4,646.49","12,820.00","4,718.00","59,568,053.50",497,-98.00,143.00,-2.08,3.12,-0.57,-,-,"5,516.90",890.00,11_08_2021
JBLB,49.95,"4,600.00","4,615.00","4,480.00","4,490.00","4,524.18","14,468.00","4,620.00","65,455,774.50",633,-130.00,135.00,-2.81,3.01,-0.76,-,-,"5,516.90",890.00,11_09_2021
JBLB,47.13,"4,600.00","4,615.00","4,480.00","4,490.00","4,524.18","14,468.00","4,620.00","65,455,774.50",633,-130.00,135.00,-2.81,3.01,-0.76,-,-,"5,516.90",890.00,11_10_2021
JBLB,45.08,"4,500.00","4,564.00","4,351.00","4,500.00","4,496.36","11,172.00","4,490.00","50,233,379.00",567,10.00,213.00,0.22,4.90,0.08,-,-,"5,516.90",890.00,11_11_2021
JBLB,43.41,"4,500.00","4,564.00","4,351.00","4,500.00","4,496.36","11,172.00","4,490.00","50,233,379.00",567,10.00,213.00,0.22,4.90,0.08,-,-,"5,516.90",890.00,11_12_2021
JBLB,43.41,"4,500.00","4,564.00","4,351.00","4,500.00","4,496.36","11,172.00","4,490.00","50,233,379.00",567,10.00,213.00,0.22,4.90,0.08,-,-,"5,516.90",890.00,11_13_2021
JBLB,41.36,"4,525.00","4,525.00","4,390.00","4,470.10","4,456.76","8,000.00","4,500.00","35,654,090.50",387,-29.90,135.00,-0.66,3.08,0.30,-,-,"5,516.90",890.00,11_14_2021
JBLB,40.91,"4,401.00","4,549.00","4,401.00","4,535.10","4,518.03","8,308.00","4,470.10","37,535,799.70",421,65.00,148.00,1.45,3.36,0.38,-,-,"5,516.90",890.00,11_15_2021
JBLB,45.36,"4,625.80","4,650.00","4,540.00","4,589.00","4,579.33","8,561.00","4,535.10","39,203,635.00",466,53.90,110.00,1.19,2.42,0.21,-,-,"5,516.90",890.00,11_16_2021
JBLB,58.41,"4,589.00","4,645.00","4,540.00","4,555.00","4,598.47","11,254.00","4,589.00","51,751,162.90",526,-34.00,105.00,-0.74,2.31,-0.95,-,-,"5,516.90",890.00,11_17_2021
JBLB,60.37,"4,550.00","4,635.00","4,520.00","4,550.00","4,558.15","8,631.00","4,555.00","39,341,351.00",470,-5.00,115.00,-0.11,2.54,-0.18,-,-,"5,516.90",890.00,11_18_2021
JBLB,55.04,"4,550.00","4,635.00","4,520.00","4,550.00","4,558.15","8,631.00","4,555.00","39,341,351.00",470,-5.00,115.00,-0.11,2.54,-0.18,-,-,"5,516.90",890.00,11_19_2021
