Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
JOSHI,51.33,410.00,434.00,396.00,410.00,416.53,"17,153.00",410.00,"7,144,791.90",217,0.00,38.00,0.00,9.60,-1.59,251.31,206.45,507.00,59.00,09_01_2021
JOSHI,64.64,375.00,381.00,364.30,374.00,374.86,"8,132.00",379.00,"3,048,386.00",91,-5.00,16.70,-1.32,4.58,-0.23,323.02,258.27,507.00,102.00,11_03_2021
JOSHI,62.47,375.00,381.00,364.30,374.00,374.86,"8,132.00",379.00,"3,048,386.00",91,-5.00,16.70,-1.32,4.58,-0.23,323.02,258.27,507.00,102.00,11_05_2021
JOSHI,62.47,375.00,381.00,364.30,374.00,374.86,"8,132.00",379.00,"3,048,386.00",91,-5.00,16.70,-1.32,4.58,-0.23,323.02,258.27,507.00,102.00,11_06_2021
JOSHI,62.47,375.00,381.00,364.30,374.00,374.86,"8,132.00",379.00,"3,048,386.00",91,-5.00,16.70,-1.32,4.58,-0.23,323.02,258.27,507.00,102.00,11_07_2021
JOSHI,63.26,381.00,381.00,358.00,358.00,364.40,"10,479.00",374.00,"3,818,534.90",75,-16.00,23.00,-4.28,6.42,-1.79,324.56,259.58,507.00,102.00,11_08_2021
JOSHI,56.78,359.00,359.00,333.00,343.00,348.24,"5,557.00",358.00,"1,935,166.00",93,-15.00,26.00,-4.19,7.81,-1.53,326.00,260.79,507.00,102.00,11_09_2021
JOSHI,50.82,359.00,359.00,333.00,343.00,348.24,"5,557.00",358.00,"1,935,166.00",93,-15.00,26.00,-4.19,7.81,-1.53,326.00,260.79,507.00,102.00,11_10_2021
JOSHI,48.77,340.00,353.60,326.00,328.30,332.58,"9,054.00",343.00,"3,011,182.00",115,-14.70,27.60,-4.29,8.47,-1.30,327.38,261.95,507.00,102.00,11_11_2021
JOSHI,50.49,340.00,353.60,326.00,328.30,332.58,"9,054.00",343.00,"3,011,182.00",115,-14.70,27.60,-4.29,8.47,-1.30,327.38,261.95,507.00,102.00,11_12_2021
JOSHI,50.49,340.00,353.60,326.00,328.30,332.58,"9,054.00",343.00,"3,011,182.00",115,-14.70,27.60,-4.29,8.47,-1.30,327.38,261.95,507.00,102.00,11_13_2021
JOSHI,48.44,322.10,352.00,316.10,342.00,333.84,"6,886.00",328.30,"2,298,796.10",101,13.70,35.90,4.17,11.36,2.39,328.83,263.18,507.00,102.00,11_14_2021
JOSHI,47.88,348.80,357.00,336.50,345.20,351.34,"10,782.00",342.00,"3,788,169.10",80,3.20,20.50,0.94,6.09,-1.78,330.17,264.44,507.00,102.00,11_15_2021
JOSHI,50.99,352.10,377.40,346.00,369.00,361.77,"12,311.00",345.20,"4,453,738.50",109,23.80,31.40,6.89,9.08,1.96,331.56,265.83,507.00,102.00,11_16_2021
JOSHI,61.09,376.30,405.90,376.30,395.00,396.50,"44,975.00",369.00,"17,832,550.70",332,26.00,29.60,7.05,7.87,-0.38,333.22,267.36,507.00,102.00,11_17_2021
JOSHI,69.31,402.00,402.00,390.00,395.00,397.00,"39,109.00",395.00,"15,526,345.80",321,0.00,12.00,0.00,3.08,-0.51,334.77,268.88,507.00,102.00,11_18_2021
JOSHI,66.08,402.00,402.00,390.00,395.00,397.00,"39,109.00",395.00,"15,526,345.80",321,0.00,12.00,0.00,3.08,-0.51,334.77,268.88,507.00,102.00,11_19_2021
JOSHI,66.08,402.00,402.00,390.00,395.00,397.00,"39,109.00",395.00,"15,526,345.80",321,0.00,12.00,0.00,3.08,-0.51,334.77,268.88,507.00,102.00,11_20_2021
JOSHI,61.38,387.10,402.90,379.40,392.00,385.70,"19,509.00",395.00,"7,524,617.70",129,-3.00,23.50,-0.76,6.19,1.61,336.13,270.40,507.00,102.00,11_21_2021
JOSHI,57.13,385.00,399.00,385.00,385.60,389.02,"11,660.00",392.00,"4,535,954.50",116,-6.40,14.00,-1.63,3.64,-0.89,337.42,271.88,507.00,102.00,11_22_2021
JOSHI,52.86,386.00,386.00,356.00,371.00,371.36,"16,615.00",385.60,"6,170,101.90",110,-14.60,30.00,-3.79,8.43,-0.10,338.67,273.29,507.00,102.00,11_23_2021
JOSHI,48.30,363.60,396.70,356.60,389.00,376.91,"15,450.00",371.00,"5,823,252.20",129,18.00,40.10,4.85,11.25,3.11,340.02,274.77,507.00,102.00,11_24_2021
JOSHI,52.79,395.00,416.10,389.10,404.00,404.67,"56,949.00",389.00,"23,045,419.70",430,15.00,27.00,3.86,6.94,-0.17,341.53,276.32,507.00,102.00,11_25_2021
JOSHI,59.95,395.00,416.10,389.10,404.00,404.67,"56,949.00",389.00,"23,045,419.70",430,15.00,27.00,3.86,6.94,-0.17,341.53,276.32,507.00,102.00,11_26_2021
JOSHI,59.95,395.00,416.10,389.10,404.00,404.67,"56,949.00",389.00,"23,045,419.70",430,15.00,27.00,3.86,6.94,-0.17,341.53,276.32,507.00,102.00,11_27_2021
JOSHI,57.05,396.00,403.00,370.00,375.00,388.35,"25,735.00",404.00,"9,994,220.10",159,-29.00,33.00,-7.18,8.92,-3.56,342.73,277.74,507.00,102.00,11_28_2021
JOSHI,47.72,375.00,398.10,368.00,376.00,381.26,"12,218.00",375.00,"4,658,224.80",107,1.00,30.10,0.27,8.18,-1.40,343.75,279.16,507.00,102.00,11_29_2021
JOSHI,52.41,383.50,390.00,370.00,386.00,376.54,"5,774.00",376.00,"2,174,121.50",87,10.00,20.00,2.66,5.41,2.45,344.64,280.64,507.00,102.00,11_30_2021
JOSHI,44.44,393.70,395.00,377.50,377.50,386.24,"6,957.00",386.00,"2,687,059.60",80,-8.50,17.50,-2.20,4.64,-2.31,345.59,282.09,507.00,102.00,12_01_2021
JOSHI,33.59,370.10,391.00,358.10,380.00,366.62,"8,487.00",377.50,"3,111,540.00",83,2.50,32.90,0.66,9.19,3.52,346.65,283.55,507.00,102.00,12_02_2021
JOSHI,48.09,370.10,391.00,358.10,380.00,366.62,"8,487.00",377.50,"3,111,540.00",83,2.50,32.90,0.66,9.19,3.52,346.65,283.55,507.00,102.00,12_03_2021
JOSHI,48.09,370.10,391.00,358.10,380.00,366.62,"8,487.00",377.50,"3,111,540.00",83,2.50,32.90,0.66,9.19,3.52,346.65,283.55,507.00,102.00,12_04_2021
JOSHI,47.19,372.40,383.00,353.00,365.00,362.80,"17,687.00",380.00,"6,416,899.60",172,-15.00,30.00,-3.95,8.50,0.60,347.52,284.94,507.00,102.00,12_05_2021
JOSHI,32.23,357.70,375.00,330.00,375.00,358.26,"7,883.00",365.00,"2,824,197.00",99,10.00,45.00,2.74,13.64,4.46,348.52,286.39,507.00,102.00,12_06_2021
JOSHI,29.43,382.00,385.00,355.10,359.90,367.92,"6,528.00",375.00,"2,401,754.60",64,-15.10,29.90,-4.03,8.42,-2.23,349.49,287.73,507.00,102.00,12_07_2021
JOSHI,28.17,352.80,358.00,330.00,358.00,339.25,"15,150.00",359.90,"5,139,692.00",140,-1.90,28.00,-0.53,8.48,5.24,350.32,289.06,507.00,102.00,12_08_2021
JOSHI,39.23,351.00,358.00,322.20,349.30,338.05,"21,283.00",358.00,"7,194,675.50",162,-8.70,35.80,-2.43,11.11,3.22,351.05,290.35,507.00,102.00,12_09_2021
JOSHI,39.79,351.00,358.00,322.20,349.30,338.05,"21,283.00",358.00,"7,194,675.50",162,-8.70,35.80,-2.43,11.11,3.22,351.05,290.35,507.00,102.00,12_10_2021
JOSHI,39.79,351.00,358.00,322.20,349.30,338.05,"21,283.00",358.00,"7,194,675.50",162,-8.70,35.80,-2.43,11.11,3.22,351.05,290.35,507.00,102.00,12_11_2021
JOSHI,39.14,348.00,348.00,318.00,318.00,323.34,"12,396.00",349.30,"4,008,167.00",121,-31.30,30.00,-8.96,9.43,-1.68,351.56,291.47,507.00,102.00,12_12_2021
JOSHI,25.42,315.00,315.00,286.20,297.90,294.72,"18,829.00",318.00,"5,549,344.00",189,-20.10,28.80,-6.32,10.06,1.07,351.69,292.47,507.00,102.00,12_13_2021
JOSHI,29.04,301.10,321.50,301.10,320.20,317.07,"10,602.00",297.90,"3,361,625.20",64,22.30,20.40,7.49,6.78,0.98,351.77,293.58,507.00,102.00,12_14_2021
JOSHI,32.36,326.60,347.00,321.00,321.00,331.50,"20,258.00",320.20,"6,715,451.00",140,0.80,26.00,0.25,8.10,-3.27,351.61,294.62,507.00,102.00,12_15_2021
JOSHI,38.17,314.60,320.70,303.90,304.00,307.50,"4,620.00",321.00,"1,420,654.30",71,-17.00,16.80,-5.30,5.53,-1.15,351.29,295.50,507.00,102.00,12_16_2021
JOSHI,37.59,314.60,320.70,303.90,304.00,307.50,"4,620.00",321.00,"1,420,654.30",71,-17.00,16.80,-5.30,5.53,-1.15,351.29,295.50,507.00,102.00,12_17_2021
JOSHI,37.59,314.60,320.70,303.90,304.00,307.50,"4,620.00",321.00,"1,420,654.30",71,-17.00,16.80,-5.30,5.53,-1.15,351.29,295.50,507.00,102.00,12_18_2021
JOSHI,37.59,314.60,320.70,303.90,304.00,307.50,"4,620.00",321.00,"1,420,654.30",71,-17.00,16.80,-5.30,5.53,-1.15,351.29,295.50,507.00,102.00,12_19_2021
JOSHI,34.91,298.00,309.90,293.00,307.00,299.74,"4,938.00",304.00,"1,480,116.00",78,3.00,16.90,0.99,5.77,2.36,351.28,296.45,507.00,102.00,12_20_2021
JOSHI,41.09,307.00,321.90,304.00,321.90,314.56,"1,460.00",307.00,"459,255.00",38,14.90,17.90,4.85,5.89,2.28,351.37,297.52,507.00,102.00,12_21_2021
JOSHI,40.94,321.90,334.00,320.00,330.00,328.17,"16,423.00",321.90,"5,389,547.00",105,8.10,14.00,2.52,4.38,0.55,351.67,298.65,507.00,102.00,12_22_2021
JOSHI,52.28,329.90,354.00,324.10,333.00,337.72,"22,618.00",330.00,"7,638,485.60",192,3.00,29.90,0.91,9.23,-1.42,352.18,299.77,507.00,102.00,12_23_2021
JOSHI,54.36,329.90,354.00,324.10,333.00,337.72,"22,618.00",330.00,"7,638,485.60",192,3.00,29.90,0.91,9.23,-1.42,352.18,299.77,507.00,102.00,12_24_2021
