Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
JSLBB,43.23,"3,331.00","3,427.00","3,331.00","3,370.00","3,387.25","1,628.00","3,390.00","5,514,443.00",50,-20.00,96.00,-0.59,2.88,-0.51,"3,821.51","3,452.86","5,500.00","1,298.00",09_01_2021
JSLBB,51.39,"3,465.00","3,530.00","3,450.00","3,470.00","3,473.15",979.00,"3,499.00","3,400,209.00",33,-29.00,80.00,-0.83,2.32,-0.09,"3,441.76","3,706.03","5,500.00","1,366.00",11_03_2021
JSLBB,52.25,"3,465.00","3,530.00","3,450.00","3,470.00","3,473.15",979.00,"3,499.00","3,400,209.00",33,-29.00,80.00,-0.83,2.32,-0.09,"3,441.76","3,706.03","5,500.00","1,366.00",11_05_2021
JSLBB,52.25,"3,465.00","3,530.00","3,450.00","3,470.00","3,473.15",979.00,"3,499.00","3,400,209.00",33,-29.00,80.00,-0.83,2.32,-0.09,"3,441.76","3,706.03","5,500.00","1,366.00",11_06_2021
JSLBB,52.25,"3,465.00","3,530.00","3,450.00","3,470.00","3,473.15",979.00,"3,499.00","3,400,209.00",33,-29.00,80.00,-0.83,2.32,-0.09,"3,441.76","3,706.03","5,500.00","1,366.00",11_07_2021
JSLBB,53.04,"3,448.00","3,478.00","3,332.00","3,450.00","3,404.61","2,867.00","3,470.00","9,761,007.40",114,-20.00,146.00,-0.58,4.38,1.32,"3,437.41","3,704.39","5,500.00","1,366.00",11_08_2021
JSLBB,55.86,"3,500.00","3,500.00","3,250.00","3,303.00","3,302.97","3,581.00","3,450.00","11,827,929.10",114,-147.00,250.00,-4.26,7.69,0.00,"3,433.52","3,699.93","5,500.00","1,380.00",11_09_2021
JSLBB,52.13,"3,500.00","3,500.00","3,250.00","3,303.00","3,302.97","3,581.00","3,450.00","11,827,929.10",114,-147.00,250.00,-4.26,7.69,0.00,"3,433.52","3,699.93","5,500.00","1,380.00",11_10_2021
JSLBB,50.08,"3,340.00","3,340.00","3,150.00","3,160.00","3,197.49","2,288.00","3,303.00","7,315,862.60",94,-143.00,190.00,-4.33,6.03,-1.19,"3,428.41","3,695.45","5,500.00","1,400.00",11_11_2021
JSLBB,48.35,"3,340.00","3,340.00","3,150.00","3,160.00","3,197.49","2,288.00","3,303.00","7,315,862.60",94,-143.00,190.00,-4.33,6.03,-1.19,"3,428.41","3,695.45","5,500.00","1,400.00",11_12_2021
JSLBB,48.35,"3,340.00","3,340.00","3,150.00","3,160.00","3,197.49","2,288.00","3,303.00","7,315,862.60",94,-143.00,190.00,-4.33,6.03,-1.19,"3,428.41","3,695.45","5,500.00","1,400.00",11_13_2021
JSLBB,46.30,"3,160.00","3,220.00","3,077.00","3,159.00","3,133.47","1,792.00","3,160.00","5,615,186.30",69,-1.00,143.00,-0.03,4.65,0.81,"3,423.23","3,691.29","5,500.00","1,450.00",11_14_2021
JSLBB,45.36,"3,126.00","3,190.00","3,125.00","3,135.00","3,138.44","2,288.00","3,159.00","7,180,743.00",97,-24.00,65.00,-0.76,2.08,-0.11,"3,418.27","3,686.99","5,500.00","1,450.00",11_15_2021
JSLBB,46.81,"3,150.00","3,191.00","3,132.00","3,158.00","3,149.06","1,881.00","3,135.00","5,923,388.40",59,23.00,59.00,0.73,1.88,0.28,"3,413.92","3,683.09","5,500.00","1,450.00",11_16_2021
JSLBB,50.34,"3,161.00","3,209.90","3,158.00","3,167.10","3,187.28","2,600.00","3,158.00","8,286,937.00",70,9.10,51.90,0.29,1.64,-0.64,"3,409.81","3,679.43","5,500.00","1,450.00",11_17_2021
JSLBB,60.85,"3,133.00","3,255.00","3,133.00","3,229.00","3,199.13","4,924.00","3,167.10","15,752,509.10",111,61.90,122.00,1.95,3.89,0.93,"3,406.17","3,674.64","5,500.00","1,450.00",11_18_2021
JSLBB,66.69,"3,133.00","3,255.00","3,133.00","3,229.00","3,199.13","4,924.00","3,167.10","15,752,509.10",111,61.90,122.00,1.95,3.89,0.93,"3,406.17","3,674.64","5,500.00","1,450.00",11_19_2021
JSLBB,66.69,"3,133.00","3,255.00","3,133.00","3,229.00","3,199.13","4,924.00","3,167.10","15,752,509.10",111,61.90,122.00,1.95,3.89,0.93,"3,406.17","3,674.64","5,500.00","1,450.00",11_20_2021
JSLBB,61.99,"3,240.00","3,255.00","3,176.00","3,186.00","3,208.32","1,535.00","3,229.00","4,924,774.00",57,-43.00,79.00,-1.33,2.49,-0.70,"3,402.11","3,670.18","5,500.00","1,450.00",11_21_2021
JSLBB,58.32,"3,220.00","3,220.00","3,152.00","3,160.00","3,176.31","1,008.00","3,186.00","3,201,720.20",41,-26.00,68.00,-0.82,2.16,-0.52,"3,397.52","3,665.43","5,500.00","1,450.00",11_22_2021
JSLBB,54.71,"3,160.00","3,160.00","3,100.00","3,144.00","3,115.64",888.00,"3,160.00","2,766,689.00",40,-16.00,60.00,-0.51,1.94,0.90,"3,392.90","3,660.71","5,500.00","1,450.00",11_23_2021
JSLBB,49.17,"3,082.10","3,100.00","3,050.10","3,100.00","3,091.32",943.00,"3,144.00","2,915,119.00",45,-44.00,49.90,-1.40,1.64,0.28,"3,388.15","3,656.24","5,500.00","1,450.00",11_24_2021
JSLBB,44.20,"3,162.00","3,164.00","3,101.00","3,103.00","3,133.56","1,639.00","3,100.00","5,135,912.00",47,3.00,63.00,0.10,2.03,-0.98,"3,383.72","3,651.76","5,500.00","1,495.00",11_25_2021
JSLBB,52.05,"3,162.00","3,164.00","3,101.00","3,103.00","3,133.56","1,639.00","3,100.00","5,135,912.00",47,3.00,63.00,0.10,2.03,-0.98,"3,383.72","3,651.76","5,500.00","1,495.00",11_26_2021
JSLBB,52.05,"3,162.00","3,164.00","3,101.00","3,103.00","3,133.56","1,639.00","3,100.00","5,135,912.00",47,3.00,63.00,0.10,2.03,-0.98,"3,383.72","3,651.76","5,500.00","1,495.00",11_27_2021
JSLBB,49.15,"3,050.00","3,110.00","2,990.20","3,001.00","3,029.39","1,350.00","3,103.00","4,089,674.40",64,-102.00,119.80,-3.29,4.01,-0.95,"3,378.62","3,646.88","5,500.00","1,501.00",11_28_2021
JSLBB,45.20,"3,001.00","3,049.00","2,965.30","2,966.10","2,999.33","1,996.00","3,001.00","5,986,660.10",66,-34.90,83.70,-1.16,2.82,-1.12,"3,374.17","3,641.65","5,500.00","1,501.00",11_29_2021
JSLBB,47.15,"2,950.00","3,000.00","2,950.00","2,970.20","2,976.16",769.00,"2,966.10","2,288,667.70",31,4.10,50.00,0.14,1.69,-0.20,"3,370.22","3,636.32","5,500.00","1,501.00",11_30_2021
JSLBB,43.55,"2,950.10","3,029.00","2,950.00","2,996.00","3,001.96",810.00,"2,970.20","2,431,584.20",32,25.80,79.00,0.87,2.68,-0.20,"3,367.14","3,631.47","5,500.00","1,501.00",12_01_2021
JSLBB,45.17,"3,000.00","3,025.00","2,920.00","2,920.00","2,943.88","3,179.00","2,996.00","9,358,604.10",88,-76.00,105.00,-2.54,3.60,-0.82,"3,363.64","3,626.08","5,500.00","1,501.00",12_02_2021
JSLBB,50.59,"3,000.00","3,025.00","2,920.00","2,920.00","2,943.88","3,179.00","2,996.00","9,358,604.10",88,-76.00,105.00,-2.54,3.60,-0.82,"3,363.64","3,626.08","5,500.00","1,501.00",12_03_2021
JSLBB,50.59,"3,000.00","3,025.00","2,920.00","2,920.00","2,943.88","3,179.00","2,996.00","9,358,604.10",88,-76.00,105.00,-2.54,3.60,-0.82,"3,363.64","3,626.08","5,500.00","1,501.00",12_04_2021
JSLBB,49.69,"2,920.00","2,920.00","2,833.00","2,835.10","2,849.95","1,294.00","2,920.00","3,687,831.20",57,-84.90,87.00,-2.91,3.07,-0.52,"3,357.69","3,620.73","5,500.00","1,501.00",12_05_2021
JSLBB,42.56,"2,779.00","2,779.00","2,600.00","2,640.00","2,645.57","7,411.00","2,835.10","19,606,295.40",291,-195.10,179.00,-6.88,6.88,-0.21,"3,350.03","3,614.66","5,500.00","1,501.00",12_06_2021
JSLBB,45.73,"2,650.00","2,674.00","2,595.00","2,595.00","2,642.49","2,468.00","2,640.00","6,521,655.20",99,-45.00,79.00,-1.70,3.04,-1.83,"3,342.02","3,607.50","5,500.00","1,501.00",12_07_2021
JSLBB,40.82,"2,555.00","2,555.00","2,410.00","2,410.00","2,471.91","2,426.00","2,595.00","5,996,863.00",105,-185.00,145.00,-7.13,6.02,-2.57,"3,332.69","3,599.33","5,500.00","1,520.00",12_08_2021
JSLBB,37.92,"2,440.00","2,455.00","2,386.00","2,402.00","2,409.77","1,189.00","2,410.00","2,865,214.00",59,-8.00,69.00,-0.33,2.89,-0.32,"3,323.37","3,591.34","5,500.00","1,520.00",12_09_2021
JSLBB,34.82,"2,440.00","2,455.00","2,386.00","2,402.00","2,409.77","1,189.00","2,410.00","2,865,214.00",59,-8.00,69.00,-0.33,2.89,-0.32,"3,323.37","3,591.34","5,500.00","1,520.00",12_10_2021
JSLBB,34.82,"2,440.00","2,455.00","2,386.00","2,402.00","2,409.77","1,189.00","2,410.00","2,865,214.00",59,-8.00,69.00,-0.33,2.89,-0.32,"3,323.37","3,591.34","5,500.00","1,520.00",12_11_2021
JSLBB,34.17,"2,400.00","2,400.00","2,201.00","2,201.00","2,254.68","2,209.00","2,402.00","4,980,597.20",92,-201.00,199.00,-8.37,9.04,-2.44,"3,312.64","3,582.51","5,500.00","1,534.00",12_12_2021
JSLBB,35.69,"2,157.00","2,160.00","2,061.10","2,160.00","2,102.75","2,667.00","2,201.00","5,608,033.90",91,-41.00,98.90,-1.86,4.80,2.65,"3,301.55","3,573.83","5,500.00","1,534.00",12_13_2021
JSLBB,37.58,"2,203.00","2,376.00","2,203.00","2,376.00","2,352.82",858.00,"2,160.00","2,018,722.90",45,216.00,173.00,10.00,7.85,0.98,"3,292.19","3,566.23","5,500.00","1,534.00",12_14_2021
JSLBB,42.92,"2,423.50","2,613.60","2,420.00","2,451.00","2,516.63","2,692.00","2,376.00","6,774,758.80",117,75.00,193.60,3.16,8.00,-2.68,"3,283.45","3,558.98","5,500.00","1,534.00",12_15_2021
JSLBB,47.97,"2,402.00","2,402.00","2,354.00","2,402.00","2,379.39",857.00,"2,451.00","2,039,140.00",30,-49.00,48.00,-2.00,2.04,0.94,"3,274.61","3,551.24","5,500.00","1,534.00",12_16_2021
JSLBB,46.21,"2,402.00","2,402.00","2,354.00","2,402.00","2,379.39",857.00,"2,451.00","2,039,140.00",30,-49.00,48.00,-2.00,2.04,0.94,"3,274.61","3,551.24","5,500.00","1,534.00",12_17_2021
JSLBB,46.21,"2,402.00","2,402.00","2,354.00","2,402.00","2,379.39",857.00,"2,451.00","2,039,140.00",30,-49.00,48.00,-2.00,2.04,0.94,"3,274.61","3,551.24","5,500.00","1,534.00",12_18_2021
JSLBB,46.21,"2,402.00","2,402.00","2,354.00","2,402.00","2,379.39",857.00,"2,451.00","2,039,140.00",30,-49.00,48.00,-2.00,2.04,0.94,"3,274.61","3,551.24","5,500.00","1,534.00",12_19_2021
JSLBB,43.52,"2,354.00","2,499.00","2,308.00","2,499.00","2,437.22","1,104.00","2,402.00","2,690,686.80",34,97.00,191.00,4.04,8.28,2.47,"3,265.98","3,543.74","5,500.00","1,534.00",12_20_2021
JSLBB,44.88,"2,548.00","2,601.00","2,430.00","2,600.00","2,543.92","2,616.00","2,499.00","6,654,890.30",72,101.00,171.00,4.04,7.04,2.16,"3,258.32","3,535.86","5,500.00","1,534.00",12_21_2021
JSLBB,53.39,"2,550.00","2,785.00","2,550.00","2,686.00","2,657.44","1,243.00","2,600.00","3,303,191.90",50,86.00,235.00,3.31,9.22,1.06,"3,252.16","3,528.89","5,500.00","1,629.00",12_22_2021
JSLBB,49.26,"2,632.30","2,687.00","2,580.40","2,650.00","2,634.12","1,169.00","2,686.00","3,079,290.60",55,-36.00,106.60,-1.34,4.13,0.60,"3,246.29","3,521.54","5,500.00","1,629.00",12_23_2021
JSLBB,50.92,"2,632.30","2,687.00","2,580.40","2,650.00","2,634.12","1,169.00","2,686.00","3,079,290.60",55,-36.00,106.60,-1.34,4.13,0.60,"3,246.29","3,521.54","5,500.00","1,629.00",12_24_2021
JSLBB,50.92,"2,632.30","2,687.00","2,580.40","2,650.00","2,634.12","1,169.00","2,686.00","3,079,290.60",55,-36.00,106.60,-1.34,4.13,0.60,"3,246.29","3,521.54","5,500.00","1,629.00",12_25_2021
JSLBB,49.29,"2,650.00","2,698.00","2,650.00","2,677.00","2,668.53","2,608.00","2,650.00","6,959,532.20",58,27.00,48.00,1.02,1.81,0.32,"3,240.55","3,514.40","5,500.00","1,629.00",12_26_2021
JSLBB,54.24,"2,730.50","2,769.00","2,625.10","2,631.30","2,678.87","2,280.00","2,677.00","6,107,816.50",69,-45.70,143.90,-1.71,5.48,-1.81,"3,234.81","3,506.02","5,500.00","1,629.00",12_27_2021
JSLBB,51.19,"2,582.10","2,630.00","2,582.00","2,600.00","2,600.09",498.00,"2,631.30","1,294,846.90",25,-31.30,48.00,-1.19,1.86,0.00,"3,228.98","3,496.60","5,500.00","1,629.00",12_28_2021
JSLBB,38.80,"2,600.00","2,615.00","2,580.10","2,610.00","2,598.99",640.00,"2,600.00","1,663,356.00",33,10.00,34.90,0.38,1.35,0.42,"3,223.30","3,486.26","5,500.00","1,657.00",12_29_2021
JSLBB,42.97,"2,600.00","2,615.00","2,580.10","2,610.00","2,598.99",640.00,"2,600.00","1,663,356.00",33,10.00,34.90,0.38,1.35,0.42,"3,223.30","3,486.26","5,500.00","1,657.00",12_30_2021
JSLBB,42.97,"2,600.00","2,615.00","2,580.10","2,610.00","2,598.99",640.00,"2,600.00","1,663,356.00",33,10.00,34.90,0.38,1.35,0.42,"3,223.30","3,486.26","5,500.00","1,657.00",12_31_2021
JSLBB,42.97,"2,600.00","2,615.00","2,580.10","2,610.00","2,598.99",640.00,"2,600.00","1,663,356.00",33,10.00,34.90,0.38,1.35,0.42,"3,223.30","3,486.26","5,500.00","1,657.00",01_01_2022
JSLBB,44.51,"2,610.00","2,667.90","2,605.00","2,667.90","2,629.64","1,702.00","2,610.00","4,475,648.20",62,57.90,62.90,2.22,2.41,1.43,"3,217.78","3,476.17","5,500.00","1,750.00",01_02_2022
JSLBB,51.04,"2,721.20","2,780.00","2,721.20","2,780.00","2,758.14","2,283.00","2,667.90","6,296,823.00",89,112.10,58.80,4.20,2.16,0.79,"3,213.03","3,467.40","5,500.00","1,750.00",01_03_2022
JSLBB,59.02,"2,834.10","2,999.90","2,834.10","2,979.00","2,932.27","8,595.00","2,780.00","25,202,874.10",298,199.00,165.80,7.16,5.85,1.57,"3,210.19","3,460.17","5,500.00","1,771.00",01_04_2022
JSLBB,60.31,"2,400.00","2,579.40","2,400.00","2,480.00","2,487.09","4,340.00","2,383.20","10,793,987.20",130,96.80,179.40,4.06,7.48,-0.29,"3,203.23","3,450.01","5,500.00","1,771.00",01_05_2022
JSLBB,43.76,"2,480.00","2,480.00","2,410.00","2,460.00","2,443.85","1,118.00","2,480.00","2,732,224.20",53,-20.00,70.00,-0.81,2.90,0.66,"3,195.90","3,439.04","5,500.00","2,039.00",01_06_2022
JSLBB,39.76,"2,480.00","2,480.00","2,410.00","2,460.00","2,443.85","1,118.00","2,480.00","2,732,224.20",53,-20.00,70.00,-0.81,2.90,0.66,"3,195.90","3,439.04","5,500.00","2,039.00",01_07_2022
JSLBB,39.76,"2,480.00","2,480.00","2,410.00","2,460.00","2,443.85","1,118.00","2,480.00","2,732,224.20",53,-20.00,70.00,-0.81,2.90,0.66,"3,195.90","3,439.04","5,500.00","2,039.00",01_08_2022
JSLBB,40.23,"2,509.10","2,509.20","2,440.10","2,499.00","2,480.14","3,123.00","2,460.00","7,745,466.70",59,39.00,69.10,1.59,2.83,0.75,"3,189.30","3,427.92","5,500.00","2,061.10",01_09_2022
JSLBB,44.16,"2,548.00","2,548.00","2,451.00","2,500.00","2,501.09","2,130.00","2,499.00","5,327,317.80",45,1.00,97.00,0.04,3.96,-0.04,"3,183.12","3,416.75","5,500.00","2,061.10",01_10_2022
JSLBB,45.10,"2,490.00","2,550.00","2,488.00","2,530.00","2,519.46","1,815.00","2,500.00","4,572,822.70",62,30.00,62.00,1.20,2.49,0.42,"3,177.12","3,405.64","5,500.00","2,061.10",01_11_2022
JSLBB,52.22,"2,550.00","2,621.00","2,530.00","2,535.00","2,548.59","1,011.00","2,530.00","2,576,629.00",44,5.00,91.00,0.20,3.60,-0.54,"3,170.75","3,394.84","5,500.00","2,061.10",01_12_2022
