Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
KBLD86,40.07,"1,052.60","1,052.60","1,052.60","1,052.60","1,052.60",30.00,"1,074.00","31,578.00",1,-21.40,0.00,-1.99,0.00,0.00,-,-,"1,141.00","1,030.00",11_24_2021
KBLD86,41.78,"1,035.00","1,035.00","1,001.00","1,006.20","1,006.08","1,220.00","1,052.60","1,227,415.00",11,-46.40,34.00,-4.41,3.40,0.01,-,-,"1,141.00","1,001.00",11_25_2021
KBLD86,49.67,"1,035.00","1,035.00","1,001.00","1,006.20","1,006.08","1,220.00","1,052.60","1,227,415.00",11,-46.40,34.00,-4.41,3.40,0.01,-,-,"1,141.00","1,001.00",11_26_2021
KBLD86,49.67,"1,035.00","1,035.00","1,001.00","1,006.20","1,006.08","1,220.00","1,052.60","1,227,415.00",11,-46.40,34.00,-4.41,3.40,0.01,-,-,"1,141.00","1,001.00",11_27_2021
KBLD86,46.77,"1,000.10","1,005.00",998.10,"1,005.00","1,000.07",150.00,"1,006.20","150,010.00",6,-1.20,6.90,-0.12,0.69,0.49,-,-,"1,141.00",998.10,11_28_2021
KBLD86,40.69,"1,005.00","1,005.00","1,005.00","1,005.00","1,005.00",25.00,"1,005.00","25,125.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,141.00",998.10,11_29_2021
KBLD86,37.17,"1,006.00","1,006.00","1,006.00","1,006.00","1,006.00",25.00,"1,005.00","25,150.00",1,1.00,0.00,0.10,0.00,0.00,-,-,"1,141.00",998.10,12_01_2021
KBLD86,37.38,"1,002.00","1,002.00",999.50,"1,000.00","1,000.88",100.00,"1,006.00","100,087.50",4,-6.00,2.50,-0.60,0.25,-0.09,-,-,"1,141.00",998.10,12_02_2021
KBLD86,48.90,"1,002.00","1,002.00",999.50,"1,000.00","1,000.88",100.00,"1,006.00","100,087.50",4,-6.00,2.50,-0.60,0.25,-0.09,-,-,"1,141.00",998.10,12_03_2021
KBLD86,48.90,"1,002.00","1,002.00",999.50,"1,000.00","1,000.88",100.00,"1,006.00","100,087.50",4,-6.00,2.50,-0.60,0.25,-0.09,-,-,"1,141.00",998.10,12_04_2021
KBLD86,47.09,997.20,"1,006.00",997.20,"1,006.00","1,003.28",90.00,"1,000.00","90,295.00",3,6.00,8.80,0.60,0.88,0.27,-,-,"1,141.00",997.20,12_07_2021
KBLD86,45.32,"1,006.00","1,006.00","1,006.00","1,006.00","1,006.00",25.00,"1,006.00","25,150.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,141.00",997.20,12_09_2021
KBLD86,39.85,"1,006.00","1,006.00","1,006.00","1,006.00","1,006.00",25.00,"1,006.00","25,150.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,141.00",997.20,12_10_2021
KBLD86,39.85,"1,006.00","1,006.00","1,006.00","1,006.00","1,006.00",25.00,"1,006.00","25,150.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,141.00",997.20,12_11_2021
KBLD86,37.07,997.00,997.00,997.00,997.00,997.00,25.00,"1,006.00","24,925.00",1,-9.00,0.00,-0.89,0.00,0.00,-,-,"1,141.00",997.00,12_13_2021
KBLD86,38.17,"1,016.90","1,016.90","1,016.90","1,016.90","1,016.90",25.00,997.00,"25,422.50",1,19.90,0.00,2.00,0.00,0.00,-,-,"1,141.00",997.00,12_15_2021
