Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
KBLPO,52.48,147.00,147.00,147.00,147.00,147.00,"47,919.00",150.00,"7,044,093.00",6,-3.00,0.00,-2.00,0.00,0.00,-,-,150.00,80.34,09_01_2021
KBLPO,41.83,149.00,149.00,149.00,149.00,149.00,"238,640.00",155.80,"35,557,360.00",1,-6.80,0.00,-4.36,0.00,0.00,-,-,155.80,100.00,11_28_2021
KBLPO,48.92,149.00,149.00,149.00,149.00,174.53,"195,000.00",149.00,"34,033,350.00",2,0.00,0.00,0.00,0.00,-17.13,-,-,155.80,100.00,11_29_2021
KBLPO,44.59,149.00,149.00,149.00,149.00,174.53,"242,000.00",149.00,"42,236,260.00",1,0.00,0.00,0.00,0.00,-17.13,-,-,155.80,100.00,12_09_2021
KBLPO,41.61,149.00,149.00,149.00,149.00,174.53,"242,000.00",149.00,"42,236,260.00",1,0.00,0.00,0.00,0.00,-17.13,-,-,155.80,100.00,12_10_2021
KBLPO,41.61,149.00,149.00,149.00,149.00,174.53,"242,000.00",149.00,"42,236,260.00",1,0.00,0.00,0.00,0.00,-17.13,-,-,155.80,100.00,12_11_2021
KBLPO,38.84,149.00,149.00,149.00,149.00,149.00,"50,000.00",149.00,"7,450,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,155.80,100.00,12_13_2021
KBLPO,32.16,149.00,149.00,149.00,149.00,149.00,"68,896.00",149.00,"10,265,504.00",2,0.00,0.00,0.00,0.00,0.00,-,-,155.80,100.00,12_20_2021
KBLPO,39.40,149.00,149.00,149.00,149.00,149.00,"10,668.00",149.00,"1,589,532.00",4,0.00,0.00,0.00,0.00,0.00,-,-,155.80,100.00,12_27_2021
KBLPO,41.52,149.00,149.00,149.00,149.00,174.53,"63,000.00",149.00,"10,995,390.00",1,0.00,0.00,0.00,0.00,-17.13,-,-,155.80,100.00,01_06_2022
