Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
KDBY,0.00,10.00,10.00,9.00,9.00,9.20,"10,250.00",10.00,"94,263.00",58,-1.00,1.00,-10.00,11.11,-2.18,-,-,10.00,9.00,07_27_2022
KDBY,44.42,8.85,9.02,8.70,9.01,8.90,"16,091.00",9.00,"143,236.88",75,0.01,0.32,0.11,3.68,1.20,-,-,10.00,8.70,07_28_2022
KDBY,52.79,8.89,8.96,8.89,8.96,8.91,"3,300.00",9.01,"29,418.00",22,-0.05,0.07,-0.55,0.79,0.51,-,-,10.00,8.70,07_29_2022
KDBY,30.08,8.89,8.96,8.89,8.96,8.91,"3,300.00",9.01,"29,418.00",22,-0.05,0.07,-0.55,0.79,0.51,-,-,10.00,8.70,07_30_2022
KDBY,27.65,8.94,9.10,8.93,9.00,9.02,"10,900.00",8.96,"98,363.00",52,0.04,0.17,0.45,1.90,-0.27,-,-,10.00,8.70,07_31_2022
KDBY,42.42,9.00,9.00,8.70,8.92,8.88,"6,020.00",9.00,"53,464.60",40,-0.08,0.30,-0.89,3.45,0.44,-,-,10.00,8.70,08_01_2022
KDBY,36.91,8.75,9.00,8.75,8.91,8.91,"23,970.00",8.92,"213,581.60",46,-0.01,0.25,-0.11,2.86,0.00,-,-,10.00,8.70,08_02_2022
KDBY,40.57,8.74,9.09,8.74,8.92,8.97,"9,350.00",8.91,"83,888.00",47,0.01,0.35,0.11,4.00,-0.58,-,-,10.00,8.70,08_03_2022
KDBY,41.06,8.75,9.09,8.75,9.09,8.93,"10,890.00",8.92,"97,244.80",34,0.17,0.34,1.91,3.89,1.76,-,-,10.00,8.70,08_04_2022
KDBY,54.04,8.95,8.95,8.86,8.86,8.92,"2,300.00",9.09,"20,508.00",11,-0.23,0.09,-2.53,1.02,-0.64,-,-,10.00,8.70,08_05_2022
