Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
KDL,0.00,134.40,139.70,134.40,139.70,136.90,207.00,134.40,"28,337.60",39,5.30,5.30,3.94,3.94,2.01,0.00,0.00,139.70,134.40,03_23_2023
KDL,35.31,134.40,139.70,134.40,139.70,136.90,207.00,134.40,"28,337.60",39,5.30,5.30,3.94,3.94,2.01,0.00,0.00,139.70,134.40,03_24_2023
KDL,35.31,134.40,139.70,134.40,139.70,136.90,207.00,134.40,"28,337.60",39,5.30,5.30,3.94,3.94,2.01,0.00,0.00,139.70,134.40,03_25_2023
KDL,35.31,137.70,148.10,137.70,148.10,145.48,123.00,139.70,"17,894.30",23,8.40,10.40,6.01,7.55,1.77,0.00,0.00,148.10,134.40,03_26_2023
KDL,41.67,151.00,162.90,151.00,162.90,157.67,94.00,148.10,"14,821.10",13,14.80,11.90,9.99,7.88,3.21,0.00,0.00,162.90,134.40,03_27_2023
KDL,45.52,166.10,166.10,166.10,166.10,165.55,20.00,162.90,"3,311.00",3,3.20,0.00,1.96,0.00,0.33,0.00,0.00,166.10,134.40,03_28_2023
KDL,43.25,169.40,182.70,169.40,182.70,177.20,60.00,166.10,"10,632.00",6,16.60,13.30,9.99,7.85,3.01,0.00,0.00,182.70,134.40,03_29_2023
KDL,42.68,186.30,193.80,186.30,193.80,187.85,52.00,182.70,"9,768.30",7,11.10,7.50,6.08,4.03,3.07,0.00,0.00,193.80,134.40,03_30_2023
KDL,40.73,186.30,193.80,186.30,193.80,187.85,52.00,182.70,"9,768.30",7,11.10,7.50,6.08,4.03,3.07,0.00,0.00,193.80,134.40,03_31_2023
KDL,40.73,186.30,193.80,186.30,193.80,187.85,52.00,182.70,"9,768.30",7,11.10,7.50,6.08,4.03,3.07,0.00,0.00,193.80,134.40,04_01_2023
KDL,40.73,197.60,213.10,197.60,213.10,207.62,161.00,193.80,"33,426.20",21,19.30,15.50,9.96,7.84,2.57,0.00,0.00,213.10,134.40,04_02_2023
KDL,40.79,217.30,234.40,217.30,234.40,228.68,200.00,213.10,"45,736.80",19,21.30,17.10,10.00,7.87,2.44,0.00,0.00,234.40,134.40,04_03_2023
KDL,39.36,562.90,607.00,562.90,607.00,606.04,"1,152.00",551.90,"698,157.00",114,55.10,44.10,9.98,7.83,0.16,0.00,0.00,607.00,134.40,04_17_2023
