Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
KEF,57.32,10.02,10.20,10.02,10.09,10.10,"40,730.00",10.05,"411,283.20",59,0.04,0.18,0.40,1.80,-0.08,-,-,11.65,9.42,09_01_2021
KEF,62.88,9.62,9.80,9.62,9.71,9.73,"9,600.00",9.76,"93,376.00",30,-0.05,0.18,-0.51,1.87,-0.17,10.07,-,11.65,9.08,11_03_2021
KEF,49.84,9.62,9.80,9.62,9.71,9.73,"9,600.00",9.76,"93,376.00",30,-0.05,0.18,-0.51,1.87,-0.17,10.07,-,11.65,9.08,11_05_2021
KEF,49.84,9.62,9.80,9.62,9.71,9.73,"9,600.00",9.76,"93,376.00",30,-0.05,0.18,-0.51,1.87,-0.17,10.07,-,11.65,9.08,11_06_2021
KEF,49.84,9.62,9.80,9.62,9.71,9.73,"9,600.00",9.76,"93,376.00",30,-0.05,0.18,-0.51,1.87,-0.17,10.07,-,11.65,9.08,11_07_2021
KEF,50.63,9.71,9.82,9.63,9.64,9.66,"11,450.00",9.71,"110,586.48",35,-0.07,0.19,-0.72,1.97,-0.19,10.07,-,11.65,9.08,11_08_2021
KEF,48.05,9.60,9.70,9.60,9.62,9.62,"22,300.00",9.64,"214,633.00",25,-0.02,0.10,-0.21,1.04,-0.05,10.07,-,11.65,9.08,11_09_2021
KEF,48.63,9.60,9.70,9.60,9.62,9.62,"22,300.00",9.64,"214,633.00",25,-0.02,0.10,-0.21,1.04,-0.05,10.07,-,11.65,9.08,11_10_2021
KEF,46.58,9.57,9.79,9.57,9.60,9.61,"11,470.00",9.62,"110,237.70",31,-0.02,0.22,-0.21,2.30,-0.11,10.07,-,11.65,9.08,11_11_2021
KEF,43.20,9.57,9.79,9.57,9.60,9.61,"11,470.00",9.62,"110,237.70",31,-0.02,0.22,-0.21,2.30,-0.11,10.07,-,11.65,9.08,11_12_2021
KEF,43.20,9.57,9.79,9.57,9.60,9.61,"11,470.00",9.62,"110,237.70",31,-0.02,0.22,-0.21,2.30,-0.11,10.07,-,11.65,9.08,11_13_2021
KEF,41.15,9.57,9.68,9.50,9.68,9.54,"34,069.00",9.60,"325,164.93",44,0.08,0.18,0.83,1.89,1.40,10.06,-,11.65,9.08,11_14_2021
KEF,49.12,9.50,9.69,9.50,9.55,9.59,"24,410.00",9.68,"233,983.40",38,-0.13,0.19,-1.34,2.00,-0.37,10.06,-,11.65,9.08,11_15_2021
KEF,46.29,9.45,9.74,9.45,9.56,9.55,"76,100.00",9.55,"726,497.00",53,0.01,0.29,0.10,3.07,0.14,10.06,-,11.65,9.08,11_16_2021
KEF,57.58,9.40,9.58,9.40,9.58,9.56,"18,320.00",9.56,"175,122.80",41,0.02,0.18,0.21,1.91,0.22,10.05,-,11.65,9.08,11_17_2021
KEF,48.43,9.40,9.64,9.39,9.48,9.53,"11,100.00",9.58,"105,776.00",26,-0.10,0.25,-1.04,2.66,-0.52,10.05,-,11.65,9.08,11_18_2021
KEF,43.57,9.40,9.64,9.39,9.48,9.53,"11,100.00",9.58,"105,776.00",26,-0.10,0.25,-1.04,2.66,-0.52,10.05,-,11.65,9.08,11_19_2021
KEF,43.57,9.40,9.64,9.39,9.48,9.53,"11,100.00",9.58,"105,776.00",26,-0.10,0.25,-1.04,2.66,-0.52,10.05,-,11.65,9.08,11_20_2021
KEF,38.87,9.39,9.50,9.39,9.50,9.45,"9,805.00",9.48,"92,638.65",33,0.02,0.11,0.21,1.17,0.55,10.05,-,11.65,9.08,11_21_2021
KEF,39.31,9.42,9.56,9.41,9.47,9.46,"9,360.00",9.50,"88,545.70",33,-0.03,0.15,-0.32,1.59,0.11,10.04,-,11.65,9.08,11_22_2021
KEF,40.51,9.47,9.47,9.36,9.38,9.39,"15,700.00",9.47,"147,356.50",27,-0.09,0.11,-0.95,1.18,-0.06,10.04,-,11.65,9.08,11_23_2021
KEF,41.80,9.31,9.50,9.31,9.33,9.33,"23,545.00",9.38,"219,598.50",33,-0.05,0.19,-0.53,2.04,0.03,10.03,-,11.65,9.08,11_24_2021
KEF,49.01,9.32,9.52,9.32,9.40,9.43,"10,005.00",9.33,"94,360.50",37,0.07,0.20,0.75,2.15,-0.33,10.03,-,11.65,9.08,11_25_2021
KEF,42.84,9.32,9.52,9.32,9.40,9.43,"10,005.00",9.33,"94,360.50",37,0.07,0.20,0.75,2.15,-0.33,10.03,-,11.65,9.08,11_26_2021
KEF,42.84,9.32,9.52,9.32,9.40,9.43,"10,005.00",9.33,"94,360.50",37,0.07,0.20,0.75,2.15,-0.33,10.03,-,11.65,9.08,11_27_2021
KEF,39.94,9.32,9.50,9.32,9.38,9.38,"9,800.00",9.40,"91,887.44",20,-0.02,0.18,-0.21,1.93,0.04,10.02,-,11.65,9.08,11_28_2021
KEF,45.06,9.33,9.45,9.33,9.36,9.39,"14,300.00",9.38,"134,212.00",26,-0.02,0.12,-0.21,1.29,-0.27,10.02,-,11.65,9.08,11_29_2021
KEF,50.00,9.31,9.32,9.31,9.31,9.31,"17,020.00",9.36,"158,527.20",22,-0.05,0.01,-0.53,0.11,-0.04,10.01,-,11.65,9.08,11_30_2021
KEF,50.70,9.15,9.38,9.15,9.33,9.32,"16,220.00",9.31,"151,169.10",21,0.02,0.23,0.21,2.51,0.11,10.01,-,11.65,9.08,12_01_2021
KEF,48.90,9.17,9.50,9.16,9.25,9.21,"32,810.00",9.33,"302,214.10",37,-0.08,0.34,-0.86,3.71,0.42,10.00,-,11.65,9.08,12_02_2021
KEF,49.19,9.17,9.50,9.16,9.25,9.21,"32,810.00",9.33,"302,214.10",37,-0.08,0.34,-0.86,3.71,0.42,10.00,-,11.65,9.08,12_03_2021
KEF,49.19,9.17,9.50,9.16,9.25,9.21,"32,810.00",9.33,"302,214.10",37,-0.08,0.34,-0.86,3.71,0.42,10.00,-,11.65,9.08,12_04_2021
KEF,48.29,9.40,9.40,9.07,9.15,9.27,"18,100.00",9.25,"167,753.00",17,-0.10,0.33,-1.08,3.64,-1.29,9.99,-,11.65,9.07,12_05_2021
KEF,41.74,9.00,9.20,8.98,9.03,9.04,"31,530.00",9.15,"285,025.80",36,-0.12,0.22,-1.31,2.45,-0.11,9.98,-,11.65,8.98,12_06_2021
KEF,45.05,9.00,9.20,9.00,9.08,9.08,"4,530.00",9.03,"41,117.20",20,0.05,0.20,0.55,2.22,0.04,9.97,-,11.65,8.98,12_07_2021
KEF,37.09,9.00,9.18,9.00,9.18,9.05,"8,400.00",9.08,"76,061.00",20,0.10,0.18,1.10,2.00,1.36,9.96,-,11.65,8.98,12_08_2021
KEF,41.36,9.00,9.10,9.00,9.10,9.01,"7,245.00",9.18,"65,308.45",12,-0.08,0.10,-0.87,1.11,0.94,9.95,-,11.65,8.98,12_09_2021
KEF,40.65,9.00,9.10,9.00,9.10,9.01,"7,245.00",9.18,"65,308.45",12,-0.08,0.10,-0.87,1.11,0.94,9.95,-,11.65,8.98,12_10_2021
KEF,40.65,9.00,9.10,9.00,9.10,9.01,"7,245.00",9.18,"65,308.45",12,-0.08,0.10,-0.87,1.11,0.94,9.95,-,11.65,8.98,12_11_2021
KEF,40.00,9.10,9.10,9.01,9.01,9.05,"6,050.00",9.10,"54,765.00",17,-0.09,0.09,-0.99,1.00,-0.47,9.94,-,11.65,8.98,12_12_2021
KEF,38.46,8.83,8.90,8.67,8.90,8.84,"7,320.00",9.01,"64,727.80",13,-0.11,0.23,-1.22,2.65,0.64,9.93,-,11.65,8.67,12_13_2021
KEF,37.49,8.75,9.00,8.75,8.89,8.90,"4,560.00",8.90,"40,595.40",8,-0.01,0.25,-0.11,2.86,-0.14,9.92,-,11.65,8.67,12_14_2021
