Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
KKHC,53.64,412.10,434.00,378.40,380.00,399.55,"108,026.00",412.00,"43,161,951.80",765,-32.00,55.60,-7.77,14.69,-5.15,232.02,192.26,556.20,49.00,09_01_2021
KKHC,58.53,375.00,379.90,373.00,379.00,376.21,"18,070.00",375.00,"6,798,198.40",146,4.00,6.90,1.07,1.85,0.73,307.05,245.65,556.20,100.00,11_03_2021
KKHC,59.14,375.00,379.90,373.00,379.00,376.21,"18,070.00",375.00,"6,798,198.40",146,4.00,6.90,1.07,1.85,0.73,307.05,245.65,556.20,100.00,11_05_2021
KKHC,59.14,375.00,379.90,373.00,379.00,376.21,"18,070.00",375.00,"6,798,198.40",146,4.00,6.90,1.07,1.85,0.73,307.05,245.65,556.20,100.00,11_06_2021
KKHC,59.14,375.00,379.90,373.00,379.00,376.21,"18,070.00",375.00,"6,798,198.40",146,4.00,6.90,1.07,1.85,0.73,307.05,245.65,556.20,100.00,11_07_2021
KKHC,59.92,381.00,381.00,364.10,372.00,372.69,"6,854.00",379.00,"2,554,406.40",100,-7.00,16.90,-1.85,4.64,-0.19,309.06,247.05,556.20,100.00,11_08_2021
KKHC,53.02,365.00,367.00,347.00,351.00,355.16,"21,560.00",372.00,"7,657,191.30",218,-21.00,20.00,-5.65,5.76,-1.18,310.90,248.33,556.20,100.00,11_09_2021
KKHC,51.98,365.00,367.00,347.00,351.00,355.16,"21,560.00",372.00,"7,657,191.30",218,-21.00,20.00,-5.65,5.76,-1.18,310.90,248.33,556.20,100.00,11_10_2021
KKHC,49.93,344.00,351.00,330.00,338.00,340.90,"13,052.00",351.00,"4,449,431.50",155,-13.00,21.00,-3.70,6.36,-0.86,312.60,249.59,556.20,100.00,11_11_2021
KKHC,47.21,344.00,351.00,330.00,338.00,340.90,"13,052.00",351.00,"4,449,431.50",155,-13.00,21.00,-3.70,6.36,-0.86,312.60,249.59,556.20,100.00,11_12_2021
KKHC,47.21,344.00,351.00,330.00,338.00,340.90,"13,052.00",351.00,"4,449,431.50",155,-13.00,21.00,-3.70,6.36,-0.86,312.60,249.59,556.20,100.00,11_13_2021
KKHC,45.16,331.40,350.00,331.30,338.00,337.53,"14,625.00",338.00,"4,936,321.50",149,0.00,18.70,0.00,5.64,0.14,314.32,250.81,556.20,100.00,11_14_2021
KKHC,42.60,342.00,359.90,342.00,352.00,349.75,"11,694.00",338.00,"4,090,018.50",122,14.00,17.90,4.14,5.23,0.64,316.11,252.13,556.20,100.00,11_15_2021
