Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
KLBSL,44.42,"1,565.00","1,584.00","1,551.00","1,551.00","1,560.89",815.00,"1,565.00","1,272,124.00",19,-14.00,33.00,-0.89,2.13,-0.64,"1,664.77","1,540.45","2,042.00",683.00,09_01_2021
KLBSL,57.51,"1,560.00","1,615.80","1,560.00","1,590.00","1,581.97",367.00,"1,560.00","580,582.00",10,30.00,55.80,1.92,3.58,0.51,"1,599.67","1,603.24","2,042.00","1,032.00",11_03_2021
KLBSL,53.58,"1,560.00","1,615.80","1,560.00","1,590.00","1,581.97",367.00,"1,560.00","580,582.00",10,30.00,55.80,1.92,3.58,0.51,"1,599.67","1,603.24","2,042.00","1,032.00",11_05_2021
KLBSL,53.58,"1,560.00","1,615.80","1,560.00","1,590.00","1,581.97",367.00,"1,560.00","580,582.00",10,30.00,55.80,1.92,3.58,0.51,"1,599.67","1,603.24","2,042.00","1,032.00",11_06_2021
KLBSL,53.58,"1,560.00","1,615.80","1,560.00","1,590.00","1,581.97",367.00,"1,560.00","580,582.00",10,30.00,55.80,1.92,3.58,0.51,"1,599.67","1,603.24","2,042.00","1,032.00",11_07_2021
KLBSL,54.37,"1,559.00","1,559.00","1,531.10","1,531.10","1,556.15",159.00,"1,590.00","247,427.30",4,-58.90,27.90,-3.70,1.82,-1.64,"1,597.97","1,604.07","2,042.00","1,032.00",11_08_2021
KLBSL,46.80,"1,501.10","1,502.00","1,431.00","1,495.00","1,464.62","1,731.00","1,531.10","2,535,249.00",34,-36.10,71.00,-2.36,4.96,2.03,"1,596.26","1,604.30","2,042.00","1,034.00",11_09_2021
KLBSL,51.13,"1,501.10","1,502.00","1,431.00","1,495.00","1,464.62","1,731.00","1,531.10","2,535,249.00",34,-36.10,71.00,-2.36,4.96,2.03,"1,596.26","1,604.30","2,042.00","1,034.00",11_10_2021
KLBSL,49.08,"1,465.20","1,480.00","1,451.00","1,451.00","1,463.32",351.00,"1,495.00","513,626.60",11,-44.00,29.00,-2.94,2.00,-0.85,"1,594.09","1,604.63","2,042.00","1,034.00",11_11_2021
KLBSL,41.63,"1,465.20","1,480.00","1,451.00","1,451.00","1,463.32",351.00,"1,495.00","513,626.60",11,-44.00,29.00,-2.94,2.00,-0.85,"1,594.09","1,604.63","2,042.00","1,034.00",11_12_2021
