Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
KMCDB,51.88,"1,360.00","1,370.00","1,315.00","1,320.50","1,325.75","11,287.00","1,338.00","14,963,792.30",172,-17.50,55.00,-1.31,4.18,-0.40,"1,395.47","1,287.15","1,715.00",710.00,09_01_2021
KMCDB,70.29,"1,448.40","1,536.00","1,441.00","1,443.00","1,481.33","20,802.00","1,420.00","30,814,540.30",266,23.00,95.00,1.62,6.59,-2.66,"1,375.79","1,353.55","1,715.00",743.00,11_03_2021
KMCDB,69.84,"1,448.40","1,536.00","1,441.00","1,443.00","1,481.33","20,802.00","1,420.00","30,814,540.30",266,23.00,95.00,1.62,6.59,-2.66,"1,375.79","1,353.55","1,715.00",743.00,11_05_2021
KMCDB,69.84,"1,448.40","1,536.00","1,441.00","1,443.00","1,481.33","20,802.00","1,420.00","30,814,540.30",266,23.00,95.00,1.62,6.59,-2.66,"1,375.79","1,353.55","1,715.00",743.00,11_06_2021
KMCDB,69.84,"1,448.40","1,536.00","1,441.00","1,443.00","1,481.33","20,802.00","1,420.00","30,814,540.30",266,23.00,95.00,1.62,6.59,-2.66,"1,375.79","1,353.55","1,715.00",743.00,11_07_2021
KMCDB,70.63,"1,471.80","1,471.80","1,380.00","1,394.00","1,395.54","7,385.00","1,443.00","10,306,066.00",108,-49.00,91.80,-3.40,6.65,-0.11,"1,376.02","1,353.93","1,715.00",743.00,11_08_2021
KMCDB,58.36,"1,421.80","1,421.80","1,325.00","1,390.00","1,339.13","15,759.00","1,394.00","21,103,327.50",136,-4.00,96.80,-0.29,7.31,3.66,"1,376.25","1,354.82","1,715.00",743.00,11_09_2021
KMCDB,56.03,"1,421.80","1,421.80","1,325.00","1,390.00","1,339.13","15,759.00","1,394.00","21,103,327.50",136,-4.00,96.80,-0.29,7.31,3.66,"1,376.25","1,354.82","1,715.00",743.00,11_10_2021
KMCDB,53.98,"1,362.20","1,365.00","1,310.00","1,315.00","1,329.32","4,611.00","1,390.00","6,129,494.40",87,-75.00,55.00,-5.40,4.20,-1.09,"1,375.72","1,355.10","1,715.00",743.00,11_11_2021
KMCDB,44.09,"1,362.20","1,365.00","1,310.00","1,315.00","1,329.32","4,611.00","1,390.00","6,129,494.40",87,-75.00,55.00,-5.40,4.20,-1.09,"1,375.72","1,355.10","1,715.00",743.00,11_12_2021
KMCDB,44.09,"1,362.20","1,365.00","1,310.00","1,315.00","1,329.32","4,611.00","1,390.00","6,129,494.40",87,-75.00,55.00,-5.40,4.20,-1.09,"1,375.72","1,355.10","1,715.00",743.00,11_13_2021
KMCDB,42.04,"1,313.00","1,335.00","1,286.00","1,335.00","1,305.41","5,226.00","1,315.00","6,822,069.00",72,20.00,49.00,1.52,3.81,2.22,"1,375.28","1,355.27","1,715.00",743.00,11_14_2021
KMCDB,43.74,"1,320.00","1,356.00","1,320.00","1,335.00","1,344.85","2,256.00","1,335.00","3,033,984.00",50,0.00,36.00,0.00,2.73,-0.74,"1,374.83","1,355.36","1,715.00",743.00,11_15_2021
KMCDB,41.15,"1,335.00","1,375.00","1,315.00","1,375.00","1,350.72","2,626.00","1,335.00","3,546,987.00",60,40.00,60.00,3.00,4.56,1.77,"1,374.42","1,355.27","1,715.00",743.00,11_16_2021
