Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
KMCDBP,58.44,785.00,785.00,785.00,785.00,785.00,"1,000.00",785.00,"785,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,785.00,710.00,11_03_2021
KMCDBP,57.02,785.00,785.00,785.00,785.00,785.00,"1,000.00",785.00,"785,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,785.00,710.00,11_05_2021
KMCDBP,57.02,785.00,785.00,785.00,785.00,785.00,"1,000.00",785.00,"785,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,785.00,710.00,11_06_2021
KMCDBP,57.02,785.00,785.00,785.00,785.00,785.00,"1,000.00",785.00,"785,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,785.00,710.00,11_07_2021
KMCDBP,53.17,785.00,785.00,785.00,785.00,785.00,"2,000.00",785.00,"1,570,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,785.00,710.00,11_25_2021
KMCDBP,50.25,785.00,785.00,785.00,785.00,785.00,"2,000.00",785.00,"1,570,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,785.00,710.00,11_26_2021
KMCDBP,50.25,785.00,785.00,785.00,785.00,785.00,"2,000.00",785.00,"1,570,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,785.00,710.00,11_27_2021
KMCDBP,37.60,693.00,693.00,693.00,693.00,693.00,"8,000.00",693.00,"5,544,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,785.00,693.00,03_02_2022
KMCDBP,30.12,693.00,693.00,693.00,693.00,693.00,"8,000.00",693.00,"5,544,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,785.00,693.00,03_03_2022
KMCDBP,30.12,693.00,693.00,693.00,693.00,693.00,"8,000.00",693.00,"5,544,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,785.00,693.00,03_04_2022
KMCDBP,30.12,693.00,693.00,693.00,693.00,693.00,"8,000.00",693.00,"5,544,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,785.00,693.00,03_05_2022
KMCDBP,26.63,488.00,488.00,488.00,488.00,488.00,"9,600.00",488.00,"4,684,800.00",1,0.00,0.00,0.00,0.00,0.00,-,-,785.00,488.00,11_24_2022
KMCDBP,26.72,488.00,488.00,488.00,488.00,488.00,"9,600.00",488.00,"4,684,800.00",1,0.00,0.00,0.00,0.00,0.00,-,-,785.00,488.00,11_25_2022
KMCDBP,26.72,488.00,488.00,488.00,488.00,488.00,"9,600.00",488.00,"4,684,800.00",1,0.00,0.00,0.00,0.00,0.00,-,-,785.00,488.00,11_26_2022
KMCDBP,25.34,480.00,480.00,480.00,480.00,480.00,"1,130.00",488.00,"542,400.00",1,-8.00,0.00,-1.64,0.00,0.00,-,-,693.00,480.00,12_21_2022
KMCDBP,27.64,480.00,480.00,480.00,480.00,480.00,"4,100.00",480.00,"1,968,000.00",5,0.00,0.00,0.00,0.00,0.00,-,-,693.00,480.00,01_01_2023
KMCDBP,38.80,480.00,480.00,480.00,480.00,480.00,"1,600.00",480.00,"768,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,693.00,480.00,01_18_2023
KMCDBP,24.28,415.00,415.00,415.00,415.00,415.00,"3,720.00",415.00,"1,543,800.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,488.00,415.00,03_28_2023
