Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
KPCL,48.69,716.00,739.00,685.00,730.00,720.20,"31,013.00",702.00,"22,335,512.70",258,28.00,54.00,3.99,7.88,1.34,446.17,371.56,878.90,113.00,09_01_2021
KPCL,65.43,706.00,749.00,656.00,679.00,686.13,"33,190.00",693.00,"22,772,705.40",192,-14.00,93.00,-2.02,14.18,-1.05,551.24,459.26,878.90,177.00,11_03_2021
KPCL,60.89,706.00,749.00,656.00,679.00,686.13,"33,190.00",693.00,"22,772,705.40",192,-14.00,93.00,-2.02,14.18,-1.05,551.24,459.26,878.90,177.00,11_05_2021
KPCL,60.89,706.00,749.00,656.00,679.00,686.13,"33,190.00",693.00,"22,772,705.40",192,-14.00,93.00,-2.02,14.18,-1.05,551.24,459.26,878.90,177.00,11_06_2021
KPCL,60.89,706.00,749.00,656.00,679.00,686.13,"33,190.00",693.00,"22,772,705.40",192,-14.00,93.00,-2.02,14.18,-1.05,551.24,459.26,878.90,177.00,11_07_2021
KPCL,61.68,692.50,700.00,647.00,647.10,658.97,"8,585.00",679.00,"5,657,273.00",81,-31.90,53.00,-4.70,8.19,-1.83,554.00,461.52,878.90,177.00,11_08_2021
KPCL,52.05,660.00,673.00,590.00,605.00,606.76,"33,152.00",647.10,"20,115,439.50",249,-42.10,83.00,-6.51,14.07,-0.29,556.47,463.47,878.90,177.00,11_09_2021
KPCL,50.87,660.00,673.00,590.00,605.00,606.76,"33,152.00",647.10,"20,115,439.50",249,-42.10,83.00,-6.51,14.07,-0.29,556.47,463.47,878.90,177.00,11_10_2021
KPCL,48.82,593.10,602.00,568.40,580.00,578.89,"16,119.00",605.00,"9,331,055.80",141,-25.00,33.60,-4.13,5.91,0.19,558.66,465.25,878.90,177.00,11_11_2021
KPCL,45.58,593.10,602.00,568.40,580.00,578.89,"16,119.00",605.00,"9,331,055.80",141,-25.00,33.60,-4.13,5.91,0.19,558.66,465.25,878.90,177.00,11_12_2021
KPCL,45.58,593.10,602.00,568.40,580.00,578.89,"16,119.00",605.00,"9,331,055.80",141,-25.00,33.60,-4.13,5.91,0.19,558.66,465.25,878.90,177.00,11_13_2021
KPCL,43.53,569.00,627.00,558.00,615.00,589.76,"13,690.00",580.00,"8,073,823.00",124,35.00,69.00,6.03,12.37,4.10,561.14,467.17,878.90,177.00,11_14_2021
KPCL,43.45,626.90,632.00,617.00,619.50,621.55,"14,807.00",615.00,"9,203,304.50",116,4.50,15.00,0.73,2.43,-0.33,563.50,469.15,878.90,177.00,11_15_2021
KPCL,44.27,629.90,650.00,617.40,649.00,633.67,"14,520.00",619.50,"9,200,899.50",132,29.50,32.60,4.76,5.28,2.36,566.10,471.32,878.90,177.00,11_16_2021
KPCL,52.37,661.90,661.90,633.00,645.00,647.08,"14,415.00",649.00,"9,327,662.00",123,-4.00,28.90,-0.62,4.57,-0.32,568.60,473.49,878.90,177.00,11_17_2021
KPCL,56.83,657.90,657.90,615.00,626.00,626.52,"12,245.00",645.00,"7,671,761.00",119,-19.00,42.90,-2.95,6.98,-0.08,570.82,475.50,878.90,177.00,11_18_2021
KPCL,48.15,657.90,657.90,615.00,626.00,626.52,"12,245.00",645.00,"7,671,761.00",119,-19.00,42.90,-2.95,6.98,-0.08,570.82,475.50,878.90,177.00,11_19_2021
KPCL,48.15,657.90,657.90,615.00,626.00,626.52,"12,245.00",645.00,"7,671,761.00",119,-19.00,42.90,-2.95,6.98,-0.08,570.82,475.50,878.90,177.00,11_20_2021
KPCL,43.45,638.50,651.00,612.00,645.00,621.45,"9,167.00",626.00,"5,696,869.70",100,19.00,39.00,3.04,6.37,3.65,572.90,477.64,878.90,177.00,11_21_2021
KPCL,44.75,654.00,654.00,625.00,635.80,635.41,"4,355.00",645.00,"2,767,198.00",65,-9.20,29.00,-1.43,4.64,0.06,575.05,479.75,878.90,177.00,11_22_2021
KPCL,43.76,623.10,640.00,590.00,613.00,606.71,"12,693.00",635.80,"7,700,953.50",123,-22.80,50.00,-3.59,8.47,1.03,577.12,481.71,878.90,177.00,11_23_2021
KPCL,45.72,625.20,625.20,595.00,610.00,606.49,"10,140.00",613.00,"6,149,815.00",83,-3.00,30.20,-0.49,5.08,0.58,578.86,483.63,878.90,177.00,11_24_2021
KPCL,47.35,602.00,619.00,598.00,606.10,608.80,"10,107.00",610.00,"6,153,185.20",65,-3.90,21.00,-0.64,3.51,-0.45,580.64,485.54,878.90,177.00,11_25_2021
KPCL,46.24,602.00,619.00,598.00,606.10,608.80,"10,107.00",610.00,"6,153,185.20",65,-3.90,21.00,-0.64,3.51,-0.45,580.64,485.54,878.90,177.00,11_26_2021
KPCL,46.24,602.00,619.00,598.00,606.10,608.80,"10,107.00",610.00,"6,153,185.20",65,-3.90,21.00,-0.64,3.51,-0.45,580.64,485.54,878.90,177.00,11_27_2021
KPCL,43.34,594.00,604.00,567.00,574.90,578.85,"14,354.00",606.10,"8,308,863.50",164,-31.20,37.00,-5.15,6.53,-0.69,582.09,487.27,878.90,177.00,11_28_2021
KPCL,36.57,570.00,601.80,567.50,596.00,582.31,"13,187.00",574.90,"7,678,883.20",119,21.10,34.30,3.67,6.04,2.30,583.44,489.13,878.90,177.00,11_29_2021
KPCL,35.19,607.90,607.90,570.00,595.60,583.71,"7,026.00",596.00,"4,101,125.50",89,-0.40,37.90,-0.07,6.65,2.00,584.72,491.02,878.90,177.00,11_30_2021
KPCL,36.57,607.50,607.50,584.10,594.80,590.83,"2,440.00",595.60,"1,441,633.80",52,-0.80,23.40,-0.13,4.01,0.67,586.26,492.96,878.90,177.00,12_01_2021
KPCL,38.73,590.00,590.00,566.00,574.90,572.26,"7,809.00",594.80,"4,468,782.00",75,-19.90,24.00,-3.35,4.24,0.46,587.30,494.75,878.90,177.00,12_02_2021
KPCL,44.08,590.00,590.00,566.00,574.90,572.26,"7,809.00",594.80,"4,468,782.00",75,-19.90,24.00,-3.35,4.24,0.46,587.30,494.75,878.90,177.00,12_03_2021
KPCL,44.08,590.00,590.00,566.00,574.90,572.26,"7,809.00",594.80,"4,468,782.00",75,-19.90,24.00,-3.35,4.24,0.46,587.30,494.75,878.90,177.00,12_04_2021
KPCL,43.18,586.30,586.30,536.00,549.00,547.88,"3,070.00",574.90,"1,681,983.00",61,-25.90,50.30,-4.51,9.38,0.20,587.99,496.44,878.90,177.00,12_05_2021
