Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
KRBL,58.19,570.00,607.00,555.00,569.00,580.38,"115,656.00",568.00,"67,124,297.40",821,1.00,52.00,0.18,9.37,-2.00,304.20,254.60,607.00,100.00,09_01_2021
KRBL,68.28,495.70,505.60,475.30,485.00,493.10,"21,377.00",486.00,"10,540,992.60",175,-1.00,30.30,-0.21,6.37,-1.67,395.13,323.08,607.00,127.00,11_03_2021
KRBL,62.27,495.70,505.60,475.30,485.00,493.10,"21,377.00",486.00,"10,540,992.60",175,-1.00,30.30,-0.21,6.37,-1.67,395.13,323.08,607.00,127.00,11_05_2021
KRBL,62.27,495.70,505.60,475.30,485.00,493.10,"21,377.00",486.00,"10,540,992.60",175,-1.00,30.30,-0.21,6.37,-1.67,395.13,323.08,607.00,127.00,11_06_2021
KRBL,62.27,495.70,505.60,475.30,485.00,493.10,"21,377.00",486.00,"10,540,992.60",175,-1.00,30.30,-0.21,6.37,-1.67,395.13,323.08,607.00,127.00,11_07_2021
KRBL,63.05,494.70,499.90,473.00,482.00,484.07,"12,085.00",485.00,"5,849,984.50",94,-3.00,26.90,-0.62,5.69,-0.43,397.50,324.81,607.00,127.00,11_08_2021
KRBL,57.30,472.50,477.00,445.00,455.00,458.38,"43,007.00",482.00,"19,713,585.60",339,-27.00,32.00,-5.60,7.19,-0.74,399.65,326.40,607.00,127.00,11_09_2021
KRBL,56.83,472.50,477.00,445.00,455.00,458.38,"43,007.00",482.00,"19,713,585.60",339,-27.00,32.00,-5.60,7.19,-0.74,399.65,326.40,607.00,127.00,11_10_2021
KRBL,54.78,446.00,464.00,437.10,442.10,447.91,"20,456.00",455.00,"9,162,395.20",145,-12.90,26.90,-2.84,6.15,-1.31,401.69,327.91,607.00,127.00,11_11_2021
KRBL,45.78,446.00,464.00,437.10,442.10,447.91,"20,456.00",455.00,"9,162,395.20",145,-12.90,26.90,-2.84,6.15,-1.31,401.69,327.91,607.00,127.00,11_12_2021
KRBL,45.78,446.00,464.00,437.10,442.10,447.91,"20,456.00",455.00,"9,162,395.20",145,-12.90,26.90,-2.84,6.15,-1.31,401.69,327.91,607.00,127.00,11_13_2021
KRBL,43.73,436.00,455.00,433.00,448.00,445.19,"15,441.00",442.10,"6,874,147.70",113,5.90,22.00,1.33,5.08,0.63,403.79,329.48,607.00,127.00,11_14_2021
KRBL,42.78,449.00,472.80,449.00,465.00,463.57,"12,784.00",448.00,"5,926,271.00",104,17.00,23.80,3.79,5.30,0.31,406.03,331.12,607.00,127.00,11_15_2021
KRBL,42.59,472.00,477.30,463.00,475.00,470.74,"11,918.00",465.00,"5,610,333.20",109,10.00,14.30,2.15,3.09,0.90,408.27,332.80,607.00,127.00,11_16_2021
KRBL,52.66,484.00,485.00,460.00,463.00,476.02,"22,687.00",475.00,"10,799,557.80",156,-12.00,25.00,-2.53,5.43,-2.81,410.30,334.45,607.00,127.00,11_17_2021
KRBL,59.47,460.00,466.00,447.00,448.00,454.30,"8,707.00",463.00,"3,955,622.30",99,-15.00,19.00,-3.24,4.25,-1.41,412.22,336.01,607.00,127.00,11_18_2021
KRBL,44.81,460.00,466.00,447.00,448.00,454.30,"8,707.00",463.00,"3,955,622.30",99,-15.00,19.00,-3.24,4.25,-1.41,412.22,336.01,607.00,127.00,11_19_2021
KRBL,44.81,460.00,466.00,447.00,448.00,454.30,"8,707.00",463.00,"3,955,622.30",99,-15.00,19.00,-3.24,4.25,-1.41,412.22,336.01,607.00,127.00,11_20_2021
KRBL,40.11,448.00,469.00,446.00,458.00,454.25,"8,649.00",448.00,"3,928,813.50",79,10.00,23.00,2.23,5.16,0.82,414.04,337.62,607.00,127.00,11_21_2021
KRBL,40.06,464.30,464.30,449.00,450.00,451.56,"3,553.00",458.00,"1,604,380.00",42,-8.00,15.30,-1.75,3.41,-0.35,415.61,339.17,607.00,127.00,11_22_2021
KRBL,35.97,459.00,459.00,428.00,436.00,435.75,"11,419.00",450.00,"4,975,775.20",133,-14.00,31.00,-3.11,7.24,0.06,417.08,340.55,607.00,127.00,11_23_2021
KRBL,40.20,427.60,467.00,416.50,465.00,434.42,"20,648.00",436.00,"8,969,880.40",131,29.00,50.50,6.65,12.12,6.58,418.57,342.09,607.00,127.00,11_24_2021
KRBL,51.42,462.00,466.00,442.00,442.00,456.29,"17,438.00",465.00,"7,956,789.20",107,-23.00,24.00,-4.95,5.43,-3.23,419.89,343.53,607.00,127.00,11_25_2021
KRBL,44.28,462.00,466.00,442.00,442.00,456.29,"17,438.00",465.00,"7,956,789.20",107,-23.00,24.00,-4.95,5.43,-3.23,419.89,343.53,607.00,127.00,11_26_2021
KRBL,44.28,462.00,466.00,442.00,442.00,456.29,"17,438.00",465.00,"7,956,789.20",107,-23.00,24.00,-4.95,5.43,-3.23,419.89,343.53,607.00,127.00,11_27_2021
KRBL,41.38,433.20,440.00,423.00,423.00,429.78,"12,734.00",442.00,"5,472,825.00",127,-19.00,17.00,-4.30,4.02,-1.60,421.09,344.90,607.00,127.00,11_28_2021
KRBL,38.70,425.00,442.00,418.00,430.90,427.50,"11,064.00",423.00,"4,729,855.90",107,7.90,24.00,1.87,5.74,0.79,422.20,346.30,607.00,127.00,11_29_2021
KRBL,45.34,439.50,440.00,415.00,431.00,426.70,"10,100.00",430.90,"4,309,667.00",55,0.10,25.00,0.02,6.02,1.00,423.13,347.72,607.00,127.00,11_30_2021
KRBL,36.78,431.00,441.00,430.00,435.00,435.09,"3,734.00",431.00,"1,624,630.00",42,4.00,11.00,0.93,2.56,-0.02,424.22,349.21,607.00,127.00,12_01_2021
KRBL,41.76,443.50,443.50,420.00,421.00,426.07,"6,682.00",435.00,"2,846,993.00",71,-14.00,23.50,-3.22,5.60,-1.20,425.23,350.59,607.00,127.00,12_02_2021
KRBL,46.07,443.50,443.50,420.00,421.00,426.07,"6,682.00",435.00,"2,846,993.00",71,-14.00,23.50,-3.22,5.60,-1.20,425.23,350.59,607.00,127.00,12_03_2021
KRBL,46.07,443.50,443.50,420.00,421.00,426.07,"6,682.00",435.00,"2,846,993.00",71,-14.00,23.50,-3.22,5.60,-1.20,425.23,350.59,607.00,127.00,12_04_2021
KRBL,45.17,412.60,421.20,392.00,392.00,407.80,"12,239.00",421.00,"4,991,096.00",111,-29.00,29.20,-6.89,7.45,-4.03,425.86,351.84,607.00,127.00,12_05_2021
KRBL,40.12,386.00,431.00,380.00,410.00,398.65,"20,321.00",392.00,"8,100,994.50",185,18.00,51.00,4.59,13.42,2.77,426.49,353.20,607.00,127.00,12_06_2021
KRBL,45.43,418.20,428.00,400.00,400.00,415.46,"11,141.00",410.00,"4,628,586.30",107,-10.00,28.00,-2.44,7.00,-3.86,427.13,354.47,607.00,127.00,12_07_2021
KRBL,39.94,408.00,413.00,381.30,388.90,393.40,"10,314.00",400.00,"4,057,569.40",98,-11.10,31.70,-2.78,8.31,-1.16,427.61,355.71,607.00,127.00,12_08_2021
KRBL,37.13,388.90,402.90,374.00,388.00,385.36,"9,920.00",388.90,"3,822,762.00",83,-0.90,28.90,-0.23,7.73,0.68,427.81,356.94,607.00,127.00,12_09_2021
KRBL,44.09,388.90,402.90,374.00,388.00,385.36,"9,920.00",388.90,"3,822,762.00",83,-0.90,28.90,-0.23,7.73,0.68,427.81,356.94,607.00,127.00,12_10_2021
KRBL,44.09,388.90,402.90,374.00,388.00,385.36,"9,920.00",388.90,"3,822,762.00",83,-0.90,28.90,-0.23,7.73,0.68,427.81,356.94,607.00,127.00,12_11_2021
KRBL,43.44,387.10,387.10,358.70,360.00,376.43,"8,464.00",388.00,"3,186,137.50",85,-28.00,28.40,-7.22,7.92,-4.57,427.82,358.02,607.00,127.00,12_12_2021
KRBL,31.88,353.00,359.80,330.10,335.00,345.24,"13,409.00",360.00,"4,629,372.00",101,-25.00,29.70,-6.94,9.00,-3.06,427.61,358.99,607.00,127.00,12_13_2021
KRBL,36.50,341.00,367.00,329.00,367.00,354.77,"8,865.00",335.00,"3,145,002.50",56,32.00,38.00,9.55,11.55,3.33,427.37,360.14,607.00,127.00,12_14_2021
KRBL,41.94,374.30,402.00,357.00,375.00,383.48,"21,749.00",367.00,"8,340,264.60",184,8.00,45.00,2.18,12.61,-2.26,427.05,361.34,607.00,127.00,12_15_2021
KRBL,44.82,375.00,382.00,355.00,355.00,362.27,"12,232.00",375.00,"4,431,227.50",111,-20.00,27.00,-5.33,7.61,-2.05,426.73,362.39,607.00,127.00,12_16_2021
KRBL,44.79,375.00,382.00,355.00,355.00,362.27,"12,232.00",375.00,"4,431,227.50",111,-20.00,27.00,-5.33,7.61,-2.05,426.73,362.39,607.00,127.00,12_17_2021
KRBL,44.79,375.00,382.00,355.00,355.00,362.27,"12,232.00",375.00,"4,431,227.50",111,-20.00,27.00,-5.33,7.61,-2.05,426.73,362.39,607.00,127.00,12_18_2021
KRBL,44.79,375.00,382.00,355.00,355.00,362.27,"12,232.00",375.00,"4,431,227.50",111,-20.00,27.00,-5.33,7.61,-2.05,426.73,362.39,607.00,127.00,12_19_2021
