Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
KSBBL,49.88,725.00,740.00,710.20,718.00,723.28,"190,853.00",718.00,"138,040,750.90","1,124",0.00,29.80,0.00,4.20,-0.74,478.46,408.19,866.90,140.00,09_01_2021
KSBBL,70.10,670.00,675.00,647.80,652.00,657.82,"173,643.00",670.00,"114,226,549.70",939,-18.00,27.20,-2.69,4.20,-0.89,592.98,503.39,866.90,206.00,11_03_2021
KSBBL,48.94,670.00,675.00,647.80,652.00,657.82,"173,643.00",670.00,"114,226,549.70",939,-18.00,27.20,-2.69,4.20,-0.89,592.98,503.39,866.90,206.00,11_05_2021
KSBBL,48.94,670.00,675.00,647.80,652.00,657.82,"173,643.00",670.00,"114,226,549.70",939,-18.00,27.20,-2.69,4.20,-0.89,592.98,503.39,866.90,206.00,11_06_2021
KSBBL,48.94,670.00,675.00,647.80,652.00,657.82,"173,643.00",670.00,"114,226,549.70",939,-18.00,27.20,-2.69,4.20,-0.89,592.98,503.39,866.90,206.00,11_07_2021
KSBBL,49.72,650.00,660.00,639.00,640.00,644.92,"72,331.00",652.00,"46,647,723.40",532,-12.00,21.00,-1.84,3.29,-0.77,595.45,505.34,866.90,206.00,11_08_2021
KSBBL,48.89,640.00,640.00,602.00,607.00,619.50,"160,686.00",640.00,"99,544,583.60","1,112",-33.00,38.00,-5.16,6.31,-2.06,597.66,507.10,866.90,206.00,11_09_2021
KSBBL,48.40,640.00,640.00,602.00,607.00,619.50,"160,686.00",640.00,"99,544,583.60","1,112",-33.00,38.00,-5.16,6.31,-2.06,597.66,507.10,866.90,206.00,11_10_2021
KSBBL,46.35,607.00,615.00,583.00,593.00,599.82,"156,563.00",607.00,"93,909,659.00","1,019",-14.00,32.00,-2.31,5.49,-1.15,599.76,508.68,866.90,206.00,11_11_2021
KSBBL,45.34,607.00,615.00,583.00,593.00,599.82,"156,563.00",607.00,"93,909,659.00","1,019",-14.00,32.00,-2.31,5.49,-1.15,599.76,508.68,866.90,206.00,11_12_2021
KSBBL,45.34,607.00,615.00,583.00,593.00,599.82,"156,563.00",607.00,"93,909,659.00","1,019",-14.00,32.00,-2.31,5.49,-1.15,599.76,508.68,866.90,206.00,11_13_2021
KSBBL,43.29,590.00,608.00,585.10,595.00,597.80,"78,685.00",593.00,"47,037,946.30",566,2.00,22.90,0.34,3.91,-0.47,601.85,510.15,866.90,206.00,11_14_2021
KSBBL,40.90,606.90,626.80,606.90,617.50,616.20,"82,659.00",595.00,"50,934,578.70",682,22.50,19.90,3.78,3.28,0.21,604.13,511.78,866.90,206.00,11_15_2021
KSBBL,45.05,620.00,625.00,610.00,616.20,617.33,"72,564.00",617.50,"44,795,973.40",631,-1.30,15.00,-0.21,2.46,-0.18,606.29,513.42,866.90,206.00,11_16_2021
KSBBL,57.07,628.50,628.50,608.00,608.00,617.89,"77,902.00",616.20,"48,134,715.00",542,-8.20,20.50,-1.33,3.37,-1.63,608.22,515.05,866.90,206.00,11_17_2021
KSBBL,57.26,608.00,618.80,594.00,595.00,600.09,"71,187.00",608.00,"42,718,852.70",600,-13.00,24.80,-2.14,4.18,-0.86,610.06,516.51,866.90,206.00,11_18_2021
KSBBL,53.83,608.00,618.80,594.00,595.00,600.09,"71,187.00",608.00,"42,718,852.70",600,-13.00,24.80,-2.14,4.18,-0.86,610.06,516.51,866.90,206.00,11_19_2021
KSBBL,53.83,608.00,618.80,594.00,595.00,600.09,"71,187.00",608.00,"42,718,852.70",600,-13.00,24.80,-2.14,4.18,-0.86,610.06,516.51,866.90,206.00,11_20_2021
KSBBL,49.13,605.00,605.00,585.10,590.00,591.16,"52,986.00",595.00,"31,323,137.10",444,-5.00,19.90,-0.84,3.40,-0.20,611.79,517.98,866.90,206.00,11_21_2021
KSBBL,38.87,590.00,600.00,577.00,580.00,584.34,"88,056.00",590.00,"51,454,368.80",629,-10.00,23.00,-1.69,3.99,-0.75,613.49,519.40,866.90,206.00,11_22_2021
KSBBL,44.88,580.00,587.00,555.70,564.90,566.93,"66,079.00",580.00,"37,461,943.70",637,-15.10,31.30,-2.60,5.63,-0.36,614.98,520.70,866.90,206.00,11_23_2021
KSBBL,42.40,556.00,583.70,546.00,583.00,569.28,"60,439.00",564.90,"34,406,727.50",492,18.10,37.70,3.20,6.90,2.35,616.36,522.14,866.90,206.00,11_24_2021
KSBBL,49.53,588.00,588.00,570.00,570.00,575.54,"43,648.00",583.00,"25,121,020.40",331,-13.00,18.00,-2.23,3.16,-0.97,617.64,523.56,866.90,206.00,11_25_2021
KSBBL,48.80,588.00,588.00,570.00,570.00,575.54,"43,648.00",583.00,"25,121,020.40",331,-13.00,18.00,-2.23,3.16,-0.97,617.64,523.56,866.90,206.00,11_26_2021
KSBBL,48.80,588.00,588.00,570.00,570.00,575.54,"43,648.00",583.00,"25,121,020.40",331,-13.00,18.00,-2.23,3.16,-0.97,617.64,523.56,866.90,206.00,11_27_2021
KSBBL,45.90,560.00,570.00,539.00,541.90,547.77,"108,171.00",570.00,"59,253,012.80",863,-28.10,31.00,-4.93,5.75,-1.08,618.74,524.84,866.90,206.00,11_28_2021
KSBBL,48.62,536.00,558.00,530.00,533.00,541.59,"83,325.00",541.90,"45,127,829.50",516,-8.90,28.00,-1.64,5.28,-1.61,619.58,526.04,866.90,206.00,11_29_2021
