Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
LBBL,49.44,673.00,688.90,660.00,667.90,672.43,"242,738.00",670.00,"163,224,137.10","1,351",-2.10,28.90,-0.31,4.38,-0.68,454.21,381.64,774.00,179.00,09_01_2021
LBBL,74.82,652.00,678.00,639.00,641.40,649.63,"159,447.00",652.00,"103,582,250.30",870,-10.60,39.00,-1.63,6.10,-1.28,553.56,456.14,774.00,198.00,11_03_2021
LBBL,69.99,652.00,678.00,639.00,641.40,649.63,"159,447.00",652.00,"103,582,250.30",870,-10.60,39.00,-1.63,6.10,-1.28,553.56,456.14,774.00,198.00,11_05_2021
LBBL,69.99,652.00,678.00,639.00,641.40,649.63,"159,447.00",652.00,"103,582,250.30",870,-10.60,39.00,-1.63,6.10,-1.28,553.56,456.14,774.00,198.00,11_06_2021
LBBL,69.99,652.00,678.00,639.00,641.40,649.63,"159,447.00",652.00,"103,582,250.30",870,-10.60,39.00,-1.63,6.10,-1.28,553.56,456.14,774.00,198.00,11_07_2021
LBBL,70.78,641.00,665.00,640.00,648.90,650.20,"191,841.00",641.40,"124,735,182.50",746,7.50,25.00,1.17,3.91,-0.20,556.67,458.42,774.00,198.00,11_08_2021
LBBL,67.68,640.00,651.00,606.00,619.00,623.32,"272,538.00",648.90,"169,878,296.80","1,328",-29.90,45.00,-4.61,7.43,-0.70,559.55,460.53,774.00,198.00,11_09_2021
LBBL,60.16,640.00,651.00,606.00,619.00,623.32,"272,538.00",648.90,"169,878,296.80","1,328",-29.90,45.00,-4.61,7.43,-0.70,559.55,460.53,774.00,198.00,11_10_2021
LBBL,58.11,620.00,620.00,588.00,596.00,601.24,"133,825.00",619.00,"80,460,680.30",858,-23.00,32.00,-3.72,5.44,-0.88,562.21,462.48,774.00,198.00,11_11_2021
LBBL,49.69,620.00,620.00,588.00,596.00,601.24,"133,825.00",619.00,"80,460,680.30",858,-23.00,32.00,-3.72,5.44,-0.88,562.21,462.48,774.00,198.00,11_12_2021
LBBL,49.69,620.00,620.00,588.00,596.00,601.24,"133,825.00",619.00,"80,460,680.30",858,-23.00,32.00,-3.72,5.44,-0.88,562.21,462.48,774.00,198.00,11_13_2021
LBBL,47.64,596.00,639.00,596.00,626.10,624.84,"259,886.00",596.00,"162,386,822.70","1,244",30.10,43.00,5.05,7.21,0.20,565.08,464.57,774.00,198.00,11_14_2021
LBBL,54.07,613.60,671.90,613.60,660.00,659.18,"361,029.00",626.10,"237,982,101.20","1,682",33.90,58.30,5.41,9.50,0.12,568.24,466.85,774.00,198.00,11_15_2021
LBBL,59.28,673.00,676.20,656.00,670.00,668.70,"272,892.00",660.00,"182,483,005.20","1,267",10.00,20.20,1.52,3.08,0.19,571.42,469.13,774.00,198.00,11_16_2021
LBBL,55.36,675.00,697.00,657.00,657.00,670.35,"292,680.00",670.00,"196,199,421.80","1,266",-13.00,40.00,-1.94,6.09,-2.03,574.41,471.33,774.00,198.00,11_17_2021
LBBL,57.81,660.00,673.00,640.00,644.00,654.76,"144,585.00",657.00,"94,668,148.90",794,-13.00,33.00,-1.98,5.16,-1.67,577.30,473.44,774.00,198.00,11_18_2021
