Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
LBL,49.00,381.00,384.00,372.00,373.00,376.33,"104,141.00",375.00,"39,191,874.00",373,-2.00,12.00,-0.53,3.23,-0.89,354.26,330.39,447.00,231.00,09_01_2021
LBL,65.80,349.00,351.00,343.10,346.40,347.36,"62,034.00",346.50,"21,548,114.50",170,-0.10,7.90,-0.03,2.30,-0.28,370.41,345.51,447.00,259.00,11_03_2021
LBL,65.06,349.00,351.00,343.10,346.40,347.36,"62,034.00",346.50,"21,548,114.50",170,-0.10,7.90,-0.03,2.30,-0.28,370.41,345.51,447.00,259.00,11_05_2021
LBL,65.06,349.00,351.00,343.10,346.40,347.36,"62,034.00",346.50,"21,548,114.50",170,-0.10,7.90,-0.03,2.30,-0.28,370.41,345.51,447.00,259.00,11_06_2021
LBL,65.06,349.00,351.00,343.10,346.40,347.36,"62,034.00",346.50,"21,548,114.50",170,-0.10,7.90,-0.03,2.30,-0.28,370.41,345.51,447.00,259.00,11_07_2021
LBL,65.85,350.00,350.00,340.50,346.00,343.48,"26,141.00",346.40,"8,978,997.70",111,-0.40,9.50,-0.12,2.79,0.73,370.60,345.90,447.00,259.00,11_08_2021
LBL,56.34,339.40,340.00,324.00,328.90,331.83,"84,332.00",346.00,"27,983,825.80",319,-17.10,16.00,-4.94,4.94,-0.89,370.74,346.20,447.00,259.00,11_09_2021
LBL,51.07,339.40,340.00,324.00,328.90,331.83,"84,332.00",346.00,"27,983,825.80",319,-17.10,16.00,-4.94,4.94,-0.89,370.74,346.20,447.00,259.00,11_10_2021
LBL,49.02,333.50,333.50,316.00,316.00,320.23,"76,326.00",328.90,"24,441,694.50",384,-12.90,17.50,-3.92,5.54,-1.34,370.79,346.37,447.00,259.00,11_11_2021
LBL,47.84,333.50,333.50,316.00,316.00,320.23,"76,326.00",328.90,"24,441,694.50",384,-12.90,17.50,-3.92,5.54,-1.34,370.79,346.37,447.00,259.00,11_12_2021
LBL,47.84,333.50,333.50,316.00,316.00,320.23,"76,326.00",328.90,"24,441,694.50",384,-12.90,17.50,-3.92,5.54,-1.34,370.79,346.37,447.00,259.00,11_13_2021
LBL,45.79,314.00,319.00,309.70,314.00,314.64,"26,389.00",316.00,"8,303,015.70",168,-2.00,9.30,-0.63,3.00,-0.20,370.83,346.53,447.00,259.00,11_14_2021
LBL,41.94,320.20,322.00,314.00,315.00,315.79,"24,817.00",314.00,"7,836,942.90",143,1.00,8.00,0.32,2.55,-0.25,370.86,346.64,447.00,259.00,11_15_2021
LBL,41.95,317.00,323.90,312.00,321.00,319.31,"30,212.00",315.00,"9,646,897.40",155,6.00,11.90,1.90,3.81,0.53,370.93,346.80,447.00,259.00,11_16_2021
LBL,42.33,322.10,325.80,321.20,322.00,322.74,"26,030.00",321.00,"8,401,003.90",151,1.00,4.60,0.31,1.43,-0.23,370.99,347.00,447.00,259.00,11_17_2021
LBL,57.98,320.00,320.00,315.00,316.00,317.42,"26,483.00",322.00,"8,406,177.20",123,-6.00,5.00,-1.86,1.59,-0.45,371.00,347.13,447.00,259.00,11_18_2021
LBL,58.88,320.00,320.00,315.00,316.00,317.42,"26,483.00",322.00,"8,406,177.20",123,-6.00,5.00,-1.86,1.59,-0.45,371.00,347.13,447.00,259.00,11_19_2021
LBL,58.88,320.00,320.00,315.00,316.00,317.42,"26,483.00",322.00,"8,406,177.20",123,-6.00,5.00,-1.86,1.59,-0.45,371.00,347.13,447.00,259.00,11_20_2021
LBL,54.18,315.00,319.00,314.10,314.50,315.54,"16,355.00",316.00,"5,160,691.00",98,-1.50,4.90,-0.47,1.56,-0.33,370.96,347.20,447.00,259.00,11_21_2021
LBL,40.16,315.00,317.00,312.10,313.10,314.43,"21,663.00",314.50,"6,811,403.40",122,-1.40,4.90,-0.45,1.57,-0.42,370.91,347.19,447.00,259.00,11_22_2021
LBL,39.28,311.00,314.50,310.50,312.00,312.04,"23,357.00",313.10,"7,288,245.40",105,-1.10,4.00,-0.35,1.29,-0.01,370.76,347.14,447.00,259.00,11_23_2021
LBL,40.15,310.00,311.00,307.00,309.30,309.46,"21,159.00",312.00,"6,547,879.50",130,-2.70,4.00,-0.87,1.30,-0.05,370.52,347.14,447.00,259.00,11_24_2021
LBL,41.17,310.00,319.00,306.20,317.00,312.28,"34,550.00",309.30,"10,789,229.90",164,7.70,12.80,2.49,4.18,1.49,370.34,347.20,447.00,259.00,11_25_2021
LBL,61.01,310.00,319.00,306.20,317.00,312.28,"34,550.00",309.30,"10,789,229.90",164,7.70,12.80,2.49,4.18,1.49,370.34,347.20,447.00,259.00,11_26_2021
LBL,61.01,310.00,319.00,306.20,317.00,312.28,"34,550.00",309.30,"10,789,229.90",164,7.70,12.80,2.49,4.18,1.49,370.34,347.20,447.00,259.00,11_27_2021
LBL,58.11,311.00,313.00,305.00,307.00,308.65,"28,821.00",317.00,"8,895,648.70",123,-10.00,8.00,-3.15,2.62,-0.54,370.14,347.22,447.00,259.00,11_28_2021
LBL,48.30,305.00,315.00,305.00,305.00,307.72,"17,933.00",307.00,"5,518,365.80",110,-2.00,10.00,-0.65,3.28,-0.89,369.91,347.22,447.00,259.00,11_29_2021
LBL,45.71,300.10,306.00,300.10,302.60,304.10,"30,348.00",305.00,"9,228,689.10",91,-2.40,5.90,-0.79,1.97,-0.49,369.59,347.25,447.00,259.00,11_30_2021
LBL,48.22,301.00,312.00,301.00,305.00,305.38,"21,798.00",302.60,"6,656,743.30",135,2.40,11.00,0.79,3.65,-0.13,369.33,347.33,447.00,259.00,12_01_2021
LBL,44.04,305.00,306.00,297.00,300.00,300.85,"42,117.00",305.00,"12,670,962.30",186,-5.00,9.00,-1.64,3.03,-0.28,369.06,347.35,447.00,259.00,12_02_2021
LBL,49.98,305.00,306.00,297.00,300.00,300.85,"42,117.00",305.00,"12,670,962.30",186,-5.00,9.00,-1.64,3.03,-0.28,369.06,347.35,447.00,259.00,12_03_2021
LBL,49.98,305.00,306.00,297.00,300.00,300.85,"42,117.00",305.00,"12,670,962.30",186,-5.00,9.00,-1.64,3.03,-0.28,369.06,347.35,447.00,259.00,12_04_2021
LBL,49.08,305.00,305.00,288.20,291.10,292.69,"43,176.00",300.00,"12,637,132.70",201,-8.90,16.80,-2.97,5.83,-0.55,368.68,347.38,447.00,259.00,12_05_2021
LBL,45.07,295.70,296.80,285.00,296.80,290.48,"41,509.00",291.10,"12,057,554.00",222,5.70,11.80,1.96,4.14,2.13,368.14,347.44,447.00,259.00,12_06_2021
LBL,48.28,301.00,302.50,292.00,294.00,297.07,"34,786.00",296.80,"10,333,942.60",169,-2.80,10.50,-0.94,3.60,-1.04,367.33,347.43,447.00,259.00,12_07_2021
LBL,45.25,294.00,296.00,290.00,290.00,291.73,"19,809.00",294.00,"5,778,918.30",124,-4.00,6.00,-1.36,2.07,-0.60,366.60,347.44,447.00,259.00,12_08_2021
LBL,40.81,291.50,295.80,286.00,292.00,291.58,"71,864.00",290.00,"20,954,003.50",407,2.00,9.80,0.69,3.43,0.14,365.67,347.48,447.00,259.00,12_09_2021
LBL,51.74,291.50,295.80,286.00,292.00,291.58,"71,864.00",290.00,"20,954,003.50",407,2.00,9.80,0.69,3.43,0.14,365.67,347.48,447.00,259.00,12_10_2021
LBL,51.74,291.50,295.80,286.00,292.00,291.58,"71,864.00",290.00,"20,954,003.50",407,2.00,9.80,0.69,3.43,0.14,365.67,347.48,447.00,259.00,12_11_2021
LBL,51.09,261.50,266.70,255.00,259.50,260.77,"77,189.00",270.37,"20,128,191.80",250,-5.37,11.70,-4.02,4.59,-0.49,364.42,347.34,447.00,255.00,12_12_2021
LBL,37.30,258.00,259.00,245.00,252.00,251.12,"46,186.00",259.50,"11,598,325.90",215,-7.50,14.00,-2.89,5.71,0.35,363.14,347.19,447.00,245.00,12_13_2021
LBL,35.74,257.00,264.80,253.00,264.00,259.07,"10,928.00",252.00,"2,831,166.60",75,12.00,11.80,4.76,4.66,1.87,361.95,347.14,447.00,245.00,12_14_2021
LBL,36.98,264.00,268.50,260.00,264.00,262.56,"46,687.00",264.00,"12,258,197.60",203,0.00,8.50,0.00,3.27,0.54,360.55,347.07,447.00,245.00,12_15_2021
LBL,38.28,266.60,266.60,256.80,259.00,259.37,"29,840.00",264.00,"7,739,510.60",106,-5.00,9.80,-1.89,3.82,-0.14,359.19,346.97,447.00,245.00,12_16_2021
LBL,45.17,266.60,266.60,256.80,259.00,259.37,"29,840.00",264.00,"7,739,510.60",106,-5.00,9.80,-1.89,3.82,-0.14,359.19,346.97,447.00,245.00,12_17_2021
LBL,45.17,266.60,266.60,256.80,259.00,259.37,"29,840.00",264.00,"7,739,510.60",106,-5.00,9.80,-1.89,3.82,-0.14,359.19,346.97,447.00,245.00,12_18_2021
LBL,45.17,266.60,266.60,256.80,259.00,259.37,"29,840.00",264.00,"7,739,510.60",106,-5.00,9.80,-1.89,3.82,-0.14,359.19,346.97,447.00,245.00,12_19_2021
LBL,42.48,264.10,264.10,248.00,256.00,256.70,"16,098.00",259.00,"4,132,402.00",109,-3.00,16.10,-1.16,6.49,-0.27,357.83,346.81,447.00,245.00,12_20_2021
LBL,41.53,260.90,266.00,254.00,264.00,261.19,"24,635.00",256.00,"6,434,382.50",139,8.00,12.00,3.13,4.72,1.06,356.57,346.67,447.00,245.00,12_21_2021
LBL,45.78,269.20,274.00,264.00,273.00,269.94,"33,986.00",264.00,"9,174,224.80",168,9.00,10.00,3.41,3.79,1.12,355.48,346.59,447.00,245.00,12_22_2021
LBL,51.47,278.40,285.50,270.00,277.50,277.50,"42,767.00",273.00,"11,868,005.90",189,4.50,15.50,1.65,5.74,0.00,354.54,346.55,447.00,245.00,12_23_2021
LBL,55.02,278.40,285.50,270.00,277.50,277.50,"42,767.00",273.00,"11,868,005.90",189,4.50,15.50,1.65,5.74,0.00,354.54,346.55,447.00,245.00,12_24_2021
LBL,55.02,278.40,285.50,270.00,277.50,277.50,"42,767.00",273.00,"11,868,005.90",189,4.50,15.50,1.65,5.74,0.00,354.54,346.55,447.00,245.00,12_25_2021
LBL,53.39,280.90,284.00,279.00,280.00,280.87,"35,574.00",277.50,"9,991,522.00",158,2.50,5.00,0.90,1.79,-0.31,353.45,346.46,447.00,245.00,12_26_2021
LBL,52.37,280.00,282.00,269.60,270.00,275.83,"54,324.00",280.00,"14,984,179.30",206,-10.00,12.40,-3.57,4.60,-2.16,352.39,346.37,447.00,245.00,12_27_2021
LBL,54.64,270.10,272.00,265.20,272.00,268.27,"11,794.00",270.00,"3,164,005.50",77,2.00,6.80,0.74,2.56,1.37,351.38,346.29,447.00,245.00,12_28_2021
LBL,43.85,277.00,277.00,269.10,273.90,270.44,"19,798.00",272.00,"5,354,120.40",76,1.90,7.90,0.70,2.94,1.26,350.32,346.21,447.00,245.00,12_29_2021
LBL,44.62,277.00,277.00,269.10,273.90,270.44,"19,798.00",272.00,"5,354,120.40",76,1.90,7.90,0.70,2.94,1.26,350.32,346.21,447.00,245.00,12_30_2021
LBL,44.62,277.00,277.00,269.10,273.90,270.44,"19,798.00",272.00,"5,354,120.40",76,1.90,7.90,0.70,2.94,1.26,350.32,346.21,447.00,245.00,12_31_2021
LBL,44.62,277.00,277.00,269.10,273.90,270.44,"19,798.00",272.00,"5,354,120.40",76,1.90,7.90,0.70,2.94,1.26,350.32,346.21,447.00,245.00,01_01_2022
LBL,46.16,279.30,288.00,273.80,283.00,281.75,"35,710.00",273.90,"10,061,277.40",172,9.10,14.20,3.32,5.19,0.44,349.33,346.15,447.00,245.00,01_02_2022
LBL,54.75,288.60,306.10,283.00,300.00,296.18,"95,987.00",283.00,"28,429,262.80",312,17.00,23.10,6.01,8.16,1.27,348.55,346.14,447.00,245.00,01_03_2022
LBL,52.79,294.00,309.00,293.10,308.00,304.75,"67,910.00",300.00,"20,695,830.40",261,8.00,15.90,2.67,5.42,1.05,347.84,346.16,447.00,245.00,01_04_2022
LBL,59.85,314.10,314.10,296.90,300.00,301.05,"41,152.00",308.00,"12,388,863.80",211,-8.00,17.20,-2.60,5.79,-0.35,347.07,346.14,447.00,245.00,01_05_2022
LBL,57.13,298.80,308.00,294.40,308.00,302.26,"34,008.00",300.00,"10,279,217.60",144,8.00,13.60,2.67,4.62,1.86,346.40,346.16,447.00,245.00,01_06_2022
LBL,57.34,298.80,308.00,294.40,308.00,302.26,"34,008.00",300.00,"10,279,217.60",144,8.00,13.60,2.67,4.62,1.86,346.40,346.16,447.00,245.00,01_07_2022
LBL,57.34,298.80,308.00,294.40,308.00,302.26,"34,008.00",300.00,"10,279,217.60",144,8.00,13.60,2.67,4.62,1.86,346.40,346.16,447.00,245.00,01_08_2022
LBL,57.82,312.00,317.00,310.00,312.00,313.29,"63,460.00",308.00,"19,881,383.80",220,4.00,7.00,1.30,2.26,-0.41,345.77,346.15,447.00,245.00,01_09_2022
LBL,58.17,316.00,318.00,302.00,307.00,306.18,"102,060.00",312.00,"31,249,002.10",319,-5.00,16.00,-1.60,5.30,0.27,345.10,346.11,447.00,245.00,01_10_2022
