Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
LEC,58.50,444.00,459.00,426.10,438.00,445.98,"58,553.00",436.00,"26,113,450.10",480,2.00,32.90,0.46,7.72,-1.82,372.11,325.93,530.00,194.00,09_01_2021
LEC,64.30,390.00,403.00,385.00,386.20,392.58,"18,941.00",388.50,"7,435,819.50",129,-2.30,18.00,-0.59,4.68,-1.65,395.21,360.58,530.00,196.00,11_03_2021
LEC,53.43,390.00,403.00,385.00,386.20,392.58,"18,941.00",388.50,"7,435,819.50",129,-2.30,18.00,-0.59,4.68,-1.65,395.21,360.58,530.00,196.00,11_05_2021
LEC,53.43,390.00,403.00,385.00,386.20,392.58,"18,941.00",388.50,"7,435,819.50",129,-2.30,18.00,-0.59,4.68,-1.65,395.21,360.58,530.00,196.00,11_06_2021
LEC,53.43,390.00,403.00,385.00,386.20,392.58,"18,941.00",388.50,"7,435,819.50",129,-2.30,18.00,-0.59,4.68,-1.65,395.21,360.58,530.00,196.00,11_07_2021
LEC,54.22,393.00,400.00,379.00,384.00,384.37,"12,848.00",386.20,"4,938,428.50",106,-2.20,21.00,-0.57,5.54,-0.10,395.42,361.41,530.00,200.00,11_08_2021
LEC,52.98,377.00,384.50,360.00,360.00,366.98,"31,330.00",384.00,"11,497,546.60",231,-24.00,24.50,-6.25,6.81,-1.94,395.51,361.98,530.00,200.00,11_09_2021
LEC,54.12,377.00,384.50,360.00,360.00,366.98,"31,330.00",384.00,"11,497,546.60",231,-24.00,24.50,-6.25,6.81,-1.94,395.51,361.98,530.00,200.00,11_10_2021
LEC,52.07,353.00,373.00,340.10,346.00,350.43,"25,851.00",360.00,"9,058,944.90",224,-14.00,32.90,-3.89,9.67,-1.28,395.32,362.50,530.00,200.00,11_11_2021
LEC,42.21,353.00,373.00,340.10,346.00,350.43,"25,851.00",360.00,"9,058,944.90",224,-14.00,32.90,-3.89,9.67,-1.28,395.32,362.50,530.00,200.00,11_12_2021
LEC,42.21,353.00,373.00,340.10,346.00,350.43,"25,851.00",360.00,"9,058,944.90",224,-14.00,32.90,-3.89,9.67,-1.28,395.32,362.50,530.00,200.00,11_13_2021
LEC,40.16,339.30,358.00,339.10,353.00,350.89,"12,780.00",346.00,"4,484,319.40",129,7.00,18.90,2.02,5.57,0.60,395.29,363.11,530.00,200.00,11_14_2021
LEC,37.64,353.00,373.00,353.00,357.10,362.72,"12,362.00",353.00,"4,483,933.80",124,4.10,20.00,1.16,5.67,-1.57,395.27,363.78,530.00,200.00,11_15_2021
LEC,46.37,364.00,392.80,358.10,390.00,378.47,"35,557.00",357.10,"13,457,371.50",298,32.90,34.70,9.21,9.69,2.96,395.29,364.62,530.00,200.00,11_16_2021
LEC,63.70,394.00,416.10,390.00,391.00,399.40,"27,960.00",390.00,"11,167,349.60",254,1.00,26.10,0.26,6.69,-2.15,395.43,365.47,530.00,200.00,11_17_2021
LEC,66.15,388.00,393.00,378.00,380.00,383.42,"20,211.00",391.00,"7,749,265.40",178,-11.00,15.00,-2.81,3.97,-0.90,395.32,366.19,530.00,200.00,11_18_2021
LEC,58.98,388.00,393.00,378.00,380.00,383.42,"20,211.00",391.00,"7,749,265.40",178,-11.00,15.00,-2.81,3.97,-0.90,395.32,366.19,530.00,200.00,11_19_2021
LEC,58.98,388.00,393.00,378.00,380.00,383.42,"20,211.00",391.00,"7,749,265.40",178,-11.00,15.00,-2.81,3.97,-0.90,395.32,366.19,530.00,200.00,11_20_2021
LEC,54.28,372.40,387.30,372.40,379.50,376.59,"4,885.00",380.00,"1,839,627.90",101,-0.50,14.90,-0.13,4.00,0.77,395.20,366.92,530.00,200.00,11_21_2021
LEC,48.48,378.00,400.00,375.00,378.00,382.03,"16,723.00",379.50,"6,388,744.50",180,-1.50,25.00,-0.40,6.67,-1.07,395.19,367.65,530.00,200.00,11_22_2021
LEC,46.67,375.00,377.90,365.00,367.10,369.95,"12,949.00",378.00,"4,790,424.80",132,-10.90,12.90,-2.88,3.53,-0.78,395.15,368.33,530.00,200.00,11_23_2021
LEC,43.93,360.50,387.60,352.10,379.00,367.16,"15,948.00",367.10,"5,855,535.70",176,11.90,35.50,3.24,10.08,3.12,395.19,368.95,530.00,200.00,11_24_2021
LEC,50.66,385.00,385.00,370.00,377.00,373.66,"10,707.00",379.00,"4,000,782.00",109,-2.00,15.00,-0.53,4.05,0.89,395.25,369.61,530.00,200.00,11_25_2021
LEC,48.23,385.00,385.00,370.00,377.00,373.66,"10,707.00",379.00,"4,000,782.00",109,-2.00,15.00,-0.53,4.05,0.89,395.25,369.61,530.00,200.00,11_26_2021
LEC,48.23,385.00,385.00,370.00,377.00,373.66,"10,707.00",379.00,"4,000,782.00",109,-2.00,15.00,-0.53,4.05,0.89,395.25,369.61,530.00,200.00,11_27_2021
LEC,45.33,369.50,370.00,356.00,358.00,359.93,"17,085.00",377.00,"6,149,430.00",156,-19.00,14.00,-5.04,3.93,-0.54,395.12,370.02,530.00,200.00,11_28_2021
LEC,35.51,358.00,370.00,350.00,356.00,358.01,"15,684.00",358.00,"5,615,087.80",129,-2.00,20.00,-0.56,5.71,-0.57,394.77,370.44,530.00,200.00,11_29_2021
LEC,34.87,350.00,364.00,350.00,362.00,356.87,"17,002.00",356.00,"6,067,427.00",148,6.00,14.00,1.69,4.00,1.42,394.60,370.95,530.00,200.00,11_30_2021
LEC,34.66,360.00,373.90,355.00,366.00,362.32,"10,180.00",362.00,"3,688,386.00",104,4.00,18.90,1.10,5.32,1.01,394.58,371.57,530.00,200.00,12_01_2021
LEC,39.81,359.30,360.00,341.00,349.00,348.94,"30,246.00",366.00,"10,554,144.40",149,-17.00,19.00,-4.64,5.57,0.02,394.48,372.02,530.00,200.00,12_02_2021
LEC,45.35,359.30,360.00,341.00,349.00,348.94,"30,246.00",366.00,"10,554,144.40",149,-17.00,19.00,-4.64,5.57,0.02,394.48,372.02,530.00,200.00,12_03_2021
LEC,45.35,359.30,360.00,341.00,349.00,348.94,"30,246.00",366.00,"10,554,144.40",149,-17.00,19.00,-4.64,5.57,0.02,394.48,372.02,530.00,200.00,12_04_2021
LEC,44.45,342.10,349.00,338.00,344.00,342.45,"16,800.00",349.00,"5,753,213.20",98,-5.00,11.00,-1.43,3.25,0.45,394.18,372.45,530.00,200.00,12_05_2021
LEC,38.84,338.00,351.00,324.00,348.00,338.29,"18,739.00",344.00,"6,339,298.10",176,4.00,27.00,1.16,8.33,2.79,394.03,372.94,530.00,200.00,12_06_2021
LEC,38.87,354.00,359.00,332.80,338.00,344.23,"16,756.00",348.00,"5,767,936.80",109,-10.00,26.20,-2.87,7.87,-1.84,393.89,373.23,530.00,200.00,12_07_2021
LEC,33.72,332.00,337.00,318.00,325.00,327.28,"14,682.00",338.00,"4,805,169.00",103,-13.00,19.00,-3.85,5.97,-0.70,393.45,373.46,530.00,200.00,12_08_2021
LEC,30.49,320.00,346.80,315.00,324.30,321.43,"8,345.00",325.00,"2,682,329.00",93,-0.70,31.80,-0.22,10.10,0.89,392.91,373.62,530.00,200.00,12_09_2021
LEC,26.75,320.00,346.80,315.00,324.30,321.43,"8,345.00",325.00,"2,682,329.00",93,-0.70,31.80,-0.22,10.10,0.89,392.91,373.62,530.00,200.00,12_10_2021
LEC,26.75,320.00,346.80,315.00,324.30,321.43,"8,345.00",325.00,"2,682,329.00",93,-0.70,31.80,-0.22,10.10,0.89,392.91,373.62,530.00,200.00,12_11_2021
LEC,26.10,322.50,324.30,305.00,312.00,309.58,"19,999.00",324.30,"6,191,383.00",137,-12.30,19.30,-3.79,6.33,0.77,392.33,373.58,530.00,200.00,12_12_2021
LEC,32.43,305.80,312.00,282.50,296.00,297.93,"15,412.00",312.00,"4,591,739.80",157,-16.00,29.50,-5.13,10.44,-0.65,391.31,373.53,530.00,200.00,12_13_2021
LEC,32.67,295.00,325.50,295.00,325.50,316.09,"9,154.00",296.00,"2,893,530.00",78,29.50,30.50,9.97,10.34,2.89,390.19,373.69,530.00,200.00,12_14_2021
LEC,44.73,332.00,341.10,319.10,328.00,330.00,"25,124.00",325.50,"8,290,867.90",194,2.50,22.00,0.77,6.89,-0.61,389.12,373.90,530.00,200.00,12_15_2021
LEC,48.49,322.00,323.00,310.00,312.00,314.21,"6,992.00",328.00,"2,196,965.00",83,-16.00,13.00,-4.88,4.19,-0.71,388.19,373.96,530.00,200.00,12_16_2021
LEC,42.52,322.00,323.00,310.00,312.00,314.21,"6,992.00",328.00,"2,196,965.00",83,-16.00,13.00,-4.88,4.19,-0.71,388.19,373.96,530.00,200.00,12_17_2021
LEC,42.52,322.00,323.00,310.00,312.00,314.21,"6,992.00",328.00,"2,196,965.00",83,-16.00,13.00,-4.88,4.19,-0.71,388.19,373.96,530.00,200.00,12_18_2021
LEC,42.52,322.00,323.00,310.00,312.00,314.21,"6,992.00",328.00,"2,196,965.00",83,-16.00,13.00,-4.88,4.19,-0.71,388.19,373.96,530.00,200.00,12_19_2021
LEC,39.83,306.00,312.00,296.00,296.00,300.77,"13,803.00",312.00,"4,151,473.00",100,-16.00,16.00,-5.13,5.41,-1.61,387.43,373.95,530.00,200.00,12_20_2021
LEC,42.73,296.00,308.00,296.00,308.00,302.75,"8,400.00",296.00,"2,543,085.50",70,12.00,12.00,4.05,4.05,1.71,386.75,374.00,530.00,200.00,12_21_2021
LEC,39.65,314.00,328.70,305.00,326.00,319.40,"21,890.00",308.00,"6,991,593.00",146,18.00,23.70,5.84,7.77,2.03,386.44,374.14,530.00,207.00,12_22_2021
LEC,48.67,326.00,334.00,314.10,322.00,325.13,"18,851.00",326.00,"6,128,936.50",145,-4.00,19.90,-1.23,6.34,-0.97,386.34,374.24,530.00,207.00,12_23_2021
LEC,54.07,326.00,334.00,314.10,322.00,325.13,"18,851.00",326.00,"6,128,936.50",145,-4.00,19.90,-1.23,6.34,-0.97,386.34,374.24,530.00,207.00,12_24_2021
LEC,54.07,326.00,334.00,314.10,322.00,325.13,"18,851.00",326.00,"6,128,936.50",145,-4.00,19.90,-1.23,6.34,-0.97,386.34,374.24,530.00,207.00,12_25_2021
LEC,52.45,322.00,326.00,318.10,319.00,321.92,"15,874.00",322.00,"5,110,117.00",106,-3.00,7.90,-0.93,2.48,-0.91,385.95,374.31,530.00,207.00,12_26_2021
LEC,52.30,314.00,320.00,301.00,301.00,309.80,"19,039.00",319.00,"5,898,340.30",154,-18.00,19.00,-5.64,6.31,-2.92,385.46,374.30,530.00,207.00,12_27_2021
LEC,47.50,300.10,312.00,291.10,309.00,302.09,"9,968.00",301.00,"3,011,281.50",100,8.00,20.90,2.66,7.18,2.23,385.02,374.36,530.00,207.00,12_28_2021
LEC,39.71,309.00,314.00,303.00,314.00,308.48,"7,084.00",309.00,"2,185,246.00",77,5.00,11.00,1.62,3.63,1.76,384.64,374.46,530.00,207.00,12_29_2021
LEC,43.23,309.00,314.00,303.00,314.00,308.48,"7,084.00",309.00,"2,185,246.00",77,5.00,11.00,1.62,3.63,1.76,384.64,374.46,530.00,207.00,12_30_2021
LEC,43.23,309.00,314.00,303.00,314.00,308.48,"7,084.00",309.00,"2,185,246.00",77,5.00,11.00,1.62,3.63,1.76,384.64,374.46,530.00,207.00,12_31_2021
LEC,43.23,309.00,314.00,303.00,314.00,308.48,"7,084.00",309.00,"2,185,246.00",77,5.00,11.00,1.62,3.63,1.76,384.64,374.46,530.00,207.00,01_01_2022
LEC,44.77,310.00,320.00,305.00,310.00,309.52,"2,890.00",314.00,"894,500.00",61,-4.00,15.00,-1.27,4.92,0.16,384.30,374.53,530.00,208.00,01_02_2022
LEC,43.66,315.00,316.00,305.00,306.00,307.99,"8,278.00",310.00,"2,549,577.80",102,-4.00,11.00,-1.29,3.61,-0.65,384.02,374.57,530.00,208.00,01_03_2022
LEC,53.23,301.00,315.90,301.00,312.00,312.05,"13,200.00",306.00,"4,119,051.00",115,6.00,14.90,1.96,4.95,-0.02,383.81,374.64,530.00,209.00,01_04_2022
LEC,54.64,308.10,327.00,308.10,321.00,321.19,"28,057.00",312.00,"9,011,545.10",177,9.00,18.90,2.88,6.13,-0.06,383.69,374.77,530.00,209.00,01_05_2022
LEC,58.58,315.10,328.00,315.10,325.00,322.83,"13,124.00",321.00,"4,236,835.90",128,4.00,12.90,1.25,4.09,0.67,383.51,374.89,530.00,210.00,01_06_2022
LEC,57.08,315.10,328.00,315.10,325.00,322.83,"13,124.00",321.00,"4,236,835.90",128,4.00,12.90,1.25,4.09,0.67,383.51,374.89,530.00,210.00,01_07_2022
LEC,57.08,315.10,328.00,315.10,325.00,322.83,"13,124.00",321.00,"4,236,835.90",128,4.00,12.90,1.25,4.09,0.67,383.51,374.89,530.00,210.00,01_08_2022
LEC,57.56,330.00,351.70,328.00,347.20,343.50,"43,990.00",325.00,"15,110,532.00",295,22.20,23.70,6.83,7.23,1.07,383.55,375.14,530.00,213.00,01_09_2022
LEC,64.04,352.00,369.00,343.10,362.00,359.03,"70,373.00",347.20,"25,265,757.10",354,14.80,25.90,4.26,7.55,0.82,383.70,375.46,530.00,213.00,01_10_2022
LEC,67.04,356.00,380.00,356.00,373.00,372.52,"35,116.00",362.00,"13,081,446.20",236,11.00,24.00,3.04,6.74,0.13,384.01,375.87,530.00,213.00,01_11_2022
LEC,65.62,377.00,381.00,360.00,361.00,370.62,"34,645.00",373.00,"12,840,127.60",263,-12.00,21.00,-3.22,5.83,-2.66,384.22,376.19,530.00,213.00,01_12_2022
LEC,60.18,361.00,377.00,356.00,374.90,367.98,"33,695.00",361.00,"12,399,152.40",203,13.90,21.00,3.85,5.90,1.85,384.45,376.54,530.00,213.00,01_13_2022
LEC,61.68,361.00,377.00,356.00,374.90,367.98,"33,695.00",361.00,"12,399,152.40",203,13.90,21.00,3.85,5.90,1.85,384.45,376.54,530.00,213.00,01_14_2022
LEC,61.68,361.00,377.00,356.00,374.90,367.98,"33,695.00",361.00,"12,399,152.40",203,13.90,21.00,3.85,5.90,1.85,384.45,376.54,530.00,213.00,01_15_2022
LEC,62.88,382.00,391.60,375.00,376.20,384.22,"43,812.00",374.90,"16,833,253.50",284,1.30,16.60,0.35,4.43,-2.13,384.72,376.91,530.00,213.00,01_16_2022
LEC,60.36,379.00,400.00,374.00,396.00,391.51,"79,162.00",376.20,"30,992,946.00",482,19.80,26.00,5.26,6.95,1.13,385.13,377.32,530.00,213.00,01_17_2022
LEC,64.02,402.00,418.20,388.20,393.00,406.40,"68,051.00",396.00,"27,656,238.80",467,-3.00,30.00,-0.76,7.73,-3.41,385.45,377.57,530.00,216.00,01_18_2022
