Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
LEMF,51.58,10.59,11.23,10.59,10.66,10.81,"120,350.00",10.80,"1,300,932.00",44,-0.14,0.64,-1.30,6.04,-1.40,12.36,11.64,19.34,8.34,09_01_2021
LEMF,49.53,10.50,10.71,10.29,10.48,10.62,"30,350.00",10.30,"322,331.50",12,0.18,0.42,1.75,4.08,-1.34,12.05,11.67,19.34,9.29,11_03_2021
LEMF,59.22,10.50,10.71,10.29,10.48,10.62,"30,350.00",10.30,"322,331.50",12,0.18,0.42,1.75,4.08,-1.34,12.05,11.67,19.34,9.29,11_05_2021
LEMF,59.22,10.50,10.71,10.29,10.48,10.62,"30,350.00",10.30,"322,331.50",12,0.18,0.42,1.75,4.08,-1.34,12.05,11.67,19.34,9.29,11_06_2021
LEMF,59.22,10.50,10.71,10.29,10.48,10.62,"30,350.00",10.30,"322,331.50",12,0.18,0.42,1.75,4.08,-1.34,12.05,11.67,19.34,9.29,11_07_2021
LEMF,60.01,10.68,10.68,10.27,10.30,10.29,"26,624.00",10.48,"274,045.20",7,-0.18,0.41,-1.72,3.99,0.07,12.04,11.67,19.34,9.30,11_08_2021
LEMF,49.51,10.10,10.50,10.10,10.20,10.18,"26,700.00",10.30,"271,907.20",9,-0.10,0.40,-0.97,3.96,0.16,12.03,11.67,19.34,9.30,11_09_2021
LEMF,46.00,10.10,10.50,10.10,10.20,10.18,"26,700.00",10.30,"271,907.20",9,-0.10,0.40,-0.97,3.96,0.16,12.03,11.67,19.34,9.30,11_10_2021
LEMF,43.95,10.00,10.10,9.91,9.98,9.99,"43,000.00",10.20,"429,774.60",11,-0.22,0.19,-2.16,1.92,-0.15,12.02,11.67,19.34,9.35,11_11_2021
LEMF,42.39,10.00,10.10,9.91,9.98,9.99,"43,000.00",10.20,"429,774.60",11,-0.22,0.19,-2.16,1.92,-0.15,12.02,11.67,19.34,9.35,11_12_2021
LEMF,42.39,10.00,10.10,9.91,9.98,9.99,"43,000.00",10.20,"429,774.60",11,-0.22,0.19,-2.16,1.92,-0.15,12.02,11.67,19.34,9.35,11_13_2021
LEMF,40.34,10.16,10.16,9.80,9.80,9.85,"58,615.00",9.98,"577,643.00",24,-0.18,0.36,-1.80,3.67,-0.56,12.01,11.66,19.34,9.40,11_14_2021
LEMF,43.03,9.72,10.30,9.72,10.20,10.01,"42,860.00",9.80,"428,925.40",17,0.40,0.58,4.08,5.97,1.89,12.00,11.66,19.34,9.40,11_15_2021
LEMF,41.59,10.00,10.15,10.00,10.02,10.11,"21,300.00",10.20,"215,409.00",12,-0.18,0.15,-1.76,1.50,-0.93,11.98,11.66,19.34,9.40,11_16_2021
LEMF,37.89,10.02,10.10,9.99,10.00,10.08,"16,950.00",10.02,"170,856.00",13,-0.02,0.11,-0.20,1.10,-0.80,11.97,11.66,19.34,9.40,11_17_2021
