Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
LICN,50.88,"2,165.00","2,295.00","2,135.00","2,295.00","2,170.67","21,043.00","2,199.00","45,677,502.70",216,96.00,160.00,4.37,7.49,5.42,"2,356.81","2,318.67","2,800.00","1,445.00",09_01_2021
LICN,57.89,"2,062.00","2,095.00","2,035.10","2,094.00","2,061.14","9,824.00","2,104.00","20,248,620.20",122,-10.00,59.90,-0.48,2.94,1.57,"2,262.68","2,288.47","2,800.00","1,481.00",11_03_2021
LICN,54.87,"2,062.00","2,095.00","2,035.10","2,094.00","2,061.14","9,824.00","2,104.00","20,248,620.20",122,-10.00,59.90,-0.48,2.94,1.57,"2,262.68","2,288.47","2,800.00","1,481.00",11_05_2021
LICN,54.87,"2,062.00","2,095.00","2,035.10","2,094.00","2,061.14","9,824.00","2,104.00","20,248,620.20",122,-10.00,59.90,-0.48,2.94,1.57,"2,262.68","2,288.47","2,800.00","1,481.00",11_06_2021
LICN,54.87,"2,062.00","2,095.00","2,035.10","2,094.00","2,061.14","9,824.00","2,104.00","20,248,620.20",122,-10.00,59.90,-0.48,2.94,1.57,"2,262.68","2,288.47","2,800.00","1,481.00",11_07_2021
LICN,55.66,"2,053.00","2,093.00","2,042.00","2,093.00","2,057.46","3,128.00","2,094.00","6,435,732.80",47,-1.00,51.00,-0.05,2.50,1.70,"2,261.18","2,286.29","2,800.00","1,486.00",11_08_2021
LICN,49.43,"2,052.00","2,076.00","2,015.00","2,076.00","2,035.07","8,952.00","2,093.00","18,217,968.30",112,-17.00,61.00,-0.81,3.03,1.97,"2,259.61","2,283.76","2,800.00","1,490.00",11_09_2021
LICN,48.99,"2,052.00","2,076.00","2,015.00","2,076.00","2,035.07","8,952.00","2,093.00","18,217,968.30",112,-17.00,61.00,-0.81,3.03,1.97,"2,259.61","2,283.76","2,800.00","1,490.00",11_10_2021
LICN,46.94,"2,035.10","2,067.00","1,965.00","2,030.00","1,998.12","9,198.00","2,076.00","18,378,706.00",158,-46.00,102.00,-2.22,5.19,1.57,"2,257.52","2,280.61","2,800.00","1,540.00",11_11_2021
LICN,45.54,"2,035.10","2,067.00","1,965.00","2,030.00","1,998.12","9,198.00","2,076.00","18,378,706.00",158,-46.00,102.00,-2.22,5.19,1.57,"2,257.52","2,280.61","2,800.00","1,540.00",11_12_2021
LICN,45.54,"2,035.10","2,067.00","1,965.00","2,030.00","1,998.12","9,198.00","2,076.00","18,378,706.00",158,-46.00,102.00,-2.22,5.19,1.57,"2,257.52","2,280.61","2,800.00","1,540.00",11_13_2021
LICN,43.49,"1,990.00","2,054.00","1,940.00","2,054.00","1,966.99","13,144.00","2,030.00","25,854,150.10",152,24.00,114.00,1.18,5.88,4.24,"2,255.29","2,277.64","2,800.00","1,575.00",11_14_2021
LICN,46.82,"2,013.00","2,050.00","1,974.70","2,045.00","2,010.47","5,602.00","2,054.00","11,262,647.00",85,-9.00,75.30,-0.44,3.81,1.69,"2,253.05","2,274.89","2,800.00","1,575.00",11_15_2021
LICN,42.72,"2,005.00","2,039.00","1,985.20","2,034.00","2,001.32","4,653.00","2,045.00","9,312,141.60",96,-11.00,53.80,-0.54,2.71,1.61,"2,250.59","2,271.99","2,800.00","1,575.00",11_16_2021
LICN,41.40,"2,034.00","2,070.00","1,975.00","2,050.00","2,017.19","10,119.00","2,034.00","20,411,954.50",102,16.00,95.00,0.79,4.81,1.60,"2,247.54","2,269.24","2,800.00","1,575.00",11_17_2021
LICN,56.97,"2,010.00","2,047.00","1,981.10","2,044.00","2,028.90","1,512.00","2,050.00","3,067,690.40",38,-6.00,65.90,-0.29,3.33,0.74,"2,244.44","2,265.70","2,800.00","1,575.00",11_18_2021
LICN,42.03,"2,010.00","2,047.00","1,981.10","2,044.00","2,028.90","1,512.00","2,050.00","3,067,690.40",38,-6.00,65.90,-0.29,3.33,0.74,"2,244.44","2,265.70","2,800.00","1,575.00",11_19_2021
LICN,42.03,"2,010.00","2,047.00","1,981.10","2,044.00","2,028.90","1,512.00","2,050.00","3,067,690.40",38,-6.00,65.90,-0.29,3.33,0.74,"2,244.44","2,265.70","2,800.00","1,575.00",11_20_2021
LICN,37.33,"2,048.00","2,050.00","2,004.00","2,044.20","2,022.21","7,159.00","2,044.00","14,477,008.00",81,0.20,46.00,0.01,2.30,1.08,"2,241.40","2,261.73","2,800.00","1,600.00",11_21_2021
LICN,44.97,"2,005.50","2,044.90","2,005.00","2,040.00","2,022.29","4,197.00","2,044.20","8,487,533.00",73,-4.20,39.90,-0.21,1.99,0.87,"2,238.50","2,257.71","2,800.00","1,600.00",11_22_2021
LICN,44.03,"2,010.10","2,037.80","1,976.00","2,033.00","1,997.23","6,670.00","2,040.00","13,321,555.60",83,-7.00,61.80,-0.34,3.13,1.76,"2,235.51","2,253.70","2,800.00","1,600.00",11_23_2021
LICN,43.99,"1,992.40","2,014.70","1,965.00","2,014.00","1,985.17","3,004.00","2,033.00","5,963,453.00",43,-19.00,49.70,-0.93,2.53,1.43,"2,232.43","2,251.41","2,800.00","1,608.00",11_24_2021
LICN,40.54,"2,014.00","2,015.00","1,980.00","2,015.00","1,997.49","6,277.00","2,014.00","12,538,219.00",67,1.00,35.00,0.05,1.77,0.87,"2,229.61","2,249.60","2,800.00","1,608.00",11_25_2021
LICN,43.20,"2,014.00","2,015.00","1,980.00","2,015.00","1,997.49","6,277.00","2,014.00","12,538,219.00",67,1.00,35.00,0.05,1.77,0.87,"2,229.61","2,249.60","2,800.00","1,608.00",11_26_2021
LICN,43.20,"2,014.00","2,015.00","1,980.00","2,015.00","1,997.49","6,277.00","2,014.00","12,538,219.00",67,1.00,35.00,0.05,1.77,0.87,"2,229.61","2,249.60","2,800.00","1,608.00",11_27_2021
LICN,40.30,"1,975.00","2,000.00","1,920.00","1,921.10","1,939.80","7,647.00","2,015.00","14,833,685.00",78,-93.90,80.00,-4.66,4.17,-0.97,"2,225.63","2,247.39","2,800.00","1,640.00",11_28_2021
LICN,41.23,"1,920.00","1,925.00","1,848.00","1,917.00","1,885.49","11,947.00","1,921.10","22,526,005.00",120,-4.10,77.00,-0.21,4.17,1.64,"2,221.73","2,245.09","2,800.00","1,640.00",11_29_2021
LICN,42.73,"1,881.00","1,910.00","1,843.00","1,862.20","1,873.13","5,513.00","1,917.00","10,326,580.10",86,-54.80,67.00,-2.86,3.64,-0.59,"2,217.58","2,242.90","2,800.00","1,698.00",11_30_2021
LICN,38.08,"1,863.00","1,901.20","1,845.00","1,900.00","1,868.02","4,496.00","1,862.20","8,398,638.40",59,37.80,56.20,2.03,3.05,1.68,"2,214.15","2,241.40","2,800.00","1,796.20",12_01_2021
LICN,41.16,"1,870.00","1,900.00","1,843.00","1,880.00","1,865.90","7,322.00","1,900.00","13,662,098.30",73,-20.00,57.00,-1.05,3.09,0.75,"2,210.69","2,239.09","2,800.00","1,796.20",12_02_2021
LICN,48.21,"1,870.00","1,900.00","1,843.00","1,880.00","1,865.90","7,322.00","1,900.00","13,662,098.30",73,-20.00,57.00,-1.05,3.09,0.75,"2,210.69","2,239.09","2,800.00","1,796.20",12_03_2021
LICN,48.21,"1,870.00","1,900.00","1,843.00","1,880.00","1,865.90","7,322.00","1,900.00","13,662,098.30",73,-20.00,57.00,-1.05,3.09,0.75,"2,210.69","2,239.09","2,800.00","1,796.20",12_04_2021
LICN,47.31,"1,845.00","1,875.00","1,840.00","1,875.00","1,856.27","2,836.00","1,880.00","5,264,377.90",63,-5.00,35.00,-0.27,1.90,1.00,"2,206.94","2,237.05","2,800.00","1,796.20",12_05_2021
