Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
LUK,57.31,10.80,10.90,10.63,10.63,10.77,"116,730.00",10.90,"1,257,247.00",49,-0.27,0.27,-2.48,2.54,-1.32,11.27,10.73,16.00,8.48,09_01_2021
LUK,60.09,10.12,10.15,10.12,10.12,10.14,"21,700.00",10.12,"220,119.00",6,0.00,0.03,0.00,0.30,-0.23,11.24,10.86,16.00,9.00,11_03_2021
LUK,45.47,10.12,10.15,10.12,10.12,10.14,"21,700.00",10.12,"220,119.00",6,0.00,0.03,0.00,0.30,-0.23,11.24,10.86,16.00,9.00,11_05_2021
LUK,45.47,10.12,10.15,10.12,10.12,10.14,"21,700.00",10.12,"220,119.00",6,0.00,0.03,0.00,0.30,-0.23,11.24,10.86,16.00,9.00,11_06_2021
LUK,45.47,10.12,10.15,10.12,10.12,10.14,"21,700.00",10.12,"220,119.00",6,0.00,0.03,0.00,0.30,-0.23,11.24,10.86,16.00,9.00,11_07_2021
LUK,46.25,10.30,10.32,10.15,10.32,10.25,"21,380.00",10.12,"219,150.00",21,0.20,0.17,1.98,1.67,0.68,11.24,10.86,16.00,9.00,11_08_2021
LUK,55.46,10.20,10.35,10.17,10.17,10.20,"16,404.00",10.32,"167,348.68",6,-0.15,0.18,-1.45,1.77,-0.31,11.24,10.86,16.00,9.00,11_09_2021
LUK,44.49,10.20,10.35,10.17,10.17,10.20,"16,404.00",10.32,"167,348.68",6,-0.15,0.18,-1.45,1.77,-0.31,11.24,10.86,16.00,9.00,11_10_2021
LUK,42.44,9.97,10.24,9.97,10.20,10.03,"18,800.00",10.17,"188,494.00",15,0.03,0.27,0.29,2.71,1.70,11.24,10.87,16.00,9.00,11_11_2021
LUK,51.45,9.97,10.24,9.97,10.20,10.03,"18,800.00",10.17,"188,494.00",15,0.03,0.27,0.29,2.71,1.70,11.24,10.87,16.00,9.00,11_12_2021
LUK,51.45,9.97,10.24,9.97,10.20,10.03,"18,800.00",10.17,"188,494.00",15,0.03,0.27,0.29,2.71,1.70,11.24,10.87,16.00,9.00,11_13_2021
LUK,49.40,10.10,10.10,9.95,10.02,10.02,"38,500.00",10.20,"385,816.00",22,-0.18,0.15,-1.76,1.51,-0.01,11.24,10.87,16.00,9.00,11_14_2021
LUK,44.13,9.83,10.10,9.83,10.02,9.99,"15,200.00",10.02,"151,853.00",11,0.00,0.27,0.00,2.75,0.30,11.23,10.87,16.00,9.00,11_15_2021
LUK,40.34,10.00,10.03,9.85,10.03,9.90,"123,600.00",10.02,"1,223,955.80",43,0.01,0.18,0.10,1.83,1.27,11.23,10.87,16.00,9.00,11_16_2021
LUK,46.35,10.00,10.03,9.92,10.01,9.96,"15,100.00",10.03,"150,386.00",10,-0.02,0.11,-0.20,1.11,0.51,11.23,10.87,16.00,9.00,11_17_2021
LUK,40.80,9.83,10.03,9.83,10.00,10.00,"23,700.00",10.01,"237,012.00",15,-0.01,0.20,-0.10,2.03,-0.01,11.22,10.87,16.00,9.00,11_18_2021
LUK,45.51,9.83,10.03,9.83,10.00,10.00,"23,700.00",10.01,"237,012.00",15,-0.01,0.20,-0.10,2.03,-0.01,11.22,10.87,16.00,9.00,11_19_2021
LUK,45.51,9.83,10.03,9.83,10.00,10.00,"23,700.00",10.01,"237,012.00",15,-0.01,0.20,-0.10,2.03,-0.01,11.22,10.87,16.00,9.00,11_20_2021
LUK,40.81,10.00,10.00,9.81,9.92,9.86,"45,350.00",10.00,"446,965.00",13,-0.08,0.19,-0.80,1.94,0.65,11.22,10.87,16.00,9.00,11_21_2021
LUK,43.06,9.84,9.92,9.84,9.92,9.88,"3,100.00",9.92,"30,619.00",12,0.00,0.08,0.00,0.81,0.43,11.21,10.87,16.00,9.00,11_22_2021
LUK,38.55,9.81,9.85,9.81,9.84,9.83,"27,550.00",9.92,"270,940.00",14,-0.08,0.04,-0.81,0.41,0.06,11.21,10.87,16.00,9.00,11_23_2021
LUK,41.91,9.69,9.90,9.69,9.77,9.80,"23,070.00",9.84,"226,115.40",20,-0.07,0.21,-0.71,2.17,-0.32,11.20,10.87,16.00,9.00,11_24_2021
LUK,42.37,9.69,9.88,9.69,9.88,9.71,800.00,9.77,"7,771.00",2,0.11,0.19,1.13,1.96,1.68,11.19,10.87,16.00,9.00,11_25_2021
LUK,36.80,9.69,9.88,9.69,9.88,9.71,800.00,9.77,"7,771.00",2,0.11,0.19,1.13,1.96,1.68,11.19,10.87,16.00,9.00,11_26_2021
LUK,36.80,9.69,9.88,9.69,9.88,9.71,800.00,9.77,"7,771.00",2,0.11,0.19,1.13,1.96,1.68,11.19,10.87,16.00,9.00,11_27_2021
LUK,33.90,9.75,9.85,9.75,9.85,9.81,"4,000.00",9.88,"39,232.00",6,-0.03,0.10,-0.30,1.03,0.43,11.19,10.87,16.00,9.00,11_28_2021
LUK,41.66,9.85,10.03,9.82,9.82,9.86,"42,300.00",9.85,"417,041.00",14,-0.03,0.21,-0.30,2.14,-0.40,11.18,10.87,16.00,9.00,11_29_2021
LUK,51.77,9.85,10.00,9.76,9.81,9.80,"5,800.00",9.82,"56,850.00",5,-0.01,0.24,-0.10,2.46,0.08,11.16,10.87,16.00,9.00,11_30_2021
LUK,48.13,9.81,9.85,9.81,9.85,9.84,"4,500.00",9.81,"44,283.00",5,0.04,0.04,0.41,0.41,0.09,11.15,10.86,16.00,9.00,12_01_2021
LUK,44.37,9.69,9.85,9.69,9.72,9.75,"89,174.00",9.85,"869,821.54",41,-0.13,0.16,-1.32,1.65,-0.35,11.14,10.86,16.00,9.00,12_02_2021
LUK,49.76,9.69,9.85,9.69,9.72,9.75,"89,174.00",9.85,"869,821.54",41,-0.13,0.16,-1.32,1.65,-0.35,11.14,10.86,16.00,9.00,12_03_2021
LUK,49.76,9.69,9.85,9.69,9.72,9.75,"89,174.00",9.85,"869,821.54",41,-0.13,0.16,-1.32,1.65,-0.35,11.14,10.86,16.00,9.00,12_04_2021
LUK,48.86,9.85,9.85,9.38,9.43,9.52,"62,274.00",9.72,"592,542.82",16,-0.29,0.47,-2.98,5.01,-0.90,11.12,10.86,16.00,9.00,12_05_2021
LUK,43.17,9.50,9.69,9.35,9.69,9.52,"31,400.00",9.43,"299,065.00",19,0.26,0.34,2.76,3.64,1.71,11.11,10.86,16.00,9.00,12_06_2021
LUK,45.15,9.63,9.83,9.62,9.70,9.71,"18,500.00",9.69,"179,558.00",14,0.01,0.21,0.10,2.18,-0.06,11.09,10.85,16.00,9.00,12_07_2021
LUK,43.74,9.82,9.82,9.68,9.70,9.72,"14,350.00",9.70,"139,473.00",16,0.00,0.14,0.00,1.45,-0.20,11.07,10.85,16.00,9.00,12_08_2021
