Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MAKAR,0.00,278.10,294.90,251.00,255.00,257.51,"73,692.00",278.10,"18,976,103.20","3,996",-23.10,43.90,-8.31,17.49,-0.98,0.00,0.00,294.90,251.00,05_07_2023
MAKAR,29.92,255.00,270.30,237.00,256.10,254.21,"24,595.00",255.00,"6,252,181.20","2,159",1.10,33.30,0.43,14.05,0.74,0.00,0.00,294.90,237.00,05_08_2023
MAKAR,35.57,251.10,261.10,247.00,258.30,254.09,"10,970.00",256.10,"2,787,323.00","1,096",2.20,14.10,0.86,5.71,1.63,0.00,0.00,294.90,237.00,05_09_2023
MAKAR,35.93,253.20,255.00,246.20,253.00,250.02,"9,415.00",258.30,"2,353,939.50",698,-5.30,8.80,-2.05,3.57,1.18,0.00,0.00,294.90,237.00,05_10_2023
MAKAR,17.99,253.00,253.00,243.10,249.90,245.39,"7,708.00",253.00,"1,891,467.20",624,-3.10,9.90,-1.23,4.07,1.80,0.00,0.00,294.90,237.00,05_11_2023
MAKAR,19.54,253.00,253.00,243.10,249.90,245.39,"7,708.00",253.00,"1,891,467.20",624,-3.10,9.90,-1.23,4.07,1.80,0.00,0.00,294.90,237.00,05_12_2023
MAKAR,19.54,253.00,253.00,243.10,249.90,245.39,"7,708.00",253.00,"1,891,467.20",624,-3.10,9.90,-1.23,4.07,1.80,0.00,0.00,294.90,237.00,05_13_2023
MAKAR,19.54,245.00,246.00,235.00,238.70,240.12,"13,746.00",249.90,"3,300,644.40",604,-11.20,11.00,-4.48,4.68,-0.59,0.00,0.00,294.90,235.00,05_14_2023
MAKAR,18.97,234.20,249.00,230.00,240.00,238.58,"14,233.00",238.70,"3,395,733.10",657,1.30,19.00,0.54,8.26,0.59,0.00,0.00,294.90,230.00,05_15_2023
MAKAR,20.70,236.00,244.00,232.00,243.00,237.78,"8,788.00",240.00,"2,089,577.00",556,3.00,12.00,1.25,5.17,2.15,0.00,0.00,294.90,230.00,05_16_2023
