Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MBL,48.40,388.00,405.00,388.00,397.50,399.62,"140,174.00",395.00,"56,016,084.20",598,2.50,17.00,0.63,4.38,-0.53,359.18,332.79,455.00,220.00,09_01_2021
MBL,64.47,349.00,349.00,339.00,339.00,343.37,"56,490.00",345.00,"19,396,863.70",274,-6.00,10.00,-1.74,2.95,-1.29,382.33,357.10,455.00,226.00,11_03_2021
MBL,61.83,349.00,349.00,339.00,339.00,343.37,"56,490.00",345.00,"19,396,863.70",274,-6.00,10.00,-1.74,2.95,-1.29,382.33,357.10,455.00,226.00,11_05_2021
MBL,61.83,349.00,349.00,339.00,339.00,343.37,"56,490.00",345.00,"19,396,863.70",274,-6.00,10.00,-1.74,2.95,-1.29,382.33,357.10,455.00,226.00,11_06_2021
MBL,61.83,349.00,349.00,339.00,339.00,343.37,"56,490.00",345.00,"19,396,863.70",274,-6.00,10.00,-1.74,2.95,-1.29,382.33,357.10,455.00,226.00,11_07_2021
MBL,62.62,345.70,345.70,330.00,332.00,333.11,"51,399.00",339.00,"17,121,265.00",211,-7.00,15.70,-2.06,4.76,-0.33,382.55,357.35,455.00,226.00,11_08_2021
MBL,59.59,326.00,331.00,319.50,321.00,324.12,"87,625.00",332.00,"28,401,010.90",334,-11.00,11.50,-3.31,3.60,-0.97,382.63,357.54,455.00,226.00,11_09_2021
MBL,52.35,326.00,331.00,319.50,321.00,324.12,"87,625.00",332.00,"28,401,010.90",334,-11.00,11.50,-3.31,3.60,-0.97,382.63,357.54,455.00,226.00,11_10_2021
MBL,50.30,315.00,325.00,315.00,319.50,320.44,"140,057.00",321.00,"44,879,730.20",327,-1.50,10.00,-0.47,3.17,-0.29,382.72,357.60,455.00,228.00,11_11_2021
MBL,51.44,315.00,325.00,315.00,319.50,320.44,"140,057.00",321.00,"44,879,730.20",327,-1.50,10.00,-0.47,3.17,-0.29,382.72,357.60,455.00,228.00,11_12_2021
MBL,51.44,315.00,325.00,315.00,319.50,320.44,"140,057.00",321.00,"44,879,730.20",327,-1.50,10.00,-0.47,3.17,-0.29,382.72,357.60,455.00,228.00,11_13_2021
MBL,49.39,318.00,322.00,315.00,319.50,319.09,"43,940.00",319.50,"14,020,997.00",198,0.00,7.00,0.00,2.22,0.13,382.80,357.69,455.00,228.00,11_14_2021
MBL,46.89,324.00,324.00,319.10,320.00,320.64,"31,990.00",319.50,"10,257,222.40",156,0.50,4.90,0.16,1.54,-0.20,382.90,357.77,455.00,228.00,11_15_2021
MBL,48.68,320.20,324.80,318.10,324.00,322.30,"38,510.00",320.00,"12,411,696.40",207,4.00,6.70,1.25,2.11,0.53,383.02,357.86,455.00,228.00,11_16_2021
MBL,53.06,327.50,336.10,322.00,326.00,329.47,"49,057.00",324.00,"16,162,584.30",233,2.00,14.10,0.62,4.38,-1.06,383.09,358.00,455.00,228.00,11_17_2021
MBL,55.48,320.20,339.00,320.00,322.00,323.57,"57,831.00",326.00,"18,712,159.10",217,-4.00,19.00,-1.23,5.94,-0.49,383.12,358.06,455.00,228.00,11_18_2021
MBL,56.58,320.20,339.00,320.00,322.00,323.57,"57,831.00",326.00,"18,712,159.10",217,-4.00,19.00,-1.23,5.94,-0.49,383.12,358.06,455.00,228.00,11_19_2021
