Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MBLD2085,57.83,"1,055.00","1,055.00","1,055.00","1,055.00","1,055.00",50.00,"1,076.00","52,750.00",2,-21.00,0.00,-1.95,0.00,0.00,-,-,"1,119.00","1,000.00",11_15_2021
MBLD2085,38.02,"1,054.00","1,055.00","1,054.00","1,055.00","1,054.45",55.00,"1,055.00","57,995.00",2,0.00,1.00,0.00,0.09,0.05,-,-,"1,119.00","1,000.00",11_24_2021
MBLD2085,27.13,"1,034.00","1,034.00","1,034.00","1,034.00","1,034.00",10.00,"1,055.00","10,340.00",1,-21.00,0.00,-1.99,0.00,0.00,-,-,"1,119.00","1,000.00",12_13_2021
MBLD2085,27.70,"1,020.00","1,020.00","1,020.00","1,020.00","1,020.00",65.00,"1,034.00","66,300.00",1,-14.00,0.00,-1.35,0.00,0.00,-,-,"1,119.00","1,000.00",12_15_2021
MBLD2085,36.63,"1,040.00","1,040.00","1,040.00","1,040.00","1,040.00",25.00,"1,020.00","26,000.00",1,20.00,0.00,1.96,0.00,0.00,-,-,"1,119.00","1,000.00",01_02_2022
MBLD2085,35.10,"1,040.00","1,040.00","1,040.00","1,040.00","1,040.00",50.00,"1,040.00","52,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,119.00","1,000.00",01_04_2022
MBLD2085,37.44,"1,021.00","1,021.00","1,021.00","1,021.00","1,021.00",25.00,"1,040.00","25,525.00",1,-19.00,0.00,-1.83,0.00,0.00,-,-,"1,119.00","1,000.00",01_06_2022
MBLD2085,41.69,"1,021.00","1,021.00","1,021.00","1,021.00","1,021.00",25.00,"1,040.00","25,525.00",1,-19.00,0.00,-1.83,0.00,0.00,-,-,"1,119.00","1,000.00",01_07_2022
MBLD2085,41.69,"1,021.00","1,021.00","1,021.00","1,021.00","1,021.00",25.00,"1,040.00","25,525.00",1,-19.00,0.00,-1.83,0.00,0.00,-,-,"1,119.00","1,000.00",01_08_2022
MBLD2085,46.38,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",30.00,"1,021.00","30,750.00",1,4.00,0.00,0.39,0.00,0.00,-,-,"1,119.00","1,000.00",01_13_2022
MBLD2085,56.74,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",30.00,"1,021.00","30,750.00",1,4.00,0.00,0.39,0.00,0.00,-,-,"1,119.00","1,000.00",01_14_2022
MBLD2085,56.74,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",30.00,"1,021.00","30,750.00",1,4.00,0.00,0.39,0.00,0.00,-,-,"1,119.00","1,000.00",01_15_2022
MBLD2085,57.94,"1,004.50","1,004.50","1,004.50","1,004.50","1,004.50",25.00,"1,025.00","25,112.50",1,-20.50,0.00,-2.00,0.00,0.00,-,-,"1,119.00","1,000.00",01_16_2022
MBLD2085,48.78,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",100.00,"1,004.50","100,000.00",1,-4.50,0.00,-0.45,0.00,0.00,-,-,"1,119.00","1,000.00",01_23_2022
MBLD2085,35.74,980.00,980.00,980.00,980.00,980.00,300.00,"1,000.00","294,000.00",1,-20.00,0.00,-2.00,0.00,0.00,-,-,"1,119.00",980.00,03_16_2022
MBLD2085,41.69,980.00,980.00,980.00,980.00,980.00,300.00,"1,000.00","294,000.00",1,-20.00,0.00,-2.00,0.00,0.00,-,-,"1,119.00",980.00,03_17_2022
MBLD2085,41.69,980.00,980.00,980.00,980.00,980.00,300.00,"1,000.00","294,000.00",1,-20.00,0.00,-2.00,0.00,0.00,-,-,"1,119.00",980.00,03_18_2022
