Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MDB,60.06,852.00,860.00,810.00,811.00,827.18,"65,547.00",836.00,"54,218,863.30",434,-25.00,50.00,-2.99,6.17,-1.99,508.77,457.81,873.20,314.00,09_01_2021
MDB,60.68,707.80,707.80,672.00,681.00,689.04,"27,763.00",694.00,"19,129,694.90",177,-13.00,35.80,-1.87,5.33,-1.18,614.03,526.29,873.20,314.00,11_03_2021
MDB,57.14,707.80,707.80,672.00,681.00,689.04,"27,763.00",694.00,"19,129,694.90",177,-13.00,35.80,-1.87,5.33,-1.18,614.03,526.29,873.20,314.00,11_05_2021
MDB,57.14,707.80,707.80,672.00,681.00,689.04,"27,763.00",694.00,"19,129,694.90",177,-13.00,35.80,-1.87,5.33,-1.18,614.03,526.29,873.20,314.00,11_06_2021
MDB,57.14,707.80,707.80,672.00,681.00,689.04,"27,763.00",694.00,"19,129,694.90",177,-13.00,35.80,-1.87,5.33,-1.18,614.03,526.29,873.20,314.00,11_07_2021
MDB,57.93,693.00,694.00,665.00,668.00,674.28,"12,886.00",681.00,"8,688,732.80",102,-13.00,29.00,-1.91,4.36,-0.94,616.56,528.04,873.20,314.00,11_08_2021
MDB,47.83,660.10,670.00,637.00,649.00,650.01,"41,074.00",668.00,"26,698,322.00",263,-19.00,33.00,-2.84,5.18,-0.15,618.91,529.70,873.20,314.00,11_09_2021
MDB,49.52,660.10,670.00,637.00,649.00,650.01,"41,074.00",668.00,"26,698,322.00",263,-19.00,33.00,-2.84,5.18,-0.15,618.91,529.70,873.20,314.00,11_10_2021
MDB,47.47,636.10,647.00,614.00,619.00,624.42,"25,968.00",649.00,"16,215,005.40",217,-30.00,33.00,-4.62,5.37,-0.88,621.01,531.16,873.20,314.00,11_11_2021
MDB,44.47,636.10,647.00,614.00,619.00,624.42,"25,968.00",649.00,"16,215,005.40",217,-30.00,33.00,-4.62,5.37,-0.88,621.01,531.16,873.20,314.00,11_12_2021
MDB,44.47,636.10,647.00,614.00,619.00,624.42,"25,968.00",649.00,"16,215,005.40",217,-30.00,33.00,-4.62,5.37,-0.88,621.01,531.16,873.20,314.00,11_13_2021
