Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MDBPO,58.43,274.00,274.00,274.00,274.00,274.00,"45,130.00",274.00,"12,365,620.00",1,0.00,0.00,0.00,0.00,0.00,-,-,274.00,182.00,01_16_2022
MDBPO,70.80,274.00,274.00,274.00,274.00,274.00,"8,600.00",274.00,"2,356,400.00",1,0.00,0.00,0.00,0.00,0.00,-,-,274.00,182.00,01_20_2022
MDBPO,66.97,274.00,274.00,274.00,274.00,274.00,"8,600.00",274.00,"2,356,400.00",1,0.00,0.00,0.00,0.00,0.00,-,-,274.00,182.00,01_21_2022
MDBPO,66.97,274.00,274.00,274.00,274.00,274.00,"8,600.00",274.00,"2,356,400.00",1,0.00,0.00,0.00,0.00,0.00,-,-,274.00,182.00,01_22_2022
MDBPO,66.60,274.00,274.00,274.00,274.00,274.00,"8,592.00",274.00,"2,354,208.00",1,0.00,0.00,0.00,0.00,0.00,-,-,274.00,182.00,01_25_2022
MDBPO,49.88,185.00,185.00,185.00,185.00,185.00,"29,158.00",185.00,"5,394,230.00",1,0.00,0.00,0.00,0.00,0.00,-,-,274.00,185.00,07_15_2022
MDBPO,50.99,185.00,185.00,185.00,185.00,185.00,"29,158.00",185.00,"5,394,230.00",1,0.00,0.00,0.00,0.00,0.00,-,-,274.00,185.00,07_16_2022
MDBPO,44.22,181.30,181.30,181.30,181.30,181.30,"43,740.00",185.00,"7,930,062.00",1,-3.70,0.00,-2.00,0.00,0.00,-,-,274.00,181.30,08_24_2022
MDBPO,29.19,177.70,177.70,174.20,174.20,175.95,"60,000.00",181.30,"10,557,000.00",2,-7.10,3.50,-3.92,2.01,-1.00,-,-,274.00,174.20,10_13_2022
MDBPO,29.72,177.70,177.70,174.20,174.20,175.95,"60,000.00",181.30,"10,557,000.00",2,-7.10,3.50,-3.92,2.01,-1.00,-,-,274.00,174.20,10_14_2022
MDBPO,29.72,177.70,177.70,174.20,174.20,175.95,"60,000.00",181.30,"10,557,000.00",2,-7.10,3.50,-3.92,2.01,-1.00,-,-,274.00,174.20,10_15_2022
MDBPO,36.05,170.80,170.80,170.80,170.80,170.80,"3,000.00",174.20,"512,400.00",1,-3.40,0.00,-1.95,0.00,0.00,-,-,274.00,170.80,11_30_2022
MDBPO,29.24,167.40,167.40,160.90,160.90,162.24,"8,289.00",170.80,"1,344,790.40",3,-9.90,6.50,-5.80,4.04,-0.83,-,-,274.00,160.90,12_11_2022
MDBPO,36.37,196.00,196.00,196.00,196.00,196.00,"5,000.00",196.00,"980,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.00,160.90,05_21_2023
MDBPO,53.26,196.00,196.00,196.00,196.00,196.00,"23,001.00",196.00,"4,508,196.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.00,160.90,05_28_2023
MDBPO,55.70,196.00,196.00,196.00,196.00,196.00,"23,001.00",196.00,"4,508,196.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.00,160.90,05_29_2023
