Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MEROPO,48.10,100.00,100.00,100.00,100.00,541.37,"83,160.00",100.00,"45,020,535.20",46,0.00,0.00,0.00,0.00,-441.37,-,-,"1,002.00",100.00,11_21_2021
MEROPO,42.06,100.00,100.00,100.00,100.00,459.83,"283,100.00",100.00,"130,176,490.00",19,0.00,0.00,0.00,0.00,-359.83,-,-,"1,002.00",100.00,01_30_2022
MEROPO,31.36,529.00,529.00,529.00,529.00,529.00,"4,800.00",529.00,"2,539,200.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,002.00",100.00,04_12_2022
MEROPO,40.61,519.00,519.00,519.00,519.00,519.00,"60,000.00",529.00,"31,140,000.00",1,-10.00,0.00,-1.89,0.00,0.00,-,-,"1,002.00",100.00,04_19_2022
MEROPO,42.27,519.00,519.00,519.00,519.00,519.00,"60,000.00",519.00,"31,140,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,002.00",100.00,04_20_2022
MEROPO,39.62,535.00,535.00,535.00,535.00,535.00,"1,000.00",519.00,"535,000.00",1,16.00,0.00,3.08,0.00,0.00,-,-,535.00,100.00,10_23_2022
MEROPO,40.24,535.00,535.00,535.00,535.00,535.00,"1,000.00",519.00,"535,000.00",1,16.00,0.00,3.08,0.00,0.00,-,-,535.00,100.00,10_24_2022
MEROPO,40.24,535.00,535.00,535.00,535.00,535.00,"1,000.00",519.00,"535,000.00",1,16.00,0.00,3.08,0.00,0.00,-,-,535.00,100.00,10_25_2022
MEROPO,40.24,535.00,535.00,535.00,535.00,535.00,"1,000.00",519.00,"535,000.00",1,16.00,0.00,3.08,0.00,0.00,-,-,535.00,100.00,10_26_2022
MEROPO,40.24,535.00,535.00,535.00,535.00,535.00,"1,000.00",519.00,"535,000.00",1,16.00,0.00,3.08,0.00,0.00,-,-,535.00,100.00,10_27_2022
MEROPO,40.24,535.00,535.00,535.00,535.00,535.00,"1,000.00",519.00,"535,000.00",1,16.00,0.00,3.08,0.00,0.00,-,-,535.00,100.00,10_28_2022
MEROPO,40.24,535.00,535.00,535.00,535.00,535.00,"1,000.00",519.00,"535,000.00",1,16.00,0.00,3.08,0.00,0.00,-,-,535.00,100.00,10_29_2022
MEROPO,40.24,535.00,535.00,535.00,535.00,535.00,"1,000.00",519.00,"535,000.00",1,16.00,0.00,3.08,0.00,0.00,-,-,535.00,100.00,10_30_2022
MEROPO,37.54,519.00,519.00,519.00,519.00,487.00,"80,000.00",519.00,"38,960,000.00",1,0.00,0.00,0.00,0.00,6.17,-,-,535.00,100.00,11_06_2022
MEROPO,30.28,356.00,356.00,356.00,356.00,356.00,"26,400.00",356.00,"9,398,400.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,535.00,356.00,02_28_2023
