Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MFIL,44.80,"1,280.00","1,304.00","1,240.00","1,247.00","1,261.35","70,741.00","1,268.00","89,229,293.20",699,-21.00,64.00,-1.66,5.16,-1.15,847.28,706.72,"1,456.00",277.00,09_01_2021
MFIL,59.91,"1,130.00","1,162.00","1,120.00","1,147.00","1,144.65","30,038.00","1,149.80","34,382,911.10",310,-2.80,42.00,-0.24,3.75,0.21,"1,045.70",863.00,"1,456.00",319.00,11_03_2021
MFIL,54.39,"1,130.00","1,162.00","1,120.00","1,147.00","1,144.65","30,038.00","1,149.80","34,382,911.10",310,-2.80,42.00,-0.24,3.75,0.21,"1,045.70",863.00,"1,456.00",319.00,11_05_2021
MFIL,54.39,"1,130.00","1,162.00","1,120.00","1,147.00","1,144.65","30,038.00","1,149.80","34,382,911.10",310,-2.80,42.00,-0.24,3.75,0.21,"1,045.70",863.00,"1,456.00",319.00,11_06_2021
MFIL,54.39,"1,130.00","1,162.00","1,120.00","1,147.00","1,144.65","30,038.00","1,149.80","34,382,911.10",310,-2.80,42.00,-0.24,3.75,0.21,"1,045.70",863.00,"1,456.00",319.00,11_07_2021
MFIL,55.17,"1,169.90","1,169.90","1,127.00","1,129.00","1,138.22","18,519.00","1,147.00","21,078,651.40",198,-18.00,42.90,-1.57,3.81,-0.82,"1,050.87",866.82,"1,456.00",319.00,11_08_2021
MFIL,52.03,"1,151.50","1,151.50","1,074.00","1,084.00","1,097.81","51,471.00","1,129.00","56,505,518.60",459,-45.00,77.50,-3.99,7.22,-1.27,"1,055.72",870.16,"1,456.00",319.00,11_09_2021
MFIL,48.94,"1,151.50","1,151.50","1,074.00","1,084.00","1,097.81","51,471.00","1,129.00","56,505,518.60",459,-45.00,77.50,-3.99,7.22,-1.27,"1,055.72",870.16,"1,456.00",319.00,11_10_2021
MFIL,46.89,"1,062.40","1,095.00","1,038.00","1,038.00","1,059.80","36,679.00","1,084.00","38,872,562.30",370,-46.00,57.00,-4.24,5.49,-2.10,"1,060.14",873.06,"1,456.00",319.00,11_11_2021
MFIL,44.48,"1,062.40","1,095.00","1,038.00","1,038.00","1,059.80","36,679.00","1,084.00","38,872,562.30",370,-46.00,57.00,-4.24,5.49,-2.10,"1,060.14",873.06,"1,456.00",319.00,11_12_2021
MFIL,44.48,"1,062.40","1,095.00","1,038.00","1,038.00","1,059.80","36,679.00","1,084.00","38,872,562.30",370,-46.00,57.00,-4.24,5.49,-2.10,"1,060.14",873.06,"1,456.00",319.00,11_13_2021
MFIL,42.43,"1,020.00","1,045.00","1,019.40","1,037.00","1,031.37","33,777.00","1,038.00","34,836,645.10",303,-1.00,25.60,-0.10,2.51,0.54,"1,064.55",875.92,"1,456.00",319.00,11_14_2021
MFIL,42.89,"1,042.40","1,064.00","1,038.50","1,054.00","1,052.36","25,517.00","1,037.00","26,853,021.50",223,17.00,25.50,1.64,2.46,0.16,"1,069.12",878.89,"1,456.00",319.00,11_15_2021
MFIL,42.32,"1,055.00","1,106.70","1,055.00","1,106.70","1,082.56","30,548.00","1,054.00","33,070,186.20",284,52.70,51.70,5.00,4.90,2.18,"1,074.03",882.21,"1,456.00",319.00,11_16_2021
MFIL,51.14,"1,110.00","1,180.00","1,109.00","1,140.00","1,149.53","75,291.00","1,106.70","86,549,015.00",706,33.30,71.00,3.01,6.40,-0.84,"1,079.14",885.68,"1,456.00",319.00,11_17_2021
MFIL,63.43,"1,150.00","1,200.00","1,130.00","1,180.00","1,169.34","125,156.00","1,140.00","146,349,489.10",979,40.00,70.00,3.51,6.19,0.90,"1,084.52",889.23,"1,456.00",319.00,11_18_2021
MFIL,65.47,"1,150.00","1,200.00","1,130.00","1,180.00","1,169.34","125,156.00","1,140.00","146,349,489.10",979,40.00,70.00,3.51,6.19,0.90,"1,084.52",889.23,"1,456.00",319.00,11_19_2021
MFIL,65.47,"1,150.00","1,200.00","1,130.00","1,180.00","1,169.34","125,156.00","1,140.00","146,349,489.10",979,40.00,70.00,3.51,6.19,0.90,"1,084.52",889.23,"1,456.00",319.00,11_20_2021
MFIL,60.77,"1,180.00","1,213.00","1,162.00","1,165.00","1,178.96","48,609.00","1,180.00","57,307,921.50",422,-15.00,51.00,-1.27,4.39,-1.20,"1,089.70",892.73,"1,456.00",319.00,11_21_2021
MFIL,57.02,"1,180.00","1,188.00","1,147.00","1,148.00","1,159.28","31,730.00","1,165.00","36,783,955.00",275,-17.00,41.00,-1.46,3.57,-0.98,"1,094.77",896.22,"1,456.00",319.00,11_22_2021
MFIL,52.58,"1,148.00","1,150.00","1,107.00","1,121.00","1,120.47","37,349.00","1,148.00","41,848,458.80",366,-27.00,43.00,-2.35,3.88,0.05,"1,099.16",899.57,"1,456.00",319.00,11_23_2021
MFIL,43.36,"1,110.00","1,140.00","1,088.20","1,131.00","1,114.41","30,656.00","1,121.00","34,163,459.00",330,10.00,51.80,0.89,4.76,1.47,"1,103.20",903.01,"1,456.00",319.00,11_24_2021
MFIL,42.36,"1,121.00","1,143.30","1,111.00","1,117.90","1,123.66","15,438.00","1,131.00","17,346,995.30",146,-13.10,32.30,-1.16,2.91,-0.51,"1,107.27",906.39,"1,456.00",319.00,11_25_2021
MFIL,39.51,"1,121.00","1,143.30","1,111.00","1,117.90","1,123.66","15,438.00","1,131.00","17,346,995.30",146,-13.10,32.30,-1.16,2.91,-0.51,"1,107.27",906.39,"1,456.00",319.00,11_26_2021
MFIL,39.51,"1,121.00","1,143.30","1,111.00","1,117.90","1,123.66","15,438.00","1,131.00","17,346,995.30",146,-13.10,32.30,-1.16,2.91,-0.51,"1,107.27",906.39,"1,456.00",319.00,11_27_2021
MFIL,36.61,"1,095.60","1,110.00","1,061.00","1,068.00","1,080.75","40,349.00","1,117.90","43,607,021.50",406,-49.90,49.00,-4.46,4.62,-1.19,"1,110.92",909.49,"1,456.00",319.00,11_28_2021
MFIL,40.59,"1,050.00","1,110.00","1,048.00","1,065.10","1,075.25","21,488.00","1,068.00","23,104,995.50",236,-2.90,62.00,-0.27,5.92,-0.95,"1,114.42",912.61,"1,456.00",319.00,11_29_2021
