Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MFLD85,57.49,"1,005.00","1,005.00","1,005.00","1,005.00","1,005.00",50.00,"1,005.00","50,250.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,055.00",992.00,09_01_2021
MFLD85,50.30,971.00,973.00,971.00,972.30,972.10,75.00,967.00,"72,907.50",3,5.30,2.00,0.55,0.21,0.02,-,-,"1,055.00",967.00,11_11_2021
MFLD85,52.81,971.00,973.00,971.00,972.30,972.10,75.00,967.00,"72,907.50",3,5.30,2.00,0.55,0.21,0.02,-,-,"1,055.00",967.00,11_12_2021
MFLD85,52.81,971.00,973.00,971.00,972.30,972.10,75.00,967.00,"72,907.50",3,5.30,2.00,0.55,0.21,0.02,-,-,"1,055.00",967.00,11_13_2021
MFLD85,51.76,970.00,985.00,970.00,985.00,977.50,50.00,972.30,"48,875.00",2,12.70,15.00,1.31,1.55,0.76,-,-,"1,055.00",967.00,11_15_2021
MFLD85,59.08,995.00,995.00,995.00,995.00,995.00,25.00,985.00,"24,875.00",1,10.00,0.00,1.02,0.00,0.00,-,-,"1,055.00",967.00,11_16_2021
MFLD85,54.50,999.00,999.00,999.00,999.00,999.00,25.00,995.00,"24,975.00",1,4.00,0.00,0.40,0.00,0.00,-,-,"1,055.00",967.00,11_24_2021
MFLD85,49.04,979.10,979.10,979.10,979.10,979.10,25.00,999.00,"24,477.50",1,-19.90,0.00,-1.99,0.00,0.00,-,-,"1,055.00",967.00,12_07_2021
MFLD85,42.88,974.90,975.00,974.90,975.00,974.97,150.00,979.10,"146,245.00",2,-4.10,0.10,-0.42,0.01,0.00,-,-,"1,055.00",967.00,12_21_2021
MFLD85,42.74,975.10,975.10,975.10,975.10,975.10,100.00,975.00,"97,510.00",1,0.10,0.00,0.01,0.00,0.00,-,-,"1,055.00",967.00,12_23_2021
MFLD85,40.37,975.10,975.10,975.10,975.10,975.10,100.00,975.00,"97,510.00",1,0.10,0.00,0.01,0.00,0.00,-,-,"1,055.00",967.00,12_24_2021
MFLD85,40.37,975.10,975.10,975.10,975.10,975.10,100.00,975.00,"97,510.00",1,0.10,0.00,0.01,0.00,0.00,-,-,"1,055.00",967.00,12_25_2021
MFLD85,38.74,973.10,973.10,973.10,973.10,973.10,25.00,975.10,"24,327.50",1,-2.00,0.00,-0.21,0.00,0.00,-,-,"1,055.00",967.00,12_26_2021
