Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MHCL,44.86,174.00,187.60,174.00,187.60,186.28,313.00,170.60,"58,306.00",33,17.00,13.60,9.96,7.82,0.70,0.00,0.00,187.60,141.00,04_17_2023
MHCL,48.92,210.40,226.90,210.40,226.90,226.59,"1,483.00",206.30,"336,037.60",146,20.60,16.50,9.99,7.84,0.14,0.00,0.00,226.90,141.00,04_19_2023
MHCL,50.21,231.40,249.50,231.40,249.50,249.08,"1,839.00",226.90,"458,050.20",177,22.60,18.10,9.96,7.82,0.17,0.00,0.00,249.50,141.00,04_20_2023
MHCL,46.86,231.40,249.50,231.40,249.50,249.08,"1,839.00",226.90,"458,050.20",177,22.60,18.10,9.96,7.82,0.17,0.00,0.00,249.50,141.00,04_21_2023
MHCL,46.86,231.40,249.50,231.40,249.50,249.08,"1,839.00",226.90,"458,050.20",177,22.60,18.10,9.96,7.82,0.17,0.00,0.00,249.50,141.00,04_22_2023
MHCL,46.86,254.40,274.40,239.80,254.00,258.85,"120,512.00",249.50,"31,195,003.20","5,810",4.50,34.60,1.80,14.43,-1.91,0.00,0.00,274.40,141.00,04_23_2023
MHCL,47.59,259.00,259.00,235.50,239.00,240.83,"52,538.00",254.00,"12,652,746.90","3,291",-15.00,23.50,-5.91,9.98,-0.77,0.00,0.00,274.40,141.00,04_24_2023
MHCL,42.20,235.00,251.70,235.00,246.00,240.39,"20,790.00",239.00,"4,997,754.50","1,820",7.00,16.70,2.93,7.11,2.28,0.00,0.00,274.40,141.00,04_25_2023
MHCL,36.33,241.30,251.50,237.00,250.00,246.44,"17,748.00",246.00,"4,373,886.40","1,241",4.00,14.50,1.63,6.12,1.42,0.00,0.00,274.40,141.00,04_26_2023
MHCL,33.24,246.00,246.50,241.50,242.80,243.52,"14,715.00",250.00,"3,583,453.90",671,-7.20,5.00,-2.88,2.07,-0.30,0.00,0.00,274.40,141.00,04_27_2023
MHCL,29.32,246.00,246.50,241.50,242.80,243.52,"14,715.00",250.00,"3,583,453.90",671,-7.20,5.00,-2.88,2.07,-0.30,0.00,0.00,274.40,141.00,04_28_2023
MHCL,29.32,246.00,246.50,241.50,242.80,243.52,"14,715.00",250.00,"3,583,453.90",671,-7.20,5.00,-2.88,2.07,-0.30,0.00,0.00,274.40,141.00,04_29_2023
MHCL,29.32,238.30,241.00,230.00,232.00,234.72,"23,631.00",242.80,"5,546,600.20",893,-10.80,11.00,-4.45,4.78,-1.17,0.00,0.00,274.40,141.00,04_30_2023
MHCL,30.23,238.30,241.00,230.00,232.00,234.72,"23,631.00",242.80,"5,546,600.20",893,-10.80,11.00,-4.45,4.78,-1.17,0.00,0.00,274.40,141.00,05_01_2023
MHCL,31.22,232.00,234.60,222.30,225.00,225.51,"14,972.00",232.00,"3,376,360.90",753,-7.00,12.30,-3.02,5.53,-0.23,0.00,0.00,274.40,141.00,05_02_2023
MHCL,28.24,225.00,225.00,218.00,220.00,220.04,"8,519.00",225.00,"1,874,551.60",503,-5.00,7.00,-2.22,3.21,-0.02,0.00,0.00,274.40,141.00,05_03_2023
MHCL,22.66,217.00,229.50,217.00,227.90,223.13,"8,573.00",220.00,"1,912,897.20",470,7.90,12.50,3.59,5.76,2.09,0.00,0.00,274.40,141.00,05_04_2023
MHCL,26.28,217.00,229.50,217.00,227.90,223.13,"8,573.00",220.00,"1,912,897.20",470,7.90,12.50,3.59,5.76,2.09,0.00,0.00,274.40,141.00,05_05_2023
MHCL,26.28,217.00,229.50,217.00,227.90,223.13,"8,573.00",220.00,"1,912,897.20",470,7.90,12.50,3.59,5.76,2.09,0.00,0.00,274.40,141.00,05_06_2023
MHCL,26.28,232.40,232.40,216.50,219.00,220.08,"8,520.00",227.90,"1,875,068.90",508,-8.90,15.90,-3.91,7.34,-0.49,0.00,0.00,274.40,141.00,05_07_2023
MHCL,23.97,214.80,220.00,212.00,213.50,213.83,"14,386.00",219.00,"3,076,228.00",508,-5.50,8.00,-2.51,3.77,-0.16,0.00,0.00,274.40,141.00,05_08_2023
MHCL,27.15,212.00,224.00,211.00,216.00,216.60,"8,320.00",213.50,"1,802,114.50",403,2.50,13.00,1.17,6.16,-0.28,0.00,0.00,274.40,141.00,05_09_2023
MHCL,27.33,220.00,220.00,214.10,218.00,215.79,"4,895.00",216.00,"1,056,314.00",273,2.00,5.90,0.93,2.76,1.01,0.00,0.00,274.40,141.00,05_10_2023
MHCL,23.10,222.30,235.00,213.00,216.00,214.76,"5,733.00",218.00,"1,231,192.80",301,-2.00,22.00,-0.92,10.33,0.58,0.00,0.00,274.40,141.00,05_11_2023
MHCL,26.59,222.30,235.00,213.00,216.00,214.76,"5,733.00",218.00,"1,231,192.80",301,-2.00,22.00,-0.92,10.33,0.58,0.00,0.00,274.40,141.00,05_12_2023
MHCL,26.59,222.30,235.00,213.00,216.00,214.76,"5,733.00",218.00,"1,231,192.80",301,-2.00,22.00,-0.92,10.33,0.58,0.00,0.00,274.40,141.00,05_13_2023
MHCL,26.59,220.00,220.00,209.20,210.90,211.46,"7,205.00",216.00,"1,523,539.50",317,-5.10,10.80,-2.36,5.16,-0.26,0.00,0.00,274.40,141.00,05_14_2023
MHCL,25.50,207.00,212.00,206.00,210.00,208.60,"17,348.00",210.90,"3,618,753.30",376,-0.90,6.00,-0.43,2.91,0.67,0.00,0.00,274.40,141.00,05_15_2023
MHCL,28.29,205.80,213.00,205.80,210.00,209.78,"5,545.00",210.00,"1,163,217.70",334,0.00,7.20,0.00,3.50,0.11,0.00,0.00,274.40,141.00,05_16_2023
MHCL,23.13,206.00,215.00,206.00,213.90,211.73,"8,941.00",210.00,"1,893,101.00",417,3.90,9.00,1.86,4.37,1.01,0.00,0.00,274.40,141.00,05_17_2023
MHCL,30.16,212.50,228.90,210.50,224.00,222.91,"28,558.00",213.90,"6,365,748.10",569,10.10,18.40,4.72,8.74,0.49,0.00,0.00,274.40,141.00,05_18_2023
MHCL,45.25,212.50,228.90,210.50,224.00,222.91,"28,558.00",213.90,"6,365,748.10",569,10.10,18.40,4.72,8.74,0.49,0.00,0.00,274.40,141.00,05_19_2023
MHCL,45.25,212.50,228.90,210.50,224.00,222.91,"28,558.00",213.90,"6,365,748.10",569,10.10,18.40,4.72,8.74,0.49,0.00,0.00,274.40,141.00,05_20_2023
MHCL,45.25,227.90,232.00,217.80,220.10,221.41,"24,657.00",224.00,"5,459,296.40",487,-3.90,14.20,-1.74,6.52,-0.60,0.00,0.00,274.40,141.00,05_21_2023
MHCL,48.85,215.70,225.00,212.10,222.00,220.94,"12,147.00",220.10,"2,683,724.10",412,1.90,12.90,0.86,6.08,0.48,0.00,0.00,274.40,141.00,05_22_2023
MHCL,41.43,218.00,234.10,218.00,234.10,228.15,"37,997.00",222.00,"8,669,041.20",671,12.10,16.10,5.45,7.39,2.54,0.00,0.00,274.40,141.00,05_23_2023
