Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MHL,0.00,237.30,261.00,237.30,261.00,250.95,150.00,237.30,"37,642.10",20,23.70,23.70,9.99,9.99,3.85,-,-,261.00,237.30,08_17_2022
MHL,36.44,266.20,287.10,266.20,287.10,284.13,260.00,261.00,"73,872.60",27,26.10,20.90,10.00,7.85,1.04,-,-,287.10,237.30,08_18_2022
MHL,52.30,266.20,287.10,266.20,287.10,284.13,260.00,261.00,"73,872.60",27,26.10,20.90,10.00,7.85,1.04,-,-,287.10,237.30,08_19_2022
MHL,52.30,266.20,287.10,266.20,287.10,284.13,260.00,261.00,"73,872.60",27,26.10,20.90,10.00,7.85,1.04,-,-,287.10,237.30,08_20_2022
MHL,52.30,292.80,315.80,292.80,315.80,314.93,650.00,287.10,"204,702.00",65,28.70,23.00,10.00,7.86,0.28,-,-,315.80,237.30,08_21_2022
MHL,-,322.10,347.30,322.10,347.30,347.21,"6,530.00",315.80,"2,267,250.00",267,31.50,25.20,9.97,7.82,0.03,-,-,347.30,237.30,08_22_2022
MHL,50.58,354.20,382.00,354.20,382.00,381.81,"11,400.00",347.30,"4,352,674.00",941,34.70,27.80,9.99,7.85,0.05,-,-,382.00,237.30,08_23_2022
MHL,48.42,389.60,420.20,389.60,420.20,403.14,"76,612.00",382.00,"30,885,464.80","4,569",38.20,30.60,10.00,7.85,4.06,-,-,420.20,237.30,08_24_2022
MHL,54.50,428.60,436.00,403.80,415.00,421.34,"26,490.00",420.20,"11,161,246.50","1,985",-5.20,32.20,-1.24,7.97,-1.53,-,-,436.00,237.30,08_25_2022
MHL,50.22,407.00,410.10,400.10,407.60,407.09,"7,780.00",415.00,"3,167,122.00",694,-7.40,10.00,-1.78,2.50,0.13,-,-,436.00,237.30,08_26_2022
MHL,41.79,407.00,410.10,400.10,407.60,407.09,"7,780.00",415.00,"3,167,122.00",694,-7.40,10.00,-1.78,2.50,0.13,-,-,436.00,237.30,08_27_2022
MHL,41.79,400.10,400.10,378.70,380.00,387.40,"23,769.00",407.60,"9,208,169.20",956,-27.60,21.40,-6.77,5.65,-1.95,-,-,436.00,237.30,08_28_2022
MHL,38.23,374.10,390.00,370.00,383.30,382.02,"11,390.00",380.00,"4,351,223.00",471,3.30,20.00,0.87,5.41,0.33,-,-,436.00,237.30,08_29_2022
MHL,32.14,390.00,390.00,373.00,375.00,381.01,"4,255.00",383.30,"1,621,203.50",248,-8.30,17.00,-2.17,4.56,-1.60,-,-,436.00,237.30,08_30_2022
