Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MHNL,42.91,545.70,560.00,515.00,528.00,538.17,"26,599.00",535.00,"14,314,763.20",208,-7.00,45.00,-1.31,8.74,-1.93,368.77,316.08,720.00,79.00,09_01_2021
MHNL,69.31,510.00,510.00,490.00,497.00,497.56,"17,805.00",500.00,"8,858,976.60",121,-3.00,20.00,-0.60,4.08,-0.11,432.69,372.69,720.00,173.00,11_03_2021
MHNL,63.17,510.00,510.00,490.00,497.00,497.56,"17,805.00",500.00,"8,858,976.60",121,-3.00,20.00,-0.60,4.08,-0.11,432.69,372.69,720.00,173.00,11_05_2021
MHNL,63.17,510.00,510.00,490.00,497.00,497.56,"17,805.00",500.00,"8,858,976.60",121,-3.00,20.00,-0.60,4.08,-0.11,432.69,372.69,720.00,173.00,11_06_2021
MHNL,63.17,510.00,510.00,490.00,497.00,497.56,"17,805.00",500.00,"8,858,976.60",121,-3.00,20.00,-0.60,4.08,-0.11,432.69,372.69,720.00,173.00,11_07_2021
MHNL,63.95,487.10,534.60,484.20,496.00,496.71,"40,849.00",497.00,"20,290,024.80",216,-1.00,50.40,-0.20,10.41,-0.14,434.44,374.09,720.00,173.00,11_08_2021
MHNL,62.83,486.10,488.00,461.00,468.00,470.74,"20,249.00",496.00,"9,532,025.90",174,-28.00,27.00,-5.65,5.86,-0.59,436.03,375.19,720.00,173.00,11_09_2021
MHNL,55.43,486.10,488.00,461.00,468.00,470.74,"20,249.00",496.00,"9,532,025.90",174,-28.00,27.00,-5.65,5.86,-0.59,436.03,375.19,720.00,173.00,11_10_2021
MHNL,53.38,458.70,467.00,442.10,445.10,452.72,"14,979.00",468.00,"6,781,276.50",153,-22.90,24.90,-4.89,5.63,-1.71,437.40,376.20,720.00,173.00,11_11_2021
MHNL,47.08,458.70,467.00,442.10,445.10,452.72,"14,979.00",468.00,"6,781,276.50",153,-22.90,24.90,-4.89,5.63,-1.71,437.40,376.20,720.00,173.00,11_12_2021
MHNL,47.08,458.70,467.00,442.10,445.10,452.72,"14,979.00",468.00,"6,781,276.50",153,-22.90,24.90,-4.89,5.63,-1.71,437.40,376.20,720.00,173.00,11_13_2021
MHNL,45.03,445.10,477.00,437.00,454.90,451.84,"26,359.00",445.10,"11,909,974.50",160,9.80,40.00,2.20,9.15,0.67,438.79,377.29,720.00,173.00,11_14_2021
MHNL,48.42,463.90,475.00,454.00,458.90,461.54,"22,444.00",454.90,"10,358,695.20",137,4.00,21.00,0.88,4.63,-0.57,440.16,378.45,720.00,173.00,11_15_2021
MHNL,48.22,468.00,492.00,463.30,487.00,477.67,"20,388.00",458.90,"9,738,685.50",167,28.10,28.70,6.12,6.19,1.92,441.80,379.80,720.00,173.00,11_16_2021
MHNL,53.22,496.70,526.00,496.70,500.00,508.23,"43,534.00",487.00,"22,125,175.40",316,13.00,29.30,2.67,5.90,-1.65,443.58,381.32,720.00,173.00,11_17_2021
MHNL,61.11,510.00,510.00,477.00,479.90,491.51,"28,751.00",500.00,"14,131,396.50",238,-20.10,33.00,-4.02,6.92,-2.42,445.16,382.64,720.00,173.00,11_18_2021
MHNL,55.72,510.00,510.00,477.00,479.90,491.51,"28,751.00",500.00,"14,131,396.50",238,-20.10,33.00,-4.02,6.92,-2.42,445.16,382.64,720.00,173.00,11_19_2021
MHNL,55.72,510.00,510.00,477.00,479.90,491.51,"28,751.00",500.00,"14,131,396.50",238,-20.10,33.00,-4.02,6.92,-2.42,445.16,382.64,720.00,173.00,11_20_2021
MHNL,51.02,485.00,499.80,480.00,490.00,489.43,"17,903.00",479.90,"8,762,268.20",168,10.10,19.80,2.10,4.13,0.12,446.63,384.08,720.00,173.00,11_21_2021
MHNL,49.99,499.00,504.50,485.10,485.20,493.81,"21,474.00",490.00,"10,604,098.80",155,-4.80,19.40,-0.98,4.00,-1.77,448.18,385.49,720.00,173.00,11_22_2021
MHNL,49.08,479.00,485.00,462.00,471.50,469.15,"18,972.00",485.20,"8,900,644.20",165,-13.70,23.00,-2.82,4.98,0.50,449.69,386.82,720.00,173.00,11_23_2021
MHNL,46.34,463.00,499.80,451.00,480.00,472.80,"31,622.00",471.50,"14,951,008.00",239,8.50,48.80,1.80,10.82,1.50,451.08,388.15,720.00,173.00,11_24_2021
MHNL,53.11,480.00,500.00,480.00,486.00,492.14,"20,387.00",480.00,"10,033,281.40",141,6.00,20.00,1.25,4.17,-1.26,452.25,389.52,720.00,173.00,11_25_2021
MHNL,50.04,480.00,500.00,480.00,486.00,492.14,"20,387.00",480.00,"10,033,281.40",141,6.00,20.00,1.25,4.17,-1.26,452.25,389.52,720.00,173.00,11_26_2021
MHNL,50.04,480.00,500.00,480.00,486.00,492.14,"20,387.00",480.00,"10,033,281.40",141,6.00,20.00,1.25,4.17,-1.26,452.25,389.52,720.00,173.00,11_27_2021
MHNL,47.14,476.30,480.00,442.00,459.00,458.60,"74,102.00",486.00,"33,983,487.00",339,-27.00,38.00,-5.56,8.60,0.09,452.92,390.71,720.00,173.00,11_28_2021
MHNL,48.09,460.00,480.00,451.10,458.00,466.59,"15,223.00",459.00,"7,102,974.50",125,-1.00,28.90,-0.22,6.41,-1.88,453.29,391.93,720.00,173.00,11_29_2021
MHNL,33.68,467.00,470.00,450.00,465.10,457.23,"12,539.00",458.00,"5,733,157.90",94,7.10,20.00,1.55,4.44,1.69,453.90,393.24,720.00,173.00,11_30_2021
MHNL,32.63,467.00,489.00,467.00,483.00,481.67,"49,420.00",465.10,"23,804,295.10",383,17.90,22.00,3.85,4.71,0.27,454.92,394.71,720.00,173.00,12_01_2021
MHNL,39.02,475.00,487.00,461.00,466.00,469.66,"23,735.00",483.00,"11,147,335.90",155,-17.00,26.00,-3.52,5.64,-0.79,455.91,396.05,720.00,173.00,12_02_2021
MHNL,50.81,475.00,487.00,461.00,466.00,469.66,"23,735.00",483.00,"11,147,335.90",155,-17.00,26.00,-3.52,5.64,-0.79,455.91,396.05,720.00,173.00,12_03_2021
MHNL,50.81,475.00,487.00,461.00,466.00,469.66,"23,735.00",483.00,"11,147,335.90",155,-17.00,26.00,-3.52,5.64,-0.79,455.91,396.05,720.00,173.00,12_04_2021
MHNL,49.91,457.10,465.00,440.00,441.00,444.94,"31,581.00",466.00,"14,051,775.90",240,-25.00,25.00,-5.36,5.68,-0.89,456.60,397.27,720.00,173.00,12_05_2021
MHNL,39.67,433.00,466.00,420.00,455.00,440.35,"20,088.00",441.00,"8,845,769.40",182,14.00,46.00,3.17,10.95,3.22,457.48,398.59,720.00,173.00,12_06_2021
MHNL,39.53,464.10,467.90,436.00,436.00,447.13,"12,972.00",455.00,"5,800,196.00",115,-19.00,31.90,-4.18,7.32,-2.55,458.28,399.71,720.00,173.00,12_07_2021
MHNL,29.47,431.00,444.50,411.60,415.00,421.23,"18,757.00",436.00,"7,900,949.30",147,-21.00,32.90,-4.82,7.99,-1.50,458.65,400.74,720.00,173.00,12_08_2021
MHNL,29.13,410.00,438.00,404.00,416.50,416.65,"9,152.00",415.00,"3,813,196.20",111,1.50,34.00,0.36,8.42,-0.04,459.04,401.74,720.00,173.00,12_09_2021
MHNL,25.60,410.00,438.00,404.00,416.50,416.65,"9,152.00",415.00,"3,813,196.20",111,1.50,34.00,0.36,8.42,-0.04,459.04,401.74,720.00,173.00,12_10_2021
MHNL,25.60,410.00,438.00,404.00,416.50,416.65,"9,152.00",415.00,"3,813,196.20",111,1.50,34.00,0.36,8.42,-0.04,459.04,401.74,720.00,173.00,12_11_2021
MHNL,24.95,415.00,415.00,381.30,394.00,395.23,"16,614.00",416.50,"6,566,429.00",132,-22.50,33.70,-5.40,8.84,-0.31,459.30,402.54,720.00,173.00,12_12_2021
MHNL,25.36,386.20,395.00,364.00,367.00,371.89,"13,078.00",394.00,"4,863,557.50",132,-27.00,31.00,-6.85,8.52,-1.33,459.13,403.19,720.00,173.00,12_13_2021
MHNL,25.81,374.00,403.70,368.00,403.70,389.50,"9,495.00",367.00,"3,698,323.50",70,36.70,35.70,10.00,9.70,3.52,459.01,404.02,720.00,173.00,12_14_2021
MHNL,40.72,411.70,438.60,391.00,410.00,419.11,"16,945.00",403.70,"7,101,738.40",188,6.30,47.60,1.56,12.17,-2.22,459.11,404.91,720.00,173.00,12_15_2021
MHNL,42.47,402.10,410.00,385.00,385.00,394.56,"12,784.00",410.00,"5,044,079.00",107,-25.00,25.00,-6.10,6.49,-2.48,459.16,405.67,720.00,173.00,12_16_2021
MHNL,41.06,402.10,410.00,385.00,385.00,394.56,"12,784.00",410.00,"5,044,079.00",107,-25.00,25.00,-6.10,6.49,-2.48,459.16,405.67,720.00,173.00,12_17_2021
MHNL,41.06,402.10,410.00,385.00,385.00,394.56,"12,784.00",410.00,"5,044,079.00",107,-25.00,25.00,-6.10,6.49,-2.48,459.16,405.67,720.00,173.00,12_18_2021
MHNL,41.06,402.10,410.00,385.00,385.00,394.56,"12,784.00",410.00,"5,044,079.00",107,-25.00,25.00,-6.10,6.49,-2.48,459.16,405.67,720.00,173.00,12_19_2021
MHNL,38.38,378.00,387.00,373.50,376.00,381.30,"9,955.00",385.00,"3,795,797.00",62,-9.00,13.50,-2.34,3.61,-1.41,459.39,406.39,720.00,173.00,12_20_2021
MHNL,41.48,383.50,403.00,378.10,399.00,392.41,"10,946.00",376.00,"4,295,288.60",74,23.00,24.90,6.12,6.59,1.65,459.80,407.25,720.00,173.00,12_21_2021
MHNL,43.28,406.00,423.40,406.00,420.00,417.85,"14,868.00",399.00,"6,212,529.40",110,21.00,17.40,5.26,4.29,0.51,460.49,408.25,720.00,173.00,12_22_2021
MHNL,49.62,427.80,432.30,414.00,426.00,425.31,"24,283.00",420.00,"10,327,770.40",151,6.00,18.30,1.43,4.42,0.16,461.38,409.28,720.00,173.00,12_23_2021
MHNL,54.41,427.80,432.30,414.00,426.00,425.31,"24,283.00",420.00,"10,327,770.40",151,6.00,18.30,1.43,4.42,0.16,461.38,409.28,720.00,173.00,12_24_2021
MHNL,54.41,427.80,432.30,414.00,426.00,425.31,"24,283.00",420.00,"10,327,770.40",151,6.00,18.30,1.43,4.42,0.16,461.38,409.28,720.00,173.00,12_25_2021
MHNL,52.78,427.00,433.00,414.00,422.00,425.24,"12,268.00",426.00,"5,216,789.50",68,-4.00,19.00,-0.94,4.59,-0.77,461.99,410.14,720.00,173.00,12_26_2021
MHNL,49.80,420.00,423.00,397.70,398.00,404.93,"27,206.00",422.00,"11,016,617.70",132,-24.00,25.30,-5.69,6.36,-1.74,462.48,410.77,720.00,173.00,12_27_2021
MHNL,50.63,400.00,410.00,390.10,406.00,400.93,"17,919.00",398.00,"7,184,283.50",105,8.00,19.90,2.01,5.10,1.25,463.11,411.55,720.00,173.00,12_28_2021
MHNL,43.25,397.90,412.00,397.90,401.00,403.21,"7,181.00",406.00,"2,895,429.00",54,-5.00,14.10,-1.23,3.54,-0.55,463.70,412.28,720.00,173.00,12_29_2021
MHNL,39.20,397.90,412.00,397.90,401.00,403.21,"7,181.00",406.00,"2,895,429.00",54,-5.00,14.10,-1.23,3.54,-0.55,463.70,412.28,720.00,173.00,12_30_2021
MHNL,39.20,397.90,412.00,397.90,401.00,403.21,"7,181.00",406.00,"2,895,429.00",54,-5.00,14.10,-1.23,3.54,-0.55,463.70,412.28,720.00,173.00,12_31_2021
MHNL,39.20,397.90,412.00,397.90,401.00,403.21,"7,181.00",406.00,"2,895,429.00",54,-5.00,14.10,-1.23,3.54,-0.55,463.70,412.28,720.00,173.00,01_01_2022
MHNL,40.74,407.00,420.00,401.10,407.00,409.74,"6,716.00",401.00,"2,751,794.00",53,6.00,18.90,1.50,4.71,-0.67,464.42,413.08,720.00,177.00,01_02_2022
MHNL,44.54,414.90,425.00,407.00,409.00,416.90,"7,478.00",407.00,"3,117,557.60",64,2.00,18.00,0.49,4.42,-1.93,465.24,413.90,720.00,177.00,01_03_2022
MHNL,54.22,410.00,420.00,410.00,417.00,416.02,"6,302.00",409.00,"2,621,788.40",58,8.00,10.00,1.96,2.44,0.23,466.07,414.75,720.00,177.00,01_04_2022
MHNL,52.73,409.00,439.00,409.00,423.20,427.50,"33,739.00",417.00,"14,423,475.20",176,6.20,30.00,1.49,7.33,-1.02,466.89,415.64,720.00,177.00,01_05_2022
MHNL,58.63,414.90,434.00,414.90,430.00,426.80,"4,299.00",423.20,"1,834,814.50",56,6.80,19.10,1.61,4.60,0.74,467.83,416.54,720.00,184.00,01_06_2022
MHNL,53.07,414.90,434.00,414.90,430.00,426.80,"4,299.00",423.20,"1,834,814.50",56,6.80,19.10,1.61,4.60,0.74,467.83,416.54,720.00,184.00,01_07_2022
MHNL,53.07,414.90,434.00,414.90,430.00,426.80,"4,299.00",423.20,"1,834,814.50",56,6.80,19.10,1.61,4.60,0.74,467.83,416.54,720.00,184.00,01_08_2022
MHNL,53.55,438.00,467.00,438.00,467.00,453.74,"41,985.00",430.00,"19,050,219.80",232,37.00,29.00,8.60,6.62,2.84,469.12,417.69,720.00,184.00,01_09_2022
MHNL,63.16,475.00,484.00,455.00,465.00,468.71,"27,492.00",467.00,"12,885,654.60",149,-2.00,29.00,-0.43,6.37,-0.80,470.40,418.84,720.00,184.00,01_10_2022
MHNL,65.11,465.00,482.00,460.00,482.00,475.31,"39,025.00",465.00,"18,549,107.70",158,17.00,22.00,3.66,4.78,1.39,471.89,420.09,720.00,184.00,01_11_2022
MHNL,65.77,474.00,493.90,463.50,465.00,479.27,"48,897.00",482.00,"23,435,003.60",212,-17.00,30.40,-3.53,6.56,-3.07,473.18,421.24,720.00,184.00,01_12_2022
