Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MKHC,0.00,265.50,292.00,265.50,292.00,286.99,680.00,265.50,"195,156.40",78,26.50,26.50,9.98,9.98,1.71,0.00,0.00,292.00,265.50,03_22_2023
MKHC,35.86,297.80,321.20,297.80,321.20,321.10,"6,317.00",292.00,"2,028,370.00",199,29.20,23.40,10.00,7.86,0.03,0.00,0.00,321.20,265.50,03_23_2023
MKHC,46.42,297.80,321.20,297.80,321.20,321.10,"6,317.00",292.00,"2,028,370.00",199,29.20,23.40,10.00,7.86,0.03,0.00,0.00,321.20,265.50,03_24_2023
MKHC,46.42,297.80,321.20,297.80,321.20,321.10,"6,317.00",292.00,"2,028,370.00",199,29.20,23.40,10.00,7.86,0.03,0.00,0.00,321.20,265.50,03_25_2023
MKHC,46.42,327.60,353.30,327.60,353.30,353.12,"8,740.00",321.20,"3,086,311.00",834,32.10,25.70,9.99,7.84,0.05,0.00,0.00,353.30,265.50,03_26_2023
MKHC,45.86,360.30,367.50,327.30,340.00,336.69,"97,727.00",353.30,"32,904,101.90","5,864",-13.30,40.20,-3.76,12.28,0.97,0.00,0.00,367.50,265.50,03_27_2023
MKHC,50.16,340.00,347.00,331.10,342.00,338.77,"34,239.00",340.00,"11,599,111.00","2,638",2.00,15.90,0.59,4.80,0.94,0.00,0.00,367.50,265.50,03_28_2023
MKHC,48.69,347.00,347.00,330.30,337.00,332.88,"24,389.00",342.00,"8,118,576.20","1,512",-5.00,16.70,-1.46,5.06,1.22,0.00,0.00,367.50,265.50,03_29_2023
MKHC,37.23,343.70,343.70,324.00,332.00,328.10,"31,298.00",337.00,"10,269,025.80","1,647",-5.00,19.70,-1.48,6.08,1.17,0.00,0.00,367.50,265.50,03_30_2023
MKHC,27.68,343.70,343.70,324.00,332.00,328.10,"31,298.00",337.00,"10,269,025.80","1,647",-5.00,19.70,-1.48,6.08,1.17,0.00,0.00,367.50,265.50,03_31_2023
MKHC,27.68,343.70,343.70,324.00,332.00,328.10,"31,298.00",337.00,"10,269,025.80","1,647",-5.00,19.70,-1.48,6.08,1.17,0.00,0.00,367.50,265.50,04_01_2023
MKHC,27.68,336.00,336.00,307.80,312.00,317.44,"35,279.00",332.00,"11,198,850.00","1,318",-20.00,28.20,-6.02,9.16,-1.74,0.00,0.00,367.50,265.50,04_02_2023
MKHC,27.02,307.00,307.10,293.10,297.00,297.74,"34,267.00",312.00,"10,202,746.70",912,-15.00,14.00,-4.81,4.78,-0.25,0.00,0.00,367.50,265.50,04_03_2023
MKHC,42.50,292.00,296.00,285.60,288.90,290.34,"9,551.00",297.90,"2,773,049.10",337,-9.00,10.40,-3.02,3.64,-0.50,0.00,0.00,367.50,265.50,04_17_2023
MKHC,25.57,285.30,295.00,285.00,295.00,289.32,"8,620.00",291.00,"2,493,899.00",335,4.00,10.00,1.37,3.51,1.93,0.00,0.00,367.50,265.50,04_19_2023
MKHC,48.65,290.10,295.00,284.40,284.50,287.06,"6,531.00",295.00,"1,874,806.50",244,-10.50,10.60,-3.56,3.73,-0.90,0.00,0.00,367.50,265.50,04_20_2023
MKHC,32.42,290.10,295.00,284.40,284.50,287.06,"6,531.00",295.00,"1,874,806.50",244,-10.50,10.60,-3.56,3.73,-0.90,0.00,0.00,367.50,265.50,04_21_2023
MKHC,32.42,290.10,295.00,284.40,284.50,287.06,"6,531.00",295.00,"1,874,806.50",244,-10.50,10.60,-3.56,3.73,-0.90,0.00,0.00,367.50,265.50,04_22_2023
MKHC,32.42,284.00,284.00,274.40,275.00,276.94,"6,952.00",284.50,"1,925,290.80",423,-9.50,9.60,-3.34,3.50,-0.71,0.00,0.00,367.50,265.50,04_23_2023
MKHC,33.91,270.00,281.50,270.00,275.30,274.70,"5,315.00",275.00,"1,460,030.70",420,0.30,11.50,0.11,4.26,0.22,0.00,0.00,367.50,265.50,04_24_2023
MKHC,26.61,270.10,280.50,270.00,279.00,272.57,"10,429.00",275.30,"2,842,676.00",368,3.70,10.50,1.34,3.89,2.30,0.00,0.00,367.50,265.50,04_25_2023
MKHC,32.11,275.00,281.00,272.00,272.50,275.26,"7,107.00",279.00,"1,956,300.00",285,-6.50,9.00,-2.33,3.31,-1.01,0.00,0.00,367.50,265.50,04_26_2023
MKHC,31.10,268.10,274.00,268.10,273.50,270.58,"5,596.00",272.50,"1,514,193.30",286,1.00,5.90,0.37,2.20,1.07,0.00,0.00,367.50,265.50,04_27_2023
MKHC,31.25,268.10,274.00,268.10,273.50,270.58,"5,596.00",272.50,"1,514,193.30",286,1.00,5.90,0.37,2.20,1.07,0.00,0.00,367.50,265.50,04_28_2023
MKHC,31.25,268.10,274.00,268.10,273.50,270.58,"5,596.00",272.50,"1,514,193.30",286,1.00,5.90,0.37,2.20,1.07,0.00,0.00,367.50,265.50,04_29_2023
MKHC,31.25,268.40,273.00,261.20,261.30,265.35,"9,439.00",273.50,"2,504,664.10",291,-12.20,11.80,-4.46,4.52,-1.55,0.00,0.00,367.50,261.20,04_30_2023
MKHC,28.63,268.40,273.00,261.20,261.30,265.35,"9,439.00",273.50,"2,504,664.10",291,-12.20,11.80,-4.46,4.52,-1.55,0.00,0.00,367.50,261.20,05_01_2023
MKHC,29.62,261.00,263.00,251.90,255.00,255.79,"6,600.00",261.30,"1,688,192.00",318,-6.30,11.10,-2.41,4.41,-0.31,0.00,0.00,367.50,251.90,05_02_2023
MKHC,24.44,250.30,260.00,250.30,260.00,254.71,"4,928.00",255.00,"1,255,235.50",213,5.00,9.70,1.96,3.88,2.03,0.00,0.00,367.50,250.30,05_03_2023
MKHC,25.43,260.00,268.00,251.20,268.00,257.05,"8,253.00",260.00,"2,121,458.30",242,8.00,16.80,3.08,6.69,4.08,0.00,0.00,367.50,250.30,05_04_2023
MKHC,32.31,260.00,268.00,251.20,268.00,257.05,"8,253.00",260.00,"2,121,458.30",242,8.00,16.80,3.08,6.69,4.08,0.00,0.00,367.50,250.30,05_05_2023
MKHC,32.31,260.00,268.00,251.20,268.00,257.05,"8,253.00",260.00,"2,121,458.30",242,8.00,16.80,3.08,6.69,4.08,0.00,0.00,367.50,250.30,05_06_2023
MKHC,32.31,263.00,263.00,251.30,256.00,253.81,"4,850.00",268.00,"1,230,959.50",260,-12.00,11.70,-4.48,4.66,0.86,0.00,0.00,367.50,250.30,05_07_2023
MKHC,28.05,253.00,253.00,237.20,245.00,245.16,"9,444.00",256.00,"2,315,318.70",243,-11.00,15.80,-4.30,6.66,-0.07,0.00,0.00,367.50,237.20,05_08_2023
MKHC,28.65,245.00,255.00,237.20,249.00,244.73,"4,036.00",245.00,"987,735.10",234,4.00,17.80,1.63,7.50,1.71,0.00,0.00,367.50,237.20,05_09_2023
MKHC,25.32,244.30,245.00,240.10,243.00,242.83,"2,265.00",249.00,"550,007.50",120,-6.00,4.90,-2.41,2.04,0.07,0.00,0.00,367.50,237.20,05_10_2023
MKHC,17.36,238.30,246.00,234.20,243.70,237.39,"3,890.00",243.00,"923,432.00",155,0.70,11.80,0.29,5.04,2.59,0.00,0.00,367.50,234.20,05_11_2023
MKHC,28.41,238.30,246.00,234.20,243.70,237.39,"3,890.00",243.00,"923,432.00",155,0.70,11.80,0.29,5.04,2.59,0.00,0.00,367.50,234.20,05_12_2023
MKHC,28.41,238.30,246.00,234.20,243.70,237.39,"3,890.00",243.00,"923,432.00",155,0.70,11.80,0.29,5.04,2.59,0.00,0.00,367.50,234.20,05_13_2023
MKHC,28.41,239.00,243.50,225.00,233.00,232.05,"8,232.00",243.70,"1,910,253.20",221,-10.70,18.50,-4.39,8.22,0.41,0.00,0.00,367.50,225.00,05_14_2023
MKHC,30.66,228.40,237.50,220.10,230.00,228.66,"5,092.00",233.00,"1,164,336.90",203,-3.00,17.40,-1.29,7.91,0.58,0.00,0.00,367.50,220.10,05_15_2023
MKHC,27.41,231.00,248.10,226.00,243.10,229.64,"14,843.00",230.00,"3,408,540.50",256,13.10,22.10,5.70,9.78,5.54,0.00,0.00,367.50,220.10,05_16_2023
MKHC,38.79,238.30,245.00,229.10,244.90,239.79,"4,381.00",243.10,"1,050,529.20",213,1.80,15.90,0.74,6.94,2.09,0.00,0.00,367.50,220.10,05_17_2023
MKHC,35.69,240.10,259.40,236.00,257.00,250.56,"10,888.00",244.90,"2,728,045.20",315,12.10,23.40,4.94,9.92,2.51,0.00,0.00,367.50,220.10,05_18_2023
MKHC,46.74,240.10,259.40,236.00,257.00,250.56,"10,888.00",244.90,"2,728,045.20",315,12.10,23.40,4.94,9.92,2.51,0.00,0.00,367.50,220.10,05_19_2023
MKHC,46.74,240.10,259.40,236.00,257.00,250.56,"10,888.00",244.90,"2,728,045.20",315,12.10,23.40,4.94,9.92,2.51,0.00,0.00,367.50,220.10,05_20_2023
MKHC,46.74,254.10,257.00,246.00,248.00,251.39,"12,133.00",257.00,"3,050,156.00",313,-9.00,11.00,-3.50,4.47,-1.37,0.00,0.00,367.50,220.10,05_21_2023
MKHC,46.30,244.00,266.90,244.00,259.00,252.99,"10,207.00",248.00,"2,582,301.50",273,11.00,22.90,4.44,9.39,2.32,0.00,0.00,367.50,220.10,05_22_2023
MKHC,46.16,254.10,270.00,254.10,266.10,265.52,"11,880.00",259.00,"3,154,336.50",371,7.10,15.90,2.74,6.26,0.22,0.00,0.00,367.50,220.10,05_23_2023
MKHC,50.04,261.00,265.90,256.00,261.20,261.23,"9,351.00",266.10,"2,442,715.10",230,-4.90,9.90,-1.84,3.87,-0.01,0.00,0.00,367.50,220.10,05_24_2023
MKHC,49.38,261.00,265.90,256.00,261.20,261.23,"9,351.00",266.10,"2,442,715.10",230,-4.90,9.90,-1.84,3.87,-0.01,0.00,0.00,367.50,220.10,05_25_2023
MKHC,49.38,261.00,265.90,256.00,261.20,261.23,"9,351.00",266.10,"2,442,715.10",230,-4.90,9.90,-1.84,3.87,-0.01,0.00,0.00,367.50,220.10,05_26_2023
MKHC,49.38,261.00,265.90,256.00,261.20,261.23,"9,351.00",266.10,"2,442,715.10",230,-4.90,9.90,-1.84,3.87,-0.01,0.00,0.00,367.50,220.10,05_27_2023
MKHC,52.13,256.00,266.20,247.10,253.90,257.29,"10,840.00",261.20,"2,789,039.00",325,-7.30,19.10,-2.79,7.73,-1.34,0.00,0.00,367.50,220.10,05_28_2023
MKHC,51.09,256.00,266.20,247.10,253.90,257.29,"10,840.00",261.20,"2,789,039.00",325,-7.30,19.10,-2.79,7.73,-1.34,0.00,0.00,367.50,220.10,05_29_2023
MKHC,51.39,248.90,250.50,237.00,244.00,241.82,"9,429.00",253.90,"2,280,135.10",294,-9.90,13.50,-3.90,5.70,0.89,0.00,0.00,367.50,220.10,05_30_2023
MKHC,-,239.20,247.80,231.50,235.00,236.85,"6,755.00",244.00,"1,599,894.00",210,-9.00,16.30,-3.69,7.04,-0.79,0.00,0.00,367.50,220.10,05_31_2023
MKHC,-,237.00,239.50,226.40,236.00,233.19,"10,112.00",235.00,"2,358,037.20",240,1.00,13.10,0.43,5.79,1.19,0.00,0.00,367.50,220.10,06_01_2023
MKHC,37.10,237.00,239.50,226.40,236.00,233.19,"10,112.00",235.00,"2,358,037.20",240,1.00,13.10,0.43,5.79,1.19,0.00,0.00,367.50,220.10,06_02_2023
MKHC,37.10,237.00,239.50,226.40,236.00,233.19,"10,112.00",235.00,"2,358,037.20",240,1.00,13.10,0.43,5.79,1.19,0.00,0.00,367.50,220.10,06_03_2023
MKHC,-,240.70,248.70,240.70,248.40,244.55,"13,843.00",236.00,"3,385,290.00",240,12.40,8.00,5.25,3.32,1.55,0.00,0.00,367.50,220.10,06_04_2023
MKHC,-,243.50,249.70,240.00,240.00,243.75,"20,075.00",248.40,"4,893,216.00",300,-8.40,9.70,-3.38,4.04,-1.56,0.00,0.00,367.50,220.10,06_05_2023
MKHC,-,237.00,252.90,237.00,251.90,245.58,"10,327.00",240.00,"2,536,156.10",332,11.90,15.90,4.96,6.71,2.51,0.00,0.00,367.50,220.10,06_06_2023
MKHC,-,247.00,260.00,246.90,252.00,256.11,"16,638.00",251.90,"4,261,097.80",375,0.10,13.10,0.04,5.31,-1.63,0.00,0.00,367.50,220.10,06_07_2023
MKHC,-,248.00,268.00,248.00,258.00,254.59,"18,122.00",252.00,"4,613,657.80",360,6.00,20.00,2.38,8.06,1.32,0.00,0.00,367.50,220.10,06_08_2023
MKHC,54.86,248.00,268.00,248.00,258.00,254.59,"18,122.00",252.00,"4,613,657.80",360,6.00,20.00,2.38,8.06,1.32,0.00,0.00,367.50,220.10,06_09_2023
MKHC,54.86,248.00,268.00,248.00,258.00,254.59,"18,122.00",252.00,"4,613,657.80",360,6.00,20.00,2.38,8.06,1.32,0.00,0.00,367.50,220.10,06_10_2023
MKHC,-,255.00,267.70,254.00,264.80,262.87,"20,489.00",258.00,"5,385,978.80",526,6.80,13.70,2.64,5.39,0.73,0.00,0.00,367.50,220.10,06_11_2023
