Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MKHL,0.00,335.00,335.00,301.50,301.50,302.50,"19,161.00",335.00,"5,796,244.50","1,299",-33.50,33.50,-10.00,11.11,-0.33,0.00,0.00,335.00,301.50,05_16_2023
MKHL,36.21,295.50,295.50,271.40,277.60,276.28,"62,750.00",301.50,"17,336,272.70","5,029",-23.90,24.10,-7.93,8.88,0.48,0.00,0.00,335.00,271.40,05_17_2023
MKHL,31.56,276.00,302.70,274.00,290.50,288.99,"18,197.00",277.60,"5,258,835.80","1,334",12.90,28.70,4.65,10.47,0.52,0.00,0.00,335.00,271.40,05_18_2023
MKHL,29.00,276.00,302.70,274.00,290.50,288.99,"18,197.00",277.60,"5,258,835.80","1,334",12.90,28.70,4.65,10.47,0.52,0.00,0.00,335.00,271.40,05_19_2023
MKHL,29.00,276.00,302.70,274.00,290.50,288.99,"18,197.00",277.60,"5,258,835.80","1,334",12.90,28.70,4.65,10.47,0.52,0.00,0.00,335.00,271.40,05_20_2023
MKHL,29.00,286.00,291.50,280.40,282.00,283.81,"18,536.00",290.50,"5,260,662.60",962,-8.50,11.10,-2.93,3.96,-0.64,0.00,0.00,335.00,271.40,05_21_2023
MKHL,28.41,277.00,285.00,275.30,280.00,279.47,"11,239.00",282.00,"3,140,959.00",687,-2.00,9.70,-0.71,3.52,0.19,0.00,0.00,335.00,271.40,05_22_2023
MKHL,28.31,280.00,292.50,279.00,290.00,287.95,"22,386.00",280.00,"6,446,054.30",618,10.00,13.50,3.57,4.84,0.71,0.00,0.00,335.00,271.40,05_23_2023
MKHL,50.81,290.00,290.00,281.00,286.00,285.34,"14,243.00",290.00,"4,064,143.00",461,-4.00,9.00,-1.38,3.20,0.23,0.00,0.00,335.00,271.40,05_24_2023
MKHL,40.46,290.00,290.00,281.00,286.00,285.34,"14,243.00",290.00,"4,064,143.00",461,-4.00,9.00,-1.38,3.20,0.23,0.00,0.00,335.00,271.40,05_25_2023
MKHL,40.46,290.00,290.00,281.00,286.00,285.34,"14,243.00",290.00,"4,064,143.00",461,-4.00,9.00,-1.38,3.20,0.23,0.00,0.00,335.00,271.40,05_26_2023
MKHL,40.46,290.00,290.00,281.00,286.00,285.34,"14,243.00",290.00,"4,064,143.00",461,-4.00,9.00,-1.38,3.20,0.23,0.00,0.00,335.00,271.40,05_27_2023
MKHL,43.21,282.10,300.00,282.10,289.00,293.28,"31,924.00",286.00,"9,362,520.00",907,3.00,17.90,1.05,6.35,-1.48,0.00,0.00,335.00,271.40,05_28_2023
MKHL,54.73,282.10,300.00,282.10,289.00,293.28,"31,924.00",286.00,"9,362,520.00",907,3.00,17.90,1.05,6.35,-1.48,0.00,0.00,335.00,271.40,05_29_2023
MKHL,55.03,283.30,294.00,280.00,280.00,285.96,"13,559.00",289.00,"3,877,347.00",532,-9.00,14.00,-3.11,5.00,-2.13,0.00,0.00,335.00,271.40,05_30_2023
MKHL,-,274.50,298.00,274.50,298.00,281.70,"21,106.00",280.00,"5,945,474.70",478,18.00,23.50,6.43,8.56,5.47,0.00,0.00,335.00,271.40,05_31_2023
MKHL,-,293.00,294.00,278.00,286.10,286.70,"8,660.00",298.00,"2,482,836.50",402,-11.90,16.00,-3.99,5.76,-0.21,0.00,0.00,335.00,271.40,06_01_2023
MKHL,44.44,293.00,294.00,278.00,286.10,286.70,"8,660.00",298.00,"2,482,836.50",402,-11.90,16.00,-3.99,5.76,-0.21,0.00,0.00,335.00,271.40,06_02_2023
MKHL,44.44,293.00,294.00,278.00,286.10,286.70,"8,660.00",298.00,"2,482,836.50",402,-11.90,16.00,-3.99,5.76,-0.21,0.00,0.00,335.00,271.40,06_03_2023
MKHL,-,281.00,302.00,281.00,298.80,293.03,"23,880.00",286.10,"6,997,577.80",478,12.70,21.00,4.44,7.47,1.93,0.00,0.00,335.00,271.40,06_04_2023
MKHL,-,295.00,301.00,290.00,297.00,295.84,"13,685.00",298.80,"4,048,619.40",528,-1.80,11.00,-0.60,3.79,0.39,0.00,0.00,335.00,271.40,06_05_2023
MKHL,-,291.10,307.00,286.60,301.00,300.09,"16,342.00",297.00,"4,904,069.50",624,4.00,20.40,1.35,7.12,0.30,0.00,0.00,335.00,271.40,06_06_2023
MKHL,-,300.00,315.00,299.00,302.00,306.66,"22,039.00",301.00,"6,758,418.80",689,1.00,16.00,0.33,5.35,-1.54,0.00,0.00,335.00,271.40,06_07_2023
MKHL,-,300.00,312.00,296.20,301.50,303.37,"23,283.00",302.00,"7,063,344.50",635,-0.50,15.80,-0.17,5.33,-0.62,0.00,0.00,335.00,271.40,06_08_2023
MKHL,43.52,300.00,312.00,296.20,301.50,303.37,"23,283.00",302.00,"7,063,344.50",635,-0.50,15.80,-0.17,5.33,-0.62,0.00,0.00,335.00,271.40,06_09_2023
MKHL,43.52,300.00,312.00,296.20,301.50,303.37,"23,283.00",302.00,"7,063,344.50",635,-0.50,15.80,-0.17,5.33,-0.62,0.00,0.00,335.00,271.40,06_10_2023
MKHL,-,300.00,309.00,300.00,308.00,303.85,"29,780.00",301.50,"9,048,653.00",832,6.50,9.00,2.16,3.00,1.35,0.00,0.00,335.00,271.40,06_11_2023
MKHL,-,308.00,316.00,304.00,311.00,308.73,"21,326.00",308.00,"6,583,936.20",668,3.00,12.00,0.97,3.95,0.73,0.00,0.00,335.00,271.40,06_12_2023
MKHL,-,316.90,322.30,305.10,318.90,316.72,"35,067.00",311.00,"11,106,546.90",820,7.90,17.20,2.54,5.64,0.68,0.00,0.00,335.00,271.40,06_13_2023
MKHL,-,318.90,328.40,308.00,321.90,320.07,"24,239.00",318.90,"7,758,240.00",720,3.00,20.40,0.94,6.62,0.57,0.00,0.00,335.00,271.40,06_14_2023
MKHL,-,315.60,321.80,307.10,311.00,312.61,"14,323.00",321.90,"4,477,503.00",491,-10.90,14.70,-3.39,4.79,-0.52,0.00,0.00,335.00,271.40,06_15_2023
MKHL,47.37,315.60,321.80,307.10,311.00,312.61,"14,323.00",321.90,"4,477,503.00",491,-10.90,14.70,-3.39,4.79,-0.52,0.00,0.00,335.00,271.40,06_16_2023
MKHL,47.37,315.60,321.80,307.10,311.00,312.61,"14,323.00",321.90,"4,477,503.00",491,-10.90,14.70,-3.39,4.79,-0.52,0.00,0.00,335.00,271.40,06_17_2023
MKHL,-,310.00,321.00,309.00,315.90,312.68,"14,045.00",311.00,"4,391,612.40",479,4.90,12.00,1.58,3.88,1.02,0.00,0.00,335.00,271.40,06_18_2023
MKHL,-,310.00,318.20,306.00,306.00,309.56,"16,070.00",315.90,"4,974,617.20",369,-9.90,12.20,-3.13,3.99,-1.16,0.00,0.00,335.00,271.40,06_19_2023
MKHL,-,302.00,310.00,296.10,300.00,303.05,"8,614.00",306.00,"2,610,481.80",276,-6.00,13.90,-1.96,4.69,-1.02,0.00,0.00,335.00,271.40,06_20_2023
MKHL,-,296.00,312.00,288.00,288.00,293.72,"30,703.00",300.00,"9,018,007.60",470,-12.00,24.00,-4.00,8.33,-1.99,0.00,0.00,335.00,271.40,06_21_2023
MKHL,-,282.30,293.60,282.30,289.80,286.02,"13,803.00",288.00,"3,947,873.90",372,1.80,11.30,0.63,4.00,1.31,0.00,0.00,335.00,271.40,06_22_2023
MKHL,38.23,282.30,293.60,282.30,289.80,286.02,"13,803.00",288.00,"3,947,873.90",372,1.80,11.30,0.63,4.00,1.31,0.00,0.00,335.00,271.40,06_23_2023
MKHL,38.23,282.30,293.60,282.30,289.80,286.02,"13,803.00",288.00,"3,947,873.90",372,1.80,11.30,0.63,4.00,1.31,0.00,0.00,335.00,271.40,06_24_2023
MKHL,-,289.70,306.00,281.00,304.00,288.84,"25,280.00",289.80,"7,301,983.70",555,14.20,25.00,4.90,8.90,4.99,0.00,0.00,335.00,271.40,06_25_2023
MKHL,-,301.00,315.90,301.00,314.00,308.41,"28,071.00",304.00,"8,657,356.80",670,10.00,14.90,3.29,4.95,1.78,0.00,0.00,335.00,271.40,06_26_2023
MKHL,-,317.29,317.29,302.50,315.00,308.50,"28,615.00",314.00,"8,827,619.70",612,1.00,14.79,0.32,4.89,2.06,0.00,0.00,335.00,271.40,06_27_2023
MKHL,-,309.00,312.20,300.00,312.20,305.87,"32,403.00",315.00,"9,911,185.90",477,-2.80,12.20,-0.89,4.07,2.03,0.00,0.00,335.00,271.40,06_28_2023
MKHL,59.27,309.00,312.20,300.00,312.20,305.87,"32,403.00",315.00,"9,911,185.90",477,-2.80,12.20,-0.89,4.07,2.03,0.00,0.00,335.00,271.40,06_29_2023
