Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MKJC,51.94,499.00,499.00,472.10,484.00,484.99,"5,963.00",490.00,"2,892,001.20",135,-6.00,26.90,-1.22,5.70,-0.20,-,-,541.20,186.50,11_03_2021
MKJC,51.31,499.00,499.00,472.10,484.00,484.99,"5,963.00",490.00,"2,892,001.20",135,-6.00,26.90,-1.22,5.70,-0.20,-,-,541.20,186.50,11_05_2021
MKJC,51.31,499.00,499.00,472.10,484.00,484.99,"5,963.00",490.00,"2,892,001.20",135,-6.00,26.90,-1.22,5.70,-0.20,-,-,541.20,186.50,11_06_2021
MKJC,51.31,499.00,499.00,472.10,484.00,484.99,"5,963.00",490.00,"2,892,001.20",135,-6.00,26.90,-1.22,5.70,-0.20,-,-,541.20,186.50,11_07_2021
MKJC,52.09,484.00,500.00,472.00,481.00,486.96,"4,543.00",484.00,"2,212,259.50",198,-3.00,28.00,-0.62,5.93,-1.24,-,-,541.20,186.50,11_08_2021
MKJC,50.77,472.00,477.00,456.20,470.00,465.52,"6,167.00",481.00,"2,870,880.00",267,-11.00,20.80,-2.29,4.56,0.95,-,-,541.20,186.50,11_09_2021
MKJC,53.36,472.00,477.00,456.20,470.00,465.52,"6,167.00",481.00,"2,870,880.00",267,-11.00,20.80,-2.29,4.56,0.95,-,-,541.20,186.50,11_10_2021
MKJC,51.31,460.60,460.60,442.00,450.00,446.54,"3,812.00",470.00,"1,702,212.00",196,-20.00,18.60,-4.26,4.21,0.77,-,-,541.20,186.50,11_11_2021
MKJC,46.50,460.60,460.60,442.00,450.00,446.54,"3,812.00",470.00,"1,702,212.00",196,-20.00,18.60,-4.26,4.21,0.77,-,-,541.20,186.50,11_12_2021
MKJC,46.50,460.60,460.60,442.00,450.00,446.54,"3,812.00",470.00,"1,702,212.00",196,-20.00,18.60,-4.26,4.21,0.77,-,-,541.20,186.50,11_13_2021
MKJC,44.45,459.00,459.00,416.00,437.00,437.29,"2,889.00",450.00,"1,263,337.70",222,-13.00,43.00,-2.89,10.34,-0.07,-,-,541.20,186.50,11_14_2021
MKJC,35.96,437.00,479.90,429.00,479.00,456.86,"10,219.00",437.00,"4,668,644.00",321,42.00,50.90,9.61,11.86,4.62,-,-,541.20,186.50,11_15_2021
MKJC,42.26,481.00,526.90,470.00,526.90,510.50,"20,389.00",479.00,"10,408,575.70",682,47.90,56.90,10.00,12.11,3.11,-,-,541.20,186.50,11_16_2021
MKJC,69.19,535.00,579.50,535.00,577.00,567.92,"18,598.00",526.90,"10,562,093.50",585,50.10,44.50,9.51,8.32,1.57,-,-,579.50,186.50,11_17_2021
