Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MKLB,58.60,448.40,457.30,448.40,457.30,452.85,20.00,439.70,"9,057.00",2,17.60,8.90,4.00,1.98,0.97,-,-,457.30,296.70,09_01_2021
MKLB,64.22,"1,985.00","1,985.00","1,900.00","1,970.00","1,941.21","4,546.00","1,950.00","8,824,745.00",120,20.00,85.00,1.03,4.47,1.46,-,-,"2,310.00",296.70,11_03_2021
MKLB,60.67,"1,985.00","1,985.00","1,900.00","1,970.00","1,941.21","4,546.00","1,950.00","8,824,745.00",120,20.00,85.00,1.03,4.47,1.46,-,-,"2,310.00",296.70,11_05_2021
MKLB,60.67,"1,985.00","1,985.00","1,900.00","1,970.00","1,941.21","4,546.00","1,950.00","8,824,745.00",120,20.00,85.00,1.03,4.47,1.46,-,-,"2,310.00",296.70,11_06_2021
MKLB,60.67,"1,985.00","1,985.00","1,900.00","1,970.00","1,941.21","4,546.00","1,950.00","8,824,745.00",120,20.00,85.00,1.03,4.47,1.46,-,-,"2,310.00",296.70,11_07_2021
MKLB,61.45,"1,950.00","1,950.00","1,895.20","1,929.00","1,911.66","1,360.00","1,970.00","2,599,864.00",82,-41.00,54.80,-2.08,2.89,0.90,-,-,"2,310.00",296.70,11_08_2021
MKLB,54.56,"1,891.00","1,942.30","1,830.00","1,907.40","1,899.08","3,831.00","1,929.00","7,275,378.00",122,-21.60,112.30,-1.12,6.14,0.44,-,-,"2,310.00",296.70,11_09_2021
MKLB,52.45,"1,891.00","1,942.30","1,830.00","1,907.40","1,899.08","3,831.00","1,929.00","7,275,378.00",122,-21.60,112.30,-1.12,6.14,0.44,-,-,"2,310.00",296.70,11_10_2021
MKLB,50.40,"1,870.00","1,951.00","1,819.00","1,819.00","1,858.45","1,705.00","1,907.40","3,168,661.00",115,-88.40,132.00,-4.63,7.26,-2.17,-,-,"2,310.00",296.70,11_11_2021
MKLB,41.57,"1,870.00","1,951.00","1,819.00","1,819.00","1,858.45","1,705.00","1,907.40","3,168,661.00",115,-88.40,132.00,-4.63,7.26,-2.17,-,-,"2,310.00",296.70,11_12_2021
MKLB,41.57,"1,870.00","1,951.00","1,819.00","1,819.00","1,858.45","1,705.00","1,907.40","3,168,661.00",115,-88.40,132.00,-4.63,7.26,-2.17,-,-,"2,310.00",296.70,11_13_2021
MKLB,39.52,"1,850.00","1,855.00","1,784.10","1,840.00","1,837.42","2,420.00","1,819.00","4,446,561.00",128,21.00,70.90,1.15,3.97,0.14,-,-,"2,310.00",296.70,11_14_2021
MKLB,41.93,"1,835.00","1,900.00","1,804.00","1,830.00","1,840.20","1,568.00","1,840.00","2,885,431.00",91,-10.00,96.00,-0.54,5.32,-0.56,-,-,"2,310.00",296.70,11_15_2021
MKLB,40.98,"1,793.40","1,866.60","1,793.40","1,829.00","1,836.30",780.00,"1,830.00","1,432,312.00",63,-1.00,73.20,-0.05,4.08,-0.40,-,-,"2,310.00",296.70,11_16_2021
MKLB,38.41,"1,840.00","1,877.80","1,815.10","1,839.00","1,843.05","1,365.00","1,829.00","2,515,765.00",99,10.00,62.70,0.55,3.45,-0.22,-,-,"2,310.00",296.70,11_17_2021
MKLB,57.23,"1,830.00","1,875.60","1,774.00","1,815.00","1,794.01","3,736.00","1,839.00","6,702,411.00",84,-24.00,101.60,-1.31,5.73,1.16,-,-,"2,310.00",296.70,11_18_2021
MKLB,45.16,"1,830.00","1,875.60","1,774.00","1,815.00","1,794.01","3,736.00","1,839.00","6,702,411.00",84,-24.00,101.60,-1.31,5.73,1.16,-,-,"2,310.00",296.70,11_19_2021
MKLB,45.16,"1,830.00","1,875.60","1,774.00","1,815.00","1,794.01","3,736.00","1,839.00","6,702,411.00",84,-24.00,101.60,-1.31,5.73,1.16,-,-,"2,310.00",296.70,11_20_2021
MKLB,40.46,"1,800.00","1,800.00","1,764.00","1,790.00","1,769.31","2,470.00","1,815.00","4,370,202.00",106,-25.00,36.00,-1.38,2.04,1.16,-,-,"2,310.00",296.70,11_21_2021
MKLB,40.50,"1,756.00","1,800.00","1,740.00","1,774.10","1,776.54",760.00,"1,790.00","1,350,171.00",68,-15.90,60.00,-0.89,3.45,-0.14,-,-,"2,310.00",296.70,11_22_2021
MKLB,36.82,"1,750.00","1,772.00","1,721.00","1,734.00","1,752.86","1,409.00","1,774.10","2,469,780.00",67,-40.10,51.00,-2.26,2.96,-1.09,-,-,"2,310.00",296.70,11_23_2021
MKLB,39.17,"1,699.40","1,804.30","1,699.00","1,785.00","1,738.17","2,225.00","1,734.00","3,867,418.50",99,51.00,105.30,2.94,6.20,2.62,-,-,"2,310.00",296.70,11_24_2021
MKLB,43.75,"1,750.00","1,774.00","1,735.00","1,773.00","1,739.02",900.00,"1,785.00","1,565,116.00",64,-12.00,39.00,-0.67,2.25,1.92,-,-,"2,310.00",296.70,11_25_2021
