Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MLBBL,43.71,"2,060.00","2,061.00","2,020.00","2,020.00","2,038.93","1,175.00","2,060.50","2,395,738.20",39,-40.50,41.00,-1.97,2.03,-0.94,"2,073.90","1,892.28","2,540.00",734.00,09_01_2021
MLBBL,49.77,"2,142.00","2,143.00","2,060.00","2,143.00","2,109.16","2,568.00","2,100.00","5,416,333.00",48,43.00,83.00,2.05,4.03,1.58,"2,130.86","2,007.85","2,540.00",788.00,11_03_2021
MLBBL,54.97,"2,142.00","2,143.00","2,060.00","2,143.00","2,109.16","2,568.00","2,100.00","5,416,333.00",48,43.00,83.00,2.05,4.03,1.58,"2,130.86","2,007.85","2,540.00",788.00,11_05_2021
MLBBL,54.97,"2,142.00","2,143.00","2,060.00","2,143.00","2,109.16","2,568.00","2,100.00","5,416,333.00",48,43.00,83.00,2.05,4.03,1.58,"2,130.86","2,007.85","2,540.00",788.00,11_06_2021
MLBBL,54.97,"2,142.00","2,143.00","2,060.00","2,143.00","2,109.16","2,568.00","2,100.00","5,416,333.00",48,43.00,83.00,2.05,4.03,1.58,"2,130.86","2,007.85","2,540.00",788.00,11_07_2021
MLBBL,55.76,"2,185.00","2,185.80","2,098.00","2,144.00","2,139.59","1,634.00","2,143.00","3,496,097.00",36,1.00,87.80,0.05,4.18,0.21,"2,132.20","2,009.67","2,540.00",827.00,11_08_2021
MLBBL,53.26,"2,150.00","2,150.00","1,985.00","1,985.00","2,028.64","4,277.00","2,144.00","8,676,508.00",81,-159.00,165.00,-7.42,8.31,-2.20,"2,132.50","2,009.61","2,540.00",909.00,11_09_2021
MLBBL,49.11,"2,150.00","2,150.00","1,985.00","1,985.00","2,028.64","4,277.00","2,144.00","8,676,508.00",81,-159.00,165.00,-7.42,8.31,-2.20,"2,132.50","2,009.61","2,540.00",909.00,11_10_2021
MLBBL,47.06,"1,950.00","2,024.00","1,946.00","1,958.00","1,966.48","1,809.00","1,985.00","3,557,357.90",42,-27.00,78.00,-1.36,4.01,-0.43,"2,132.25","2,009.44","2,540.00",912.00,11_11_2021
MLBBL,43.52,"1,950.00","2,024.00","1,946.00","1,958.00","1,966.48","1,809.00","1,985.00","3,557,357.90",42,-27.00,78.00,-1.36,4.01,-0.43,"2,132.25","2,009.44","2,540.00",912.00,11_12_2021
