Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MLBL,50.98,665.00,675.10,638.00,659.10,659.48,"168,856.00",660.00,"111,357,234.00",997,-0.90,37.10,-0.14,5.82,-0.06,398.57,357.30,777.00,190.00,09_01_2021
MLBL,67.04,744.00,803.00,720.00,803.00,733.60,"479,520.00",730.00,"351,773,848.30","1,681",73.00,83.00,10.00,11.53,8.64,503.92,432.97,803.00,225.00,11_03_2021
MLBL,65.86,744.00,803.00,720.00,803.00,733.60,"479,520.00",730.00,"351,773,848.30","1,681",73.00,83.00,10.00,11.53,8.64,503.92,432.97,803.00,225.00,11_05_2021
MLBL,65.86,744.00,803.00,720.00,803.00,733.60,"479,520.00",730.00,"351,773,848.30","1,681",73.00,83.00,10.00,11.53,8.64,503.92,432.97,803.00,225.00,11_06_2021
MLBL,65.86,744.00,803.00,720.00,803.00,733.60,"479,520.00",730.00,"351,773,848.30","1,681",73.00,83.00,10.00,11.53,8.64,503.92,432.97,803.00,225.00,11_07_2021
MLBL,66.65,787.00,883.00,740.80,882.00,767.73,"678,625.00",803.00,"521,003,590.90","2,279",79.00,142.20,9.84,19.20,12.96,508.93,436.29,883.00,225.00,11_08_2021
MLBL,66.60,864.40,864.40,793.80,793.80,794.49,"62,320.00",882.00,"49,512,565.90",297,-88.20,70.60,-10.00,8.89,-0.09,513.22,439.12,883.00,225.00,11_09_2021
MLBL,53.83,864.40,864.40,793.80,793.80,794.49,"62,320.00",882.00,"49,512,565.90",297,-88.20,70.60,-10.00,8.89,-0.09,513.22,439.12,883.00,225.00,11_10_2021
MLBL,51.78,809.00,809.00,714.50,714.50,723.75,"656,213.00",793.80,"474,934,521.50","2,484",-79.30,94.50,-9.99,13.23,-1.29,516.84,441.46,883.00,225.00,11_11_2021
MLBL,52.41,809.00,809.00,714.50,714.50,723.75,"656,213.00",793.80,"474,934,521.50","2,484",-79.30,94.50,-9.99,13.23,-1.29,516.84,441.46,883.00,225.00,11_12_2021
MLBL,52.41,809.00,809.00,714.50,714.50,723.75,"656,213.00",793.80,"474,934,521.50","2,484",-79.30,94.50,-9.99,13.23,-1.29,516.84,441.46,883.00,225.00,11_13_2021
MLBL,50.36,701.00,785.90,696.00,785.00,721.96,"379,514.00",714.50,"273,993,093.10","1,425",70.50,89.90,9.87,12.92,8.03,521.02,444.16,883.00,225.00,11_14_2021
MLBL,48.78,769.30,800.20,725.00,750.00,746.83,"474,864.00",785.00,"354,640,823.70","1,606",-35.00,75.20,-4.46,10.37,0.42,524.92,446.63,883.00,225.00,11_15_2021
MLBL,47.57,750.00,825.00,735.00,823.00,754.69,"493,830.00",750.00,"372,688,498.20","1,294",73.00,90.00,9.73,12.24,8.30,529.39,449.51,883.00,225.00,11_16_2021
MLBL,52.81,806.60,806.60,759.30,762.00,769.47,"501,124.00",823.00,"385,601,053.30","1,849",-61.00,47.30,-7.41,6.23,-0.98,533.21,452.08,883.00,225.00,11_17_2021
MLBL,54.52,746.90,838.00,740.00,740.00,760.72,"753,041.00",762.00,"572,850,358.00","1,686",-22.00,98.00,-2.89,13.24,-2.80,536.89,454.47,883.00,225.00,11_18_2021
MLBL,49.99,746.90,838.00,740.00,740.00,760.72,"753,041.00",762.00,"572,850,358.00","1,686",-22.00,98.00,-2.89,13.24,-2.80,536.89,454.47,883.00,225.00,11_19_2021
MLBL,49.99,746.90,838.00,740.00,740.00,760.72,"753,041.00",762.00,"572,850,358.00","1,686",-22.00,98.00,-2.89,13.24,-2.80,536.89,454.47,883.00,225.00,11_20_2021
MLBL,45.29,754.80,800.80,725.20,740.00,747.71,"682,071.00",740.00,"509,992,332.60","1,250",0.00,75.60,0.00,10.42,-1.04,540.51,456.83,883.00,225.00,11_21_2021
MLBL,48.31,754.00,765.00,740.00,740.00,744.54,"462,197.00",740.00,"344,125,502.50",837,0.00,25.00,0.00,3.38,-0.61,544.17,459.16,883.00,225.00,11_22_2021
MLBL,43.81,740.00,748.00,712.00,721.10,726.23,"143,579.00",740.00,"104,271,568.40",754,-18.90,36.00,-2.55,5.06,-0.71,547.59,461.37,883.00,225.00,11_23_2021
MLBL,41.30,707.00,730.00,705.10,717.00,714.83,"159,977.00",721.10,"114,356,094.60",668,-4.10,24.90,-0.57,3.53,0.30,550.72,463.59,883.00,225.00,11_24_2021
MLBL,42.49,713.00,729.00,699.00,703.00,713.11,"227,434.00",717.00,"162,184,710.00",688,-14.00,30.00,-1.95,4.29,-1.44,553.81,465.76,883.00,225.00,11_25_2021
MLBL,41.46,713.00,729.00,699.00,703.00,713.11,"227,434.00",717.00,"162,184,710.00",688,-14.00,30.00,-1.95,4.29,-1.44,553.81,465.76,883.00,225.00,11_26_2021
MLBL,41.46,713.00,729.00,699.00,703.00,713.11,"227,434.00",717.00,"162,184,710.00",688,-14.00,30.00,-1.95,4.29,-1.44,553.81,465.76,883.00,225.00,11_27_2021
MLBL,38.56,689.00,696.00,643.50,652.00,663.93,"449,129.00",703.00,"298,191,161.60","1,782",-51.00,52.50,-7.25,8.16,-1.83,556.53,467.65,883.00,225.00,11_28_2021
MLBL,46.11,665.00,691.80,605.30,617.40,643.18,"949,154.00",652.00,"610,475,340.30","4,206",-34.60,86.50,-5.31,14.29,-4.18,558.91,469.36,883.00,225.00,11_29_2021
MLBL,38.34,629.00,659.90,623.00,650.00,638.72,"219,049.00",617.40,"139,911,944.60","1,168",32.60,36.90,5.28,5.92,1.73,561.30,471.28,883.00,225.00,11_30_2021
