Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MLBLPO,53.70,315.00,315.00,315.00,315.00,315.00,"14,583.00",315.00,"4,593,645.00",4,0.00,0.00,0.00,0.00,0.00,-,-,315.00,109.00,12_27_2021
MLBLPO,43.39,229.00,229.00,229.00,229.00,229.00,"4,703.00",229.00,"1,076,987.00",1,0.00,0.00,0.00,0.00,0.00,-,-,315.00,220.00,04_13_2022
MLBLPO,40.58,229.00,229.00,229.00,229.00,229.00,"4,703.00",229.00,"1,076,987.00",1,0.00,0.00,0.00,0.00,0.00,-,-,315.00,220.00,04_14_2022
MLBLPO,40.58,229.00,229.00,229.00,229.00,229.00,"4,703.00",229.00,"1,076,987.00",1,0.00,0.00,0.00,0.00,0.00,-,-,315.00,220.00,04_15_2022
MLBLPO,40.58,229.00,229.00,229.00,229.00,229.00,"4,703.00",229.00,"1,076,987.00",1,0.00,0.00,0.00,0.00,0.00,-,-,315.00,220.00,04_16_2022
MLBLPO,43.64,211.00,211.00,211.00,211.00,211.00,940.00,211.00,"198,340.00",1,0.00,0.00,0.00,0.00,0.00,-,-,315.00,211.00,08_16_2022
MLBLPO,48.27,189.20,189.20,189.20,189.20,189.20,"7,746.00",193.00,"1,465,543.20",1,-3.80,0.00,-1.97,0.00,0.00,0.00,0.00,229.00,189.20,02_09_2023
MLBLPO,31.47,189.20,189.20,189.20,189.20,189.20,"7,746.00",193.00,"1,465,543.20",1,-3.80,0.00,-1.97,0.00,0.00,0.00,0.00,229.00,189.20,02_10_2023
MLBLPO,31.47,189.20,189.20,189.20,189.20,189.20,"7,746.00",193.00,"1,465,543.20",1,-3.80,0.00,-1.97,0.00,0.00,0.00,0.00,229.00,189.20,02_11_2023
MLBLPO,21.79,189.20,189.20,189.20,189.20,189.20,"25,000.00",189.20,"4,730,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.00,189.20,04_02_2023
MLBLPO,27.05,185.50,185.50,185.50,185.50,185.50,"2,003.00",189.20,"371,556.50",1,-3.70,0.00,-1.96,0.00,0.00,0.00,0.00,211.00,185.50,05_17_2023
MLBLPO,-,181.80,181.80,174.70,174.70,176.36,"189,277.00",185.50,"33,380,858.60",3,-10.80,7.10,-5.82,4.06,-0.95,0.00,0.00,211.00,174.70,06_15_2023
MLBLPO,44.49,181.80,181.80,174.70,174.70,176.36,"189,277.00",185.50,"33,380,858.60",3,-10.80,7.10,-5.82,4.06,-0.95,0.00,0.00,211.00,174.70,06_16_2023
MLBLPO,44.49,181.80,181.80,174.70,174.70,176.36,"189,277.00",185.50,"33,380,858.60",3,-10.80,7.10,-5.82,4.06,-0.95,0.00,0.00,211.00,174.70,06_17_2023
