Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MLBS,55.37,670.90,697.90,670.90,697.90,684.37,30.00,657.80,"20,531.00",3,40.10,27.00,6.10,4.02,1.94,-,-,697.90,397.50,11_03_2021
MLBS,57.21,670.90,697.90,670.90,697.90,684.37,30.00,657.80,"20,531.00",3,40.10,27.00,6.10,4.02,1.94,-,-,697.90,397.50,11_05_2021
MLBS,57.21,670.90,697.90,670.90,697.90,684.37,30.00,657.80,"20,531.00",3,40.10,27.00,6.10,4.02,1.94,-,-,697.90,397.50,11_06_2021
MLBS,57.21,670.90,697.90,670.90,697.90,684.37,30.00,657.80,"20,531.00",3,40.10,27.00,6.10,4.02,1.94,-,-,697.90,397.50,11_07_2021
MLBS,58.00,711.80,767.60,711.80,767.60,746.97,79.00,697.90,"59,010.60",9,69.70,55.80,9.99,7.84,2.69,-,-,767.60,397.50,11_08_2021
MLBS,63.11,782.90,844.30,782.90,844.30,819.17,60.00,767.60,"49,150.00",6,76.70,61.40,9.99,7.84,2.98,-,-,844.30,397.50,11_09_2021
MLBS,58.12,782.90,844.30,782.90,844.30,819.17,60.00,767.60,"49,150.00",6,76.70,61.40,9.99,7.84,2.98,-,-,844.30,397.50,11_10_2021
MLBS,56.07,861.10,928.70,861.10,928.70,895.55,60.00,844.30,"53,733.00",7,84.40,67.60,10.00,7.85,3.57,-,-,928.70,397.50,11_11_2021
MLBS,56.58,861.10,928.70,861.10,928.70,895.55,60.00,844.30,"53,733.00",7,84.40,67.60,10.00,7.85,3.57,-,-,928.70,397.50,11_12_2021
MLBS,56.58,861.10,928.70,861.10,928.70,895.55,60.00,844.30,"53,733.00",7,84.40,67.60,10.00,7.85,3.57,-,-,928.70,397.50,11_13_2021
MLBS,54.53,947.20,"1,021.50",947.20,"1,021.50","1,001.41",100.00,928.70,"100,141.00",11,92.80,74.30,9.99,7.84,1.97,-,-,"1,021.50",397.50,11_14_2021
MLBS,58.41,"1,041.90","1,123.60","1,041.90","1,123.60","1,090.20",60.00,"1,021.50","65,412.00",6,102.10,81.70,10.00,7.84,2.97,-,-,"1,123.60",397.50,11_15_2021
MLBS,54.75,"1,146.00","1,235.90","1,146.00","1,235.90","1,191.80",50.00,"1,123.60","59,590.00",5,112.30,89.90,9.99,7.84,3.57,-,-,"1,235.90",397.50,11_16_2021
MLBS,52.80,"1,260.60","1,359.40","1,260.60","1,359.40","1,324.18",101.00,"1,235.90","133,741.90",15,123.50,98.80,9.99,7.84,2.59,-,-,"1,359.40",397.50,11_17_2021
MLBS,56.11,"1,386.50","1,495.30","1,386.50","1,495.30","1,471.54",189.00,"1,359.40","278,121.50",23,135.90,108.80,10.00,7.85,1.59,-,-,"1,495.30",397.50,11_18_2021
MLBS,56.99,"1,386.50","1,495.30","1,386.50","1,495.30","1,471.54",189.00,"1,359.40","278,121.50",23,135.90,108.80,10.00,7.85,1.59,-,-,"1,495.30",397.50,11_19_2021
MLBS,56.99,"1,386.50","1,495.30","1,386.50","1,495.30","1,471.54",189.00,"1,359.40","278,121.50",23,135.90,108.80,10.00,7.85,1.59,-,-,"1,495.30",397.50,11_20_2021
MLBS,52.29,"1,525.20","1,644.80","1,525.20","1,644.80","1,636.88",370.00,"1,495.30","605,646.00",37,149.50,119.60,10.00,7.84,0.48,-,-,"1,644.80",397.50,11_21_2021
MLBS,53.44,"1,677.00","1,809.20","1,677.00","1,809.20","1,805.59",900.00,"1,644.80","1,625,029.00",90,164.40,132.20,10.00,7.88,0.20,-,-,"1,809.20",397.50,11_22_2021
MLBS,54.15,"1,845.30","1,990.10","1,845.30","1,990.10","1,987.39","1,310.00","1,809.20","2,603,479.00",134,180.90,144.80,10.00,7.85,0.14,-,-,"1,990.10",397.50,11_23_2021
MLBS,54.29,"2,029.90","2,189.10","1,985.00","1,999.00","2,073.70","26,187.00","1,990.10","54,303,912.60","2,116",8.90,204.10,0.45,10.28,-3.74,-,-,"2,189.10",397.50,11_24_2021
MLBS,55.34,"2,005.00","2,005.00","1,851.00","1,860.50","1,875.71","10,621.00","1,999.00","19,921,909.00",952,-138.50,154.00,-6.93,8.32,-0.82,-,-,"2,189.10",397.50,11_25_2021
