Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MLBSL,49.01,"4,804.00","4,804.00","4,650.00","4,650.00","4,696.13","3,124.00","4,711.00","14,670,710.00",109,-61.00,154.00,-1.29,3.31,-0.99,-,-,"5,749.00",438.00,09_01_2021
MLBSL,48.58,"5,200.00","5,200.00","5,101.00","5,130.00","5,149.88","1,176.00","5,150.00","6,056,256.10",67,-20.00,99.00,-0.39,1.94,-0.39,"4,814.93",-,"5,749.00",438.00,11_03_2021
MLBSL,46.43,"5,200.00","5,200.00","5,101.00","5,130.00","5,149.88","1,176.00","5,150.00","6,056,256.10",67,-20.00,99.00,-0.39,1.94,-0.39,"4,814.93",-,"5,749.00",438.00,11_05_2021
MLBSL,46.43,"5,200.00","5,200.00","5,101.00","5,130.00","5,149.88","1,176.00","5,150.00","6,056,256.10",67,-20.00,99.00,-0.39,1.94,-0.39,"4,814.93",-,"5,749.00",438.00,11_06_2021
MLBSL,46.43,"5,200.00","5,200.00","5,101.00","5,130.00","5,149.88","1,176.00","5,150.00","6,056,256.10",67,-20.00,99.00,-0.39,1.94,-0.39,"4,814.93",-,"5,749.00",438.00,11_07_2021
MLBSL,47.21,"5,150.00","5,300.00","5,150.00","5,180.00","5,197.35","1,985.00","5,130.00","10,316,744.00",98,50.00,150.00,0.97,2.91,-0.33,"4,816.18",-,"5,749.00",438.00,11_08_2021
MLBSL,51.48,"5,151.00","5,220.00","5,100.00","5,118.00","5,135.45","2,853.00","5,180.00","14,651,436.00",136,-62.00,120.00,-1.20,2.35,-0.34,"4,821.11",-,"5,749.00",438.00,11_09_2021
MLBSL,50.09,"5,151.00","5,220.00","5,100.00","5,118.00","5,135.45","2,853.00","5,180.00","14,651,436.00",136,-62.00,120.00,-1.20,2.35,-0.34,"4,821.11",-,"5,749.00",438.00,11_10_2021
MLBSL,48.04,"5,100.00","5,150.00","5,020.00","5,025.00","5,094.20","1,560.00","5,118.00","7,946,950.50",94,-93.00,130.00,-1.82,2.59,-1.38,"4,823.82",-,"5,749.00",438.00,11_11_2021
MLBSL,40.88,"5,100.00","5,150.00","5,020.00","5,025.00","5,094.20","1,560.00","5,118.00","7,946,950.50",94,-93.00,130.00,-1.82,2.59,-1.38,"4,823.82",-,"5,749.00",438.00,11_12_2021
MLBSL,40.88,"5,100.00","5,150.00","5,020.00","5,025.00","5,094.20","1,560.00","5,118.00","7,946,950.50",94,-93.00,130.00,-1.82,2.59,-1.38,"4,823.82",-,"5,749.00",438.00,11_13_2021
MLBSL,38.83,"5,025.00","5,100.00","5,000.00","5,040.00","5,050.53","1,488.00","5,025.00","7,515,185.00",79,15.00,100.00,0.30,2.00,-0.21,"4,826.44",-,"5,749.00",438.00,11_14_2021
MLBSL,39.63,"5,040.00","5,103.00","5,000.00","5,103.00","5,045.14","1,262.00","5,040.00","6,366,964.00",65,63.00,103.00,1.25,2.06,1.13,"4,830.05",-,"5,749.00",438.00,11_15_2021
MLBSL,43.29,"5,110.00","5,200.00","5,083.00","5,192.00","5,163.10","2,118.00","5,103.00","10,935,446.00",128,89.00,117.00,1.74,2.30,0.56,"4,835.11",-,"5,749.00",438.00,11_16_2021
MLBSL,59.70,"5,295.80","5,300.00","5,217.00","5,245.00","5,266.76","5,242.00","5,192.00","27,608,369.30",239,53.00,83.00,1.02,1.59,-0.41,"4,840.01",-,"5,749.00",438.00,11_17_2021
