Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MMF1,0.00,10.00,10.00,9.50,9.66,9.64,"62,154.00",0.00,"599,211.48",114,9.66,0.50,0.00,5.26,0.20,-,-,10.00,9.50,11_18_2021
MMF1,52.80,10.00,10.00,9.50,9.66,9.64,"62,154.00",0.00,"599,211.48",114,9.66,0.50,0.00,5.26,0.20,-,-,10.00,9.50,11_19_2021
MMF1,52.80,10.00,10.00,9.50,9.66,9.64,"62,154.00",0.00,"599,211.48",114,9.66,0.50,0.00,5.26,0.20,-,-,10.00,9.50,11_20_2021
MMF1,48.10,9.50,9.85,9.34,9.70,9.56,"53,970.00",9.66,"515,826.50",96,0.04,0.51,0.41,5.46,1.47,-,-,10.00,9.34,11_21_2021
MMF1,57.48,9.89,10.28,9.60,9.61,9.77,"39,350.00",9.70,"384,268.00",72,-0.09,0.68,-0.93,7.08,-1.62,-,-,10.28,9.34,11_22_2021
MMF1,40.82,9.61,9.67,9.46,9.67,9.54,"23,150.00",9.61,"220,834.50",63,0.06,0.21,0.62,2.22,1.35,-,-,10.28,9.34,11_23_2021
MMF1,56.44,9.48,9.64,9.45,9.64,9.50,"29,960.00",9.67,"284,481.60",50,-0.03,0.19,-0.31,2.01,1.50,-,-,10.28,9.34,11_24_2021
MMF1,42.36,9.45,9.71,9.30,9.70,9.53,"38,910.00",9.64,"370,871.50",64,0.06,0.41,0.62,4.41,1.74,-,-,10.28,9.30,11_25_2021
MMF1,47.99,9.45,9.71,9.30,9.70,9.53,"38,910.00",9.64,"370,871.50",64,0.06,0.41,0.62,4.41,1.74,-,-,10.28,9.30,11_26_2021
MMF1,47.99,9.45,9.71,9.30,9.70,9.53,"38,910.00",9.64,"370,871.50",64,0.06,0.41,0.62,4.41,1.74,-,-,10.28,9.30,11_27_2021
MMF1,45.09,9.51,9.55,9.32,9.55,9.39,"22,700.00",9.70,"213,157.00",47,-0.15,0.23,-1.55,2.47,1.67,-,-,10.28,9.30,11_28_2021
MMF1,41.56,9.36,9.50,9.11,9.36,9.31,"27,571.00",9.55,"256,549.40",69,-0.19,0.39,-1.99,4.28,0.59,-,-,10.28,9.11,11_29_2021
MMF1,38.96,9.21,9.48,9.21,9.40,9.32,"11,700.00",9.36,"109,076.00",33,0.04,0.27,0.43,2.93,0.82,-,-,10.28,9.11,11_30_2021
MMF1,35.27,9.40,9.58,9.20,9.30,9.31,"30,549.00",9.40,"284,405.62",55,-0.10,0.38,-1.06,4.13,-0.11,-,-,10.28,9.11,12_01_2021
MMF1,39.52,9.20,9.38,9.20,9.23,9.24,"35,100.00",9.30,"324,414.00",38,-0.07,0.18,-0.75,1.96,-0.14,-,-,10.28,9.11,12_02_2021
MMF1,39.43,9.20,9.38,9.20,9.23,9.24,"35,100.00",9.30,"324,414.00",38,-0.07,0.18,-0.75,1.96,-0.14,-,-,10.28,9.11,12_03_2021
MMF1,39.43,9.20,9.38,9.20,9.23,9.24,"35,100.00",9.30,"324,414.00",38,-0.07,0.18,-0.75,1.96,-0.14,-,-,10.28,9.11,12_04_2021
MMF1,38.53,9.15,9.25,9.10,9.15,9.14,"45,600.00",9.23,"416,820.00",44,-0.08,0.15,-0.87,1.65,0.10,-,-,10.28,9.10,12_05_2021
MMF1,43.19,9.10,9.20,8.95,9.10,9.12,"32,950.00",9.15,"300,551.30",53,-0.05,0.25,-0.55,2.79,-0.24,-,-,10.28,8.95,12_06_2021
MMF1,39.98,9.00,9.18,9.00,9.15,9.13,"35,030.00",9.10,"319,957.30",40,0.05,0.18,0.55,2.00,0.18,-,-,10.28,8.95,12_07_2021
MMF1,43.90,9.15,9.30,9.00,9.00,9.11,"43,700.00",9.15,"397,932.20",48,-0.15,0.30,-1.64,3.33,-1.18,-,-,10.28,8.95,12_08_2021
MMF1,42.61,8.91,9.30,8.91,9.03,9.10,"9,600.00",9.00,"87,370.00",24,0.03,0.39,0.33,4.38,-0.79,-,-,10.28,8.91,12_09_2021
MMF1,39.20,8.91,9.30,8.91,9.03,9.10,"9,600.00",9.00,"87,370.00",24,0.03,0.39,0.33,4.38,-0.79,-,-,10.28,8.91,12_10_2021
MMF1,39.20,8.91,9.30,8.91,9.03,9.10,"9,600.00",9.00,"87,370.00",24,0.03,0.39,0.33,4.38,-0.79,-,-,10.28,8.91,12_11_2021
MMF1,38.55,9.01,9.19,8.90,8.97,9.07,"13,610.00",9.03,"123,408.00",40,-0.06,0.29,-0.66,3.26,-1.09,-,-,10.28,8.90,12_12_2021
MMF1,36.76,8.80,8.90,8.70,8.80,8.77,"24,361.00",8.97,"213,619.90",40,-0.17,0.20,-1.90,2.30,0.35,-,-,10.28,8.70,12_13_2021
MMF1,36.73,8.65,8.97,8.65,8.95,8.84,"17,650.00",8.80,"156,018.50",16,0.15,0.32,1.70,3.70,1.23,-,-,10.28,8.65,12_14_2021
MMF1,43.46,8.80,9.00,8.80,8.96,8.97,"32,200.00",8.95,"288,974.00",35,0.01,0.20,0.11,2.27,-0.16,-,-,10.28,8.65,12_15_2021
MMF1,43.68,9.00,9.07,8.86,8.90,8.94,"19,009.00",8.96,"169,934.53",30,-0.06,0.21,-0.67,2.37,-0.45,-,-,10.28,8.65,12_16_2021
MMF1,41.59,9.00,9.07,8.86,8.90,8.94,"19,009.00",8.96,"169,934.53",30,-0.06,0.21,-0.67,2.37,-0.45,-,-,10.28,8.65,12_17_2021
MMF1,41.59,9.00,9.07,8.86,8.90,8.94,"19,009.00",8.96,"169,934.53",30,-0.06,0.21,-0.67,2.37,-0.45,-,-,10.28,8.65,12_18_2021
MMF1,41.59,9.00,9.07,8.86,8.90,8.94,"19,009.00",8.96,"169,934.53",30,-0.06,0.21,-0.67,2.37,-0.45,-,-,10.28,8.65,12_19_2021
MMF1,38.90,8.73,8.97,8.63,8.72,8.79,"10,550.00",8.90,"92,712.95",43,-0.18,0.34,-2.02,3.94,-0.78,-,-,10.28,8.63,12_20_2021
MMF1,37.48,8.70,9.00,8.58,8.90,8.84,"11,900.00",8.72,"105,172.00",30,0.18,0.42,2.06,4.90,0.70,-,-,10.28,8.58,12_21_2021
MMF1,42.39,8.80,9.25,8.74,9.00,8.93,"34,235.00",8.90,"305,587.85",43,0.10,0.51,1.12,5.84,0.82,-,-,10.28,8.58,12_22_2021
