Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MMFDBP,46.52,586.00,586.00,586.00,586.00,586.00,"9,000.00",586.00,"5,274,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,906.00,525.00,12_26_2021
MMFDBP,41.69,586.00,586.00,586.00,586.00,586.00,"3,500.00",586.00,"2,051,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,906.00,525.00,12_27_2021
MMFDBP,40.94,586.00,586.00,586.00,586.00,586.00,"19,868.00",586.00,"11,642,648.00",8,0.00,0.00,0.00,0.00,0.00,-,-,906.00,525.00,01_02_2022
MMFDBP,34.61,576.00,576.00,576.00,576.00,576.00,"10,000.00",586.00,"5,760,000.00",1,-10.00,0.00,-1.71,0.00,0.00,-,-,586.00,561.00,09_15_2022
MMFDBP,24.50,576.00,576.00,576.00,576.00,576.00,"10,000.00",576.00,"5,760,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,586.00,561.00,09_27_2022
MMFDBP,31.41,483.00,483.00,483.00,483.00,483.00,"1,046.00",483.00,"505,218.00",2,0.00,0.00,0.00,0.00,0.00,-,-,586.00,483.00,12_13_2022
MMFDBP,21.52,483.00,483.00,483.00,483.00,483.00,"24,000.00",483.00,"11,592,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,586.00,483.00,12_19_2022
MMFDBP,36.05,483.00,483.00,483.00,483.00,483.00,"4,289.00",483.00,"2,071,587.00",5,0.00,0.00,0.00,0.00,0.00,-,-,586.00,483.00,12_28_2022
MMFDBP,-,359.00,359.00,359.00,359.00,359.00,"1,869.00",359.00,"670,971.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,576.00,359.00,06_21_2023
MMFDBP,-,359.00,359.00,359.00,359.00,359.00,"36,331.00",359.00,"13,042,829.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,576.00,359.00,06_28_2023
MMFDBP,42.52,359.00,359.00,359.00,359.00,359.00,"36,331.00",359.00,"13,042,829.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,576.00,359.00,06_29_2023
