Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MNBBL,50.58,755.00,770.00,740.00,740.20,751.58,"140,658.00",748.00,"105,715,368.00","1,126",-7.80,30.00,-1.04,4.05,-1.54,559.91,501.67,850.00,315.00,09_01_2021
MNBBL,63.28,767.00,767.00,744.00,744.00,751.92,"66,013.00",752.00,"49,636,571.10",477,-8.00,23.00,-1.06,3.09,-1.06,655.40,574.02,850.00,315.00,11_03_2021
MNBBL,59.27,767.00,767.00,744.00,744.00,751.92,"66,013.00",752.00,"49,636,571.10",477,-8.00,23.00,-1.06,3.09,-1.06,655.40,574.02,850.00,315.00,11_05_2021
MNBBL,59.27,767.00,767.00,744.00,744.00,751.92,"66,013.00",752.00,"49,636,571.10",477,-8.00,23.00,-1.06,3.09,-1.06,655.40,574.02,850.00,315.00,11_06_2021
MNBBL,59.27,767.00,767.00,744.00,744.00,751.92,"66,013.00",752.00,"49,636,571.10",477,-8.00,23.00,-1.06,3.09,-1.06,655.40,574.02,850.00,315.00,11_07_2021
MNBBL,60.06,746.00,748.00,732.00,732.00,738.32,"31,754.00",744.00,"23,444,721.40",316,-12.00,16.00,-1.61,2.19,-0.86,657.95,575.94,850.00,315.00,11_08_2021
MNBBL,52.07,730.00,735.00,704.00,708.00,711.76,"100,145.00",732.00,"71,278,810.90",887,-24.00,31.00,-3.28,4.40,-0.53,660.32,577.72,850.00,315.00,11_09_2021
MNBBL,50.07,730.00,735.00,704.00,708.00,711.76,"100,145.00",732.00,"71,278,810.90",887,-24.00,31.00,-3.28,4.40,-0.53,660.32,577.72,850.00,315.00,11_10_2021
MNBBL,48.02,705.00,705.00,681.00,688.00,693.28,"83,884.00",708.00,"58,154,812.60",690,-20.00,24.00,-2.82,3.52,-0.77,662.48,579.32,850.00,315.00,11_11_2021
MNBBL,46.40,705.00,705.00,681.00,688.00,693.28,"83,884.00",708.00,"58,154,812.60",690,-20.00,24.00,-2.82,3.52,-0.77,662.48,579.32,850.00,315.00,11_12_2021
MNBBL,46.40,705.00,705.00,681.00,688.00,693.28,"83,884.00",708.00,"58,154,812.60",690,-20.00,24.00,-2.82,3.52,-0.77,662.48,579.32,850.00,315.00,11_13_2021
MNBBL,44.35,692.00,714.00,679.00,705.00,699.25,"56,570.00",688.00,"39,556,739.80",498,17.00,35.00,2.47,5.15,0.82,664.77,581.00,850.00,315.00,11_14_2021
MNBBL,43.07,718.00,730.00,708.00,725.00,721.28,"69,051.00",705.00,"49,805,442.20",471,20.00,22.00,2.84,3.11,0.51,667.23,582.77,850.00,315.00,11_15_2021
MNBBL,45.74,736.90,736.90,713.50,729.00,725.01,"53,416.00",725.00,"38,727,219.80",415,4.00,23.40,0.55,3.28,0.55,669.66,584.59,850.00,315.00,11_16_2021
MNBBL,55.76,729.00,741.00,725.00,727.00,733.43,"92,039.00",729.00,"67,504,029.90",547,-2.00,16.00,-0.27,2.21,-0.88,671.99,586.40,850.00,315.00,11_17_2021
MNBBL,62.48,725.00,733.00,715.00,715.90,718.48,"63,986.00",727.00,"45,972,926.60",388,-11.10,18.00,-1.53,2.52,-0.36,674.23,588.12,850.00,315.00,11_18_2021
MNBBL,51.87,725.00,733.00,715.00,715.90,718.48,"63,986.00",727.00,"45,972,926.60",388,-11.10,18.00,-1.53,2.52,-0.36,674.23,588.12,850.00,315.00,11_19_2021
MNBBL,51.87,725.00,733.00,715.00,715.90,718.48,"63,986.00",727.00,"45,972,926.60",388,-11.10,18.00,-1.53,2.52,-0.36,674.23,588.12,850.00,315.00,11_20_2021
MNBBL,47.17,715.90,727.00,712.00,714.00,714.93,"27,797.00",715.90,"19,872,789.60",258,-1.90,15.00,-0.27,2.11,-0.13,676.39,589.79,850.00,315.00,11_21_2021
MNBBL,39.20,728.00,728.00,707.10,711.00,712.16,"53,642.00",714.00,"38,201,625.00",361,-3.00,20.90,-0.42,2.96,-0.16,678.55,591.46,850.00,315.00,11_22_2021
MNBBL,40.90,711.00,714.00,696.00,699.00,702.07,"54,959.00",711.00,"38,584,914.80",495,-12.00,18.00,-1.69,2.59,-0.44,680.54,593.05,850.00,315.00,11_23_2021
MNBBL,41.24,699.00,711.00,685.00,704.00,700.38,"56,649.00",699.00,"39,675,687.50",414,5.00,26.00,0.72,3.80,0.51,682.27,594.55,850.00,315.00,11_24_2021
MNBBL,42.99,711.00,715.00,694.00,695.00,699.25,"49,431.00",704.00,"34,564,452.00",347,-9.00,21.00,-1.28,3.03,-0.61,683.99,596.05,850.00,315.00,11_25_2021
MNBBL,42.42,711.00,715.00,694.00,695.00,699.25,"49,431.00",704.00,"34,564,452.00",347,-9.00,21.00,-1.28,3.03,-0.61,683.99,596.05,850.00,315.00,11_26_2021
MNBBL,42.42,711.00,715.00,694.00,695.00,699.25,"49,431.00",704.00,"34,564,452.00",347,-9.00,21.00,-1.28,3.03,-0.61,683.99,596.05,850.00,315.00,11_27_2021
MNBBL,39.52,687.00,697.00,666.00,672.00,674.91,"96,723.00",695.00,"65,279,535.10",789,-23.00,31.00,-3.31,4.65,-0.43,685.59,597.46,850.00,315.00,11_28_2021
MNBBL,42.71,685.00,690.00,661.00,666.00,670.97,"77,069.00",672.00,"51,711,345.00",543,-6.00,29.00,-0.89,4.39,-0.75,687.01,598.81,850.00,315.00,11_29_2021
MNBBL,42.25,678.00,680.00,666.10,672.10,673.14,"111,407.00",666.00,"74,992,392.70","1,026",6.10,13.90,0.92,2.09,-0.15,688.21,600.22,850.00,315.00,11_30_2021
MNBBL,42.31,569.70,575.00,557.00,558.00,565.82,"111,382.00",571.64,"63,021,769.50",826,-13.64,18.00,-2.39,3.23,-1.40,688.57,601.09,850.00,315.00,12_01_2021
MNBBL,42.11,555.00,561.00,527.00,533.00,541.38,"71,321.00",558.00,"38,611,583.80",718,-25.00,34.00,-4.48,6.45,-1.57,688.76,601.79,850.00,315.00,12_02_2021
MNBBL,38.94,555.00,561.00,527.00,533.00,541.38,"71,321.00",558.00,"38,611,583.80",718,-25.00,34.00,-4.48,6.45,-1.57,688.76,601.79,850.00,315.00,12_03_2021
MNBBL,38.94,555.00,561.00,527.00,533.00,541.38,"71,321.00",558.00,"38,611,583.80",718,-25.00,34.00,-4.48,6.45,-1.57,688.76,601.79,850.00,315.00,12_04_2021
MNBBL,38.04,532.00,532.00,500.00,500.00,510.11,"93,752.00",533.00,"47,823,706.90",834,-33.00,32.00,-6.19,6.40,-2.02,688.46,602.37,850.00,315.00,12_05_2021
MNBBL,37.48,500.00,515.00,480.00,510.00,496.83,"91,114.00",500.00,"45,268,284.40",764,10.00,35.00,2.00,7.29,2.58,688.00,603.03,850.00,315.00,12_06_2021
MNBBL,38.49,520.00,534.00,505.00,507.00,521.60,"64,020.00",510.00,"33,393,028.20",742,-3.00,29.00,-0.59,5.74,-2.88,687.30,603.62,850.00,315.00,12_07_2021
MNBBL,43.69,505.00,512.00,492.00,493.50,499.34,"46,602.00",507.00,"23,270,245.70",468,-13.50,20.00,-2.66,4.07,-1.18,686.17,604.13,850.00,315.00,12_08_2021
MNBBL,41.42,494.00,500.80,484.00,493.00,492.62,"42,832.00",493.50,"21,100,028.80",442,-0.50,16.80,-0.10,3.47,0.08,684.50,604.67,850.00,315.00,12_09_2021
MNBBL,43.55,494.00,500.80,484.00,493.00,492.62,"42,832.00",493.50,"21,100,028.80",442,-0.50,16.80,-0.10,3.47,0.08,684.50,604.67,850.00,315.00,12_10_2021
MNBBL,43.55,494.00,500.80,484.00,493.00,492.62,"42,832.00",493.50,"21,100,028.80",442,-0.50,16.80,-0.10,3.47,0.08,684.50,604.67,850.00,315.00,12_11_2021
MNBBL,42.90,495.00,495.00,460.00,460.00,476.51,"63,414.00",493.00,"30,217,565.10",597,-33.00,35.00,-6.69,7.61,-3.59,682.77,605.03,850.00,315.00,12_12_2021
MNBBL,38.69,450.80,468.00,430.00,447.00,450.08,"82,877.00",460.00,"37,301,252.60",647,-13.00,38.00,-2.83,8.84,-0.69,680.89,605.36,850.00,315.00,12_13_2021
MNBBL,41.46,453.90,484.00,450.00,484.00,466.94,"30,276.00",447.00,"14,137,201.10",275,37.00,34.00,8.28,7.56,3.52,678.90,605.91,850.00,315.00,12_14_2021
MNBBL,42.90,493.00,523.00,476.00,495.00,500.71,"98,353.00",484.00,"49,246,668.60",892,11.00,47.00,2.27,9.87,-1.15,677.03,606.52,850.00,315.00,12_15_2021
MNBBL,47.25,503.00,503.00,480.00,484.00,484.74,"37,932.00",495.00,"18,387,013.80",321,-11.00,23.00,-2.22,4.79,-0.15,675.26,607.03,850.00,315.00,12_16_2021
MNBBL,45.63,503.00,503.00,480.00,484.00,484.74,"37,932.00",495.00,"18,387,013.80",321,-11.00,23.00,-2.22,4.79,-0.15,675.26,607.03,850.00,315.00,12_17_2021
MNBBL,45.63,503.00,503.00,480.00,484.00,484.74,"37,932.00",495.00,"18,387,013.80",321,-11.00,23.00,-2.22,4.79,-0.15,675.26,607.03,850.00,315.00,12_18_2021
MNBBL,45.63,503.00,503.00,480.00,484.00,484.74,"37,932.00",495.00,"18,387,013.80",321,-11.00,23.00,-2.22,4.79,-0.15,675.26,607.03,850.00,315.00,12_19_2021
MNBBL,42.94,493.60,493.60,463.00,470.70,474.48,"25,936.00",484.00,"12,306,223.50",285,-13.30,30.60,-2.75,6.61,-0.80,673.60,607.50,850.00,315.00,12_20_2021
MNBBL,41.94,480.00,487.30,472.00,485.00,479.76,"24,016.00",470.70,"11,522,000.40",236,14.30,15.30,3.04,3.24,1.08,671.94,607.99,850.00,315.00,12_21_2021
MNBBL,43.03,494.70,507.00,490.00,503.50,500.10,"52,433.00",485.00,"26,221,640.00",462,18.50,17.00,3.81,3.47,0.68,670.68,608.59,850.00,315.00,12_22_2021
MNBBL,47.30,513.50,513.50,490.00,499.00,501.34,"57,937.00",503.50,"29,046,424.80",466,-4.50,23.50,-0.89,4.80,-0.47,669.64,609.16,850.00,315.00,12_23_2021
MNBBL,51.35,513.50,513.50,490.00,499.00,501.34,"57,937.00",503.50,"29,046,424.80",466,-4.50,23.50,-0.89,4.80,-0.47,669.64,609.16,850.00,315.00,12_24_2021
MNBBL,51.35,513.50,513.50,490.00,499.00,501.34,"57,937.00",503.50,"29,046,424.80",466,-4.50,23.50,-0.89,4.80,-0.47,669.64,609.16,850.00,315.00,12_25_2021
MNBBL,49.72,507.90,515.00,500.00,509.00,509.19,"68,510.00",499.00,"34,884,342.50",444,10.00,15.00,2.00,3.00,-0.04,668.38,609.76,850.00,315.00,12_26_2021
MNBBL,53.30,512.00,513.00,492.10,493.00,501.07,"80,363.00",509.00,"40,267,597.00",449,-16.00,20.90,-3.14,4.25,-1.64,667.20,610.30,850.00,315.00,12_27_2021
MNBBL,51.36,502.80,502.80,484.20,497.00,492.38,"30,685.00",493.00,"15,108,567.30",316,4.00,18.60,0.81,3.84,0.93,666.14,610.86,850.00,315.00,12_28_2021
MNBBL,44.11,498.00,502.00,494.00,495.00,496.45,"17,723.00",497.00,"8,798,662.50",185,-2.00,8.00,-0.40,1.62,-0.29,665.10,611.40,850.00,315.00,12_29_2021
MNBBL,44.47,498.00,502.00,494.00,495.00,496.45,"17,723.00",497.00,"8,798,662.50",185,-2.00,8.00,-0.40,1.62,-0.29,665.10,611.40,850.00,315.00,12_30_2021
MNBBL,44.47,498.00,502.00,494.00,495.00,496.45,"17,723.00",497.00,"8,798,662.50",185,-2.00,8.00,-0.40,1.62,-0.29,665.10,611.40,850.00,315.00,12_31_2021
