Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MNBBLP,51.28,220.00,220.00,220.00,220.00,220.00,"98,150.00",220.00,"21,593,000.00",3,0.00,0.00,0.00,0.00,0.00,280.77,-,341.00,182.00,11_15_2021
MNBBLP,49.91,220.00,220.00,220.00,220.00,220.00,"29,447.00",220.00,"6,478,340.00",1,0.00,0.00,0.00,0.00,0.00,280.27,-,341.00,182.00,11_17_2021
MNBBLP,45.98,224.00,231.50,224.00,231.50,229.85,"35,609.00",220.00,"8,184,733.50",3,11.50,7.50,5.23,3.35,0.71,279.86,-,341.00,182.00,11_18_2021
MNBBLP,52.03,224.00,231.50,224.00,231.50,229.85,"35,609.00",220.00,"8,184,733.50",3,11.50,7.50,5.23,3.35,0.71,279.86,-,341.00,182.00,11_19_2021
MNBBLP,52.03,224.00,231.50,224.00,231.50,229.85,"35,609.00",220.00,"8,184,733.50",3,11.50,7.50,5.23,3.35,0.71,279.86,-,341.00,182.00,11_20_2021
MNBBLP,48.78,231.50,231.50,231.50,231.50,231.50,"6,000.00",231.50,"1,389,000.00",3,0.00,0.00,0.00,0.00,0.00,279.42,-,341.00,182.00,11_28_2021
MNBBLP,52.86,231.50,231.50,231.50,231.50,231.50,"2,000.00",231.50,"463,000.00",1,0.00,0.00,0.00,0.00,0.00,278.97,-,341.00,182.00,11_29_2021
MNBBLP,50.41,231.50,231.50,231.50,231.50,231.50,"8,000.00",231.50,"1,852,000.00",1,0.00,0.00,0.00,0.00,0.00,278.53,-,341.00,182.00,11_30_2021
MNBBLP,51.56,232.00,232.00,232.00,232.00,232.00,"14,818.00",231.50,"3,437,776.00",1,0.50,0.00,0.22,0.00,0.00,276.38,-,341.00,216.00,01_09_2022
MNBBLP,36.86,280.00,280.00,280.00,280.00,280.00,"8,000.00",280.00,"2,240,000.00",1,0.00,0.00,0.00,0.00,0.00,274.70,-,341.00,216.00,03_27_2022
MNBBLP,48.31,275.00,275.00,275.00,275.00,275.00,"50,000.00",280.00,"13,750,000.00",1,-5.00,0.00,-1.79,0.00,0.00,272.98,-,341.00,216.00,03_30_2022
MNBBLP,45.04,237.00,237.00,237.00,237.00,237.00,"42,000.00",237.00,"9,954,000.00",4,0.00,0.00,0.00,0.00,0.00,270.95,-,341.00,216.00,07_13_2022
MNBBLP,41.91,237.00,237.00,237.00,237.00,237.00,"3,549.00",237.00,"841,113.00",1,0.00,0.00,0.00,0.00,0.00,268.92,-,341.00,216.00,08_07_2022
MNBBLP,34.30,237.00,237.00,237.00,237.00,237.00,"10,000.00",237.00,"2,370,000.00",1,0.00,0.00,0.00,0.00,0.00,266.81,-,341.00,216.00,08_11_2022
