Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MSLB,48.55,"2,113.00","2,154.90","2,085.60","2,125.00","2,114.39","1,839.00","2,140.00","3,888,356.40",45,-15.00,69.30,-0.70,3.32,0.50,"2,253.11","2,156.06","3,131.00",912.00,09_01_2021
MSLB,59.13,"2,184.00","2,200.00","2,141.00","2,199.00","2,170.75",732.00,"2,184.60","1,588,992.00",27,14.40,59.00,0.66,2.76,1.28,"2,135.73","2,226.56","3,131.00",912.00,11_03_2021
MSLB,59.23,"2,184.00","2,200.00","2,141.00","2,199.00","2,170.75",732.00,"2,184.60","1,588,992.00",27,14.40,59.00,0.66,2.76,1.28,"2,135.73","2,226.56","3,131.00",912.00,11_05_2021
MSLB,59.23,"2,184.00","2,200.00","2,141.00","2,199.00","2,170.75",732.00,"2,184.60","1,588,992.00",27,14.40,59.00,0.66,2.76,1.28,"2,135.73","2,226.56","3,131.00",912.00,11_06_2021
MSLB,59.23,"2,184.00","2,200.00","2,141.00","2,199.00","2,170.75",732.00,"2,184.60","1,588,992.00",27,14.40,59.00,0.66,2.76,1.28,"2,135.73","2,226.56","3,131.00",912.00,11_07_2021
MSLB,60.02,"2,190.00","2,190.00","2,132.00","2,150.00","2,159.54",853.00,"2,199.00","1,842,090.00",39,-49.00,58.00,-2.23,2.72,-0.44,"2,134.99","2,224.12","3,131.00",912.00,11_08_2021
MSLB,50.16,"2,110.00","2,130.00","2,009.00","2,040.00","2,049.72","2,020.00","2,150.00","4,140,439.50",50,-110.00,121.00,-5.12,6.02,-0.48,"2,133.33","2,219.64","3,131.00",912.00,11_09_2021
MSLB,50.25,"2,110.00","2,130.00","2,009.00","2,040.00","2,049.72","2,020.00","2,150.00","4,140,439.50",50,-110.00,121.00,-5.12,6.02,-0.48,"2,133.33","2,219.64","3,131.00",912.00,11_10_2021
MSLB,48.20,"2,000.00","2,000.10","1,933.00","1,950.00","1,958.87","2,882.00","2,040.00","5,645,457.40",62,-90.00,67.10,-4.41,3.47,-0.45,"2,130.89","2,214.73","3,131.00",912.00,11_11_2021
MSLB,47.90,"2,000.00","2,000.10","1,933.00","1,950.00","1,958.87","2,882.00","2,040.00","5,645,457.40",62,-90.00,67.10,-4.41,3.47,-0.45,"2,130.89","2,214.73","3,131.00",912.00,11_12_2021
MSLB,47.90,"2,000.00","2,000.10","1,933.00","1,950.00","1,958.87","2,882.00","2,040.00","5,645,457.40",62,-90.00,67.10,-4.41,3.47,-0.45,"2,130.89","2,214.73","3,131.00",912.00,11_13_2021
MSLB,45.85,"1,920.00","1,931.00","1,895.00","1,931.00","1,911.09",820.00,"1,950.00","1,567,092.20",41,-19.00,36.00,-0.97,1.90,1.03,"2,127.98","2,210.01","3,131.00",912.00,11_14_2021
MSLB,41.73,"1,950.00","1,989.00","1,900.00","1,910.00","1,914.55","1,160.00","1,931.00","2,220,873.80",39,-21.00,89.00,-1.09,4.68,-0.24,"2,124.98","2,205.34","3,131.00",912.00,11_15_2021
MSLB,44.11,"1,910.00","2,031.80","1,900.00","2,031.80","1,934.59",849.00,"1,910.00","1,642,463.90",42,121.80,131.80,6.38,6.94,4.78,"2,123.00","2,201.88","3,131.00",912.00,11_16_2021
MSLB,45.68,"2,072.40","2,072.40","1,991.00","2,009.90","2,005.30","1,104.00","2,031.80","2,213,853.80",42,-21.90,81.40,-1.08,4.09,0.23,"2,120.56","2,198.89","3,131.00",912.00,11_17_2021
MSLB,59.98,"2,000.00","2,000.00","1,937.00","1,950.00","1,963.33",682.00,"2,009.90","1,338,991.50",29,-59.90,63.00,-2.98,3.25,-0.68,"2,117.56","2,194.15","3,131.00",912.00,11_18_2021
MSLB,48.40,"2,000.00","2,000.00","1,937.00","1,950.00","1,963.33",682.00,"2,009.90","1,338,991.50",29,-59.90,63.00,-2.98,3.25,-0.68,"2,117.56","2,194.15","3,131.00",912.00,11_19_2021
MSLB,48.40,"2,000.00","2,000.00","1,937.00","1,950.00","1,963.33",682.00,"2,009.90","1,338,991.50",29,-59.90,63.00,-2.98,3.25,-0.68,"2,117.56","2,194.15","3,131.00",912.00,11_20_2021
MSLB,43.70,"1,989.00","1,989.00","1,915.00","1,915.00","1,934.23",708.00,"1,950.00","1,369,436.00",20,-35.00,74.00,-1.79,3.86,-1.00,"2,114.02","2,189.95","3,131.00",912.00,11_21_2021
MSLB,55.09,"1,953.30","1,953.30","1,915.00","1,930.00","1,934.59",403.00,"1,915.00","779,639.70",19,15.00,38.30,0.78,2.00,-0.24,"2,110.60","2,185.90","3,131.00",912.00,11_22_2021
MSLB,37.42,"1,900.00","1,938.00","1,885.00","1,915.00","1,907.72","1,180.00","1,930.00","2,251,109.00",37,-15.00,53.00,-0.78,2.81,0.38,"2,107.26","2,182.07","3,131.00",912.00,11_23_2021
MSLB,42.98,"1,914.00","1,937.00","1,880.00","1,937.00","1,908.69",776.00,"1,915.00","1,481,146.00",26,22.00,57.00,1.15,3.03,1.46,"2,104.07","2,178.63","3,131.00",912.00,11_24_2021
MSLB,41.83,"1,945.00","1,949.00","1,905.00","1,910.00","1,917.24",536.00,"1,937.00","1,027,641.60",14,-27.00,44.00,-1.39,2.31,-0.38,"2,100.68","2,175.47","3,131.00",912.00,11_25_2021
MSLB,50.73,"1,945.00","1,949.00","1,905.00","1,910.00","1,917.24",536.00,"1,937.00","1,027,641.60",14,-27.00,44.00,-1.39,2.31,-0.38,"2,100.68","2,175.47","3,131.00",912.00,11_26_2021
MSLB,50.73,"1,945.00","1,949.00","1,905.00","1,910.00","1,917.24",536.00,"1,937.00","1,027,641.60",14,-27.00,44.00,-1.39,2.31,-0.38,"2,100.68","2,175.47","3,131.00",912.00,11_27_2021
MSLB,47.83,"1,872.00","1,909.00","1,840.10","1,840.20","1,864.16",536.00,"1,910.00","999,190.20",23,-69.80,68.90,-3.65,3.74,-1.30,"2,096.97","2,171.80","3,131.00",912.00,11_28_2021
MSLB,37.62,"1,870.00","1,870.00","1,807.00","1,807.00","1,824.81",682.00,"1,840.20","1,244,518.70",15,-33.20,63.00,-1.80,3.49,-0.99,"2,093.04","2,167.67","3,131.00",912.00,11_29_2021
