Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MSLBP,39.80,"1,073.00","1,073.00","1,073.00","1,073.00",840.61,"4,730.00","1,073.00","3,976,086.00",15,0.00,0.00,0.00,0.00,21.66,-,-,"1,370.00","1,073.00",11_11_2021
MSLBP,49.27,"1,073.00","1,073.00","1,073.00","1,073.00",840.61,"4,730.00","1,073.00","3,976,086.00",15,0.00,0.00,0.00,0.00,21.66,-,-,"1,370.00","1,073.00",11_12_2021
MSLBP,49.27,"1,073.00","1,073.00","1,073.00","1,073.00",840.61,"4,730.00","1,073.00","3,976,086.00",15,0.00,0.00,0.00,0.00,21.66,-,-,"1,370.00","1,073.00",11_13_2021
MSLBP,54.99,"1,073.00","1,073.00","1,073.00","1,073.00",756.85,"56,270.00","1,073.00","42,587,850.00",9,0.00,0.00,0.00,0.00,29.46,-,-,"1,370.00","1,073.00",01_19_2022
MSLBP,39.89,"1,073.00","1,073.00","1,073.00","1,073.00",614.29,"3,500.00","1,073.00","2,150,000.00",3,0.00,0.00,0.00,0.00,42.75,-,-,"1,370.00","1,073.00",03_06_2022
MSLBP,48.02,"1,073.00","1,073.00","1,073.00","1,073.00",100.00,946.00,"1,073.00","94,600.00",14,0.00,0.00,0.00,0.00,90.68,-,-,"1,210.00","1,073.00",03_24_2022
MSLBP,48.02,"1,073.00","1,073.00","1,073.00","1,073.00",100.00,946.00,"1,073.00","94,600.00",14,0.00,0.00,0.00,0.00,90.68,-,-,"1,210.00","1,073.00",03_24_2022
MSLBP,45.37,"1,073.00","1,073.00","1,073.00","1,073.00",100.00,946.00,"1,073.00","94,600.00",14,0.00,0.00,0.00,0.00,90.68,-,-,"1,210.00","1,073.00",03_25_2022
MSLBP,45.37,"1,073.00","1,073.00","1,073.00","1,073.00",100.00,946.00,"1,073.00","94,600.00",14,0.00,0.00,0.00,0.00,90.68,-,-,"1,210.00","1,073.00",03_26_2022
MSLBP,36.63,560.00,560.00,560.00,560.00,560.00,"3,024.00",560.00,"1,693,440.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,210.00",560.00,06_08_2022
MSLBP,28.09,560.00,560.00,560.00,560.00,560.00,"11,400.00",560.00,"6,384,000.00",3,0.00,0.00,0.00,0.00,0.00,-,-,"1,210.00",560.00,06_09_2022
MSLBP,27.34,560.00,560.00,560.00,560.00,640.00,"9,000.00",560.00,"5,760,000.00",3,0.00,0.00,0.00,0.00,-14.29,-,-,"1,210.00",560.00,06_21_2022
MSLBP,27.79,560.00,560.00,560.00,560.00,560.00,"7,000.00",560.00,"3,920,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,210.00",560.00,06_22_2022
MSLBP,35.24,560.00,560.00,560.00,560.00,560.00,"3,000.00",560.00,"1,680,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,210.00",560.00,07_06_2022
MSLBP,37.19,560.00,560.00,560.00,560.00,100.00,"14,630.00",560.00,"1,463,000.00",9,0.00,0.00,0.00,0.00,82.14,-,-,"1,210.00",560.00,07_20_2022
MSLBP,46.21,541.00,541.00,541.00,541.00,541.00,"1,000.00",560.00,"541,000.00",2,-19.00,0.00,-3.39,0.00,0.00,-,-,"1,073.00",541.00,11_08_2022
MSLBP,34.85,541.00,541.00,541.00,541.00,541.00,"1,000.00",541.00,"541,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,073.00",541.00,11_14_2022
MSLBP,37.64,541.00,541.00,541.00,541.00,100.00,25.00,541.00,"2,500.00",1,0.00,0.00,0.00,0.00,81.52,-,-,"1,073.00",541.00,11_22_2022
MSLBP,31.08,381.00,381.00,381.00,381.00,381.00,25.00,381.00,"9,525.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,560.00,381.00,05_02_2023
MSLBP,-,388.00,388.00,388.00,388.00,388.00,"3,591.00",381.00,"1,393,308.00",1,7.00,0.00,1.84,0.00,0.00,0.00,0.00,560.00,381.00,06_27_2023
