Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NABBCP,-,274.00,274.00,274.00,274.00,274.00,"17,286.00",274.00,"4,736,364.00",2,0.00,0.00,0.00,0.00,0.00,-,-,274.00,274.00,03_10_2022
NABBCP,40.15,274.00,274.00,274.00,274.00,274.00,"17,286.00",274.00,"4,736,364.00",2,0.00,0.00,0.00,0.00,0.00,-,-,274.00,274.00,03_11_2022
NABBCP,40.15,274.00,274.00,274.00,274.00,274.00,"17,286.00",274.00,"4,736,364.00",2,0.00,0.00,0.00,0.00,0.00,-,-,274.00,274.00,03_12_2022
NABBCP,37.34,229.00,229.00,229.00,229.00,229.00,200.00,229.00,"45,800.00",1,0.00,0.00,0.00,0.00,0.00,-,-,274.00,229.00,06_10_2022
NABBCP,22.21,229.00,229.00,229.00,229.00,229.00,200.00,229.00,"45,800.00",1,0.00,0.00,0.00,0.00,0.00,-,-,274.00,229.00,06_11_2022
NABBCP,22.21,229.00,229.00,229.00,229.00,229.00,200.00,229.00,"45,800.00",1,0.00,0.00,0.00,0.00,0.00,-,-,274.00,229.00,06_12_2022
NABBCP,26.87,202.00,202.00,202.00,202.00,202.00,"20,165.00",202.00,"4,073,330.00",2,0.00,0.00,0.00,0.00,0.00,-,-,274.00,202.00,12_01_2022
NABBCP,34.46,202.00,202.00,202.00,202.00,202.00,"20,165.00",202.00,"4,073,330.00",2,0.00,0.00,0.00,0.00,0.00,-,-,274.00,202.00,12_02_2022
NABBCP,34.46,202.00,202.00,202.00,202.00,202.00,"20,165.00",202.00,"4,073,330.00",2,0.00,0.00,0.00,0.00,0.00,-,-,274.00,202.00,12_03_2022
NABBCP,35.78,202.00,202.00,202.00,202.00,202.00,"75,335.00",202.00,"15,217,670.00",2,0.00,0.00,0.00,0.00,0.00,-,-,274.00,202.00,12_04_2022
NABBCP,41.97,202.00,202.00,202.00,202.00,202.00,"22,814.00",202.00,"4,608,428.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,274.00,202.00,01_31_2023
NABBCP,28.60,217.00,217.00,217.00,217.00,217.00,"18,000.00",217.00,"3,906,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.00,202.00,04_27_2023
NABBCP,34.20,217.00,217.00,217.00,217.00,217.00,"18,000.00",217.00,"3,906,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.00,202.00,04_28_2023
NABBCP,34.20,217.00,217.00,217.00,217.00,217.00,"18,000.00",217.00,"3,906,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.00,202.00,04_29_2023
NABBCP,34.32,217.00,217.00,217.00,217.00,217.00,"28,000.00",217.00,"6,076,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.00,202.00,05_02_2023
NABBCP,-,217.00,217.00,217.00,217.00,217.00,"20,000.00",217.00,"4,340,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,217.00,202.00,06_18_2023
