Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NABIL,46.91,"1,435.00","1,446.00","1,408.00","1,420.00","1,423.02","124,665.00","1,419.00","177,400,692.50","1,762",1.00,38.00,0.07,2.70,-0.21,"1,338.17","1,295.99","1,560.00",817.00,09_01_2021
NABIL,53.87,"1,640.10","1,740.00","1,640.10","1,653.00","1,672.44","705,430.00","1,608.00","1,179,786,179.70","7,483",45.00,99.90,2.80,6.09,-1.18,"1,399.79","1,358.36","1,740.00",858.00,11_03_2021
NABIL,60.78,"1,640.10","1,740.00","1,640.10","1,653.00","1,672.44","705,430.00","1,608.00","1,179,786,179.70","7,483",45.00,99.90,2.80,6.09,-1.18,"1,399.79","1,358.36","1,740.00",858.00,11_05_2021
NABIL,60.78,"1,640.10","1,740.00","1,640.10","1,653.00","1,672.44","705,430.00","1,608.00","1,179,786,179.70","7,483",45.00,99.90,2.80,6.09,-1.18,"1,399.79","1,358.36","1,740.00",858.00,11_06_2021
NABIL,60.78,"1,640.10","1,740.00","1,640.10","1,653.00","1,672.44","705,430.00","1,608.00","1,179,786,179.70","7,483",45.00,99.90,2.80,6.09,-1.18,"1,399.79","1,358.36","1,740.00",858.00,11_07_2021
NABIL,61.57,"1,660.00","1,660.00","1,605.00","1,614.70","1,622.22","186,984.00","1,653.00","303,329,062.30","2,738",-38.30,55.00,-2.32,3.43,-0.47,"1,402.70","1,361.13","1,740.00",858.00,11_08_2021
NABIL,57.36,"1,614.70","1,614.70","1,570.00","1,579.00","1,583.81","188,332.00","1,614.70","298,281,752.50","2,924",-35.70,44.70,-2.21,2.85,-0.30,"1,405.37","1,363.71","1,740.00",858.00,11_09_2021
NABIL,48.96,"1,614.70","1,614.70","1,570.00","1,579.00","1,583.81","188,332.00","1,614.70","298,281,752.50","2,924",-35.70,44.70,-2.21,2.85,-0.30,"1,405.37","1,363.71","1,740.00",858.00,11_10_2021
NABIL,46.91,"1,579.00","1,580.00","1,540.00","1,550.00","1,554.82","199,932.00","1,579.00","310,857,416.40","2,636",-29.00,40.00,-1.84,2.60,-0.31,"1,407.78","1,365.85","1,740.00",872.00,11_11_2021
NABIL,46.02,"1,579.00","1,580.00","1,540.00","1,550.00","1,554.82","199,932.00","1,579.00","310,857,416.40","2,636",-29.00,40.00,-1.84,2.60,-0.31,"1,407.78","1,365.85","1,740.00",872.00,11_12_2021
NABIL,46.02,"1,579.00","1,580.00","1,540.00","1,550.00","1,554.82","199,932.00","1,579.00","310,857,416.40","2,636",-29.00,40.00,-1.84,2.60,-0.31,"1,407.78","1,365.85","1,740.00",872.00,11_13_2021
NABIL,43.97,"1,570.00","1,575.00","1,540.00","1,548.00","1,550.01","107,590.00","1,550.00","166,765,368.90","1,561",-2.00,35.00,-0.13,2.27,-0.13,"1,410.14","1,368.01","1,740.00",888.00,11_14_2021
NABIL,43.19,"1,552.00","1,576.00","1,540.00","1,540.00","1,550.88","104,146.00","1,548.00","161,517,790.60","1,537",-8.00,36.00,-0.52,2.34,-0.71,"1,412.46","1,370.03","1,740.00",888.00,11_15_2021
NABIL,42.59,"1,550.00","1,565.00","1,546.10","1,559.00","1,556.23","74,044.00","1,540.00","115,229,721.70","1,164",19.00,18.90,1.23,1.22,0.18,"1,414.89","1,371.95","1,740.00",888.00,11_16_2021
NABIL,41.81,"1,570.00","1,570.00","1,548.00","1,556.00","1,556.95","99,187.00","1,559.00","154,429,470.80","1,323",-3.00,22.00,-0.19,1.42,-0.06,"1,417.13","1,373.81","1,740.00",888.00,11_17_2021
NABIL,47.17,"1,587.10","1,587.10","1,546.00","1,547.00","1,549.56","89,460.00","1,556.00","138,623,591.70","1,234",-9.00,41.10,-0.58,2.66,-0.17,"1,419.12","1,375.07","1,740.00",888.00,11_18_2021
NABIL,45.89,"1,587.10","1,587.10","1,546.00","1,547.00","1,549.56","89,460.00","1,556.00","138,623,591.70","1,234",-9.00,41.10,-0.58,2.66,-0.17,"1,419.12","1,375.07","1,740.00",888.00,11_19_2021
NABIL,45.89,"1,587.10","1,587.10","1,546.00","1,547.00","1,549.56","89,460.00","1,556.00","138,623,591.70","1,234",-9.00,41.10,-0.58,2.66,-0.17,"1,419.12","1,375.07","1,740.00",888.00,11_20_2021
NABIL,41.19,"1,560.00","1,565.00","1,538.00","1,544.00","1,546.46","75,509.00","1,547.00","116,771,963.40","1,112",-3.00,27.00,-0.19,1.76,-0.16,"1,421.08","1,376.06","1,740.00",920.00,11_21_2021
NABIL,42.64,"1,544.00","1,554.90","1,540.00","1,546.00","1,546.17","80,745.00","1,544.00","124,845,767.50","1,007",2.00,14.90,0.13,0.97,-0.01,"1,423.12","1,376.92","1,740.00",920.00,11_22_2021
