Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NADEP,43.70,883.10,883.10,779.30,779.30,830.86,"1,984.00",865.83,"1,648,424.50",62,-86.53,103.80,-9.99,13.32,-6.62,742.69,716.65,883.10,779.30,12_07_2022
NADEP,20.86,883.10,883.10,779.30,779.30,830.86,"1,984.00",865.83,"1,648,424.50",62,-86.53,103.80,-9.99,13.32,-6.62,742.69,716.65,883.10,779.30,12_08_2022
NADEP,20.86,883.10,883.10,779.30,779.30,830.86,"1,984.00",865.83,"1,648,424.50",62,-86.53,103.80,-9.99,13.32,-6.62,742.69,716.65,883.10,779.30,12_09_2022
NADEP,20.86,883.10,883.10,779.30,779.30,830.86,"1,984.00",865.83,"1,648,424.50",62,-86.53,103.80,-9.99,13.32,-6.62,742.69,716.65,883.10,779.30,12_10_2022
NADEP,22.27,785.00,785.00,701.40,701.40,702.61,"6,092.00",779.30,"4,280,324.70",91,-77.90,83.60,-10.00,11.92,-0.17,743.62,717.57,883.10,701.40,12_11_2022
NADEP,24.88,687.40,694.00,650.00,692.80,680.34,"24,561.00",701.40,"16,709,898.70",250,-8.60,44.00,-1.23,6.77,1.80,744.45,718.35,883.10,650.00,12_12_2022
NADEP,29.91,693.00,702.00,678.50,678.80,685.29,"1,987.00",692.80,"1,361,668.00",60,-14.00,23.50,-2.02,3.46,-0.96,745.05,718.85,883.10,650.00,12_13_2022
NADEP,21.53,674.00,683.00,667.10,677.00,672.64,"4,152.00",678.80,"2,792,785.90",83,-1.80,15.90,-0.27,2.38,0.64,745.19,719.19,883.10,650.00,12_14_2022
NADEP,25.47,665.30,690.00,662.10,673.00,668.51,"4,949.00",677.00,"3,308,476.90",91,-4.00,27.90,-0.59,4.21,0.67,745.08,719.49,883.10,650.00,12_15_2022
NADEP,31.51,665.30,690.00,662.10,673.00,668.51,"4,949.00",677.00,"3,308,476.90",91,-4.00,27.90,-0.59,4.21,0.67,745.08,719.49,883.10,650.00,12_16_2022
