Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NBBD2085,54.87,"1,078.00","1,078.00","1,078.00","1,078.00","1,078.00",500.00,"1,100.00","539,000.00",2,-22.00,0.00,-2.00,0.00,0.00,-,-,"1,145.00","1,020.00",01_05_2022
NBBD2085,45.66,"1,056.50","1,056.50","1,040.00","1,040.00","1,049.17",90.00,"1,078.00","94,425.00",3,-38.00,16.50,-3.53,1.59,-0.88,-,-,"1,145.00","1,020.00",01_06_2022
NBBD2085,40.50,"1,056.50","1,056.50","1,040.00","1,040.00","1,049.17",90.00,"1,078.00","94,425.00",3,-38.00,16.50,-3.53,1.59,-0.88,-,-,"1,145.00","1,020.00",01_07_2022
NBBD2085,40.50,"1,056.50","1,056.50","1,040.00","1,040.00","1,049.17",90.00,"1,078.00","94,425.00",3,-38.00,16.50,-3.53,1.59,-0.88,-,-,"1,145.00","1,020.00",01_08_2022
NBBD2085,40.98,"1,050.00","1,055.00","1,050.00","1,055.00","1,051.67",90.00,"1,040.00","94,650.00",2,15.00,5.00,1.44,0.48,0.32,-,-,"1,145.00","1,020.00",01_09_2022
NBBD2085,44.33,"1,076.00","1,076.00","1,076.00","1,076.00","1,076.00",551.00,"1,055.00","592,876.00",1,21.00,0.00,1.99,0.00,0.00,-,-,"1,145.00","1,020.00",01_11_2022
NBBD2085,52.17,"1,076.00","1,076.00","1,076.00","1,076.00","1,076.00",50.00,"1,076.00","53,800.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,145.00","1,020.00",01_12_2022
NBBD2085,29.67,"1,069.00","1,069.00","1,069.00","1,069.00","1,069.00",25.00,"1,076.00","26,725.00",1,-7.00,0.00,-0.65,0.00,0.00,-,-,"1,145.00","1,040.00",05_18_2022
NBBD2085,42.05,"1,047.70","1,047.70","1,047.70","1,047.70","1,047.70",25.00,"1,069.00","26,192.50",1,-21.30,0.00,-1.99,0.00,0.00,0.00,0.00,"1,069.00","1,047.70",03_01_2023
NBBD2085,25.86,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",100.00,"1,010.00","101,000.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,069.00","1,010.00",04_24_2023
NBBD2085,29.39,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",25.00,"1,010.00","25,250.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,069.00","1,010.00",04_26_2023
NBBD2085,25.29,990.00,990.00,970.20,970.20,982.58,40.00,"1,010.00","39,303.00",2,-39.80,19.80,-3.94,2.04,-1.28,0.00,0.00,"1,047.70",970.20,05_21_2023
NBBD2085,-,989.60,"1,009.30",989.60,"1,009.30",994.53,40.00,970.20,"39,781.00",2,39.10,19.70,4.03,1.99,1.46,0.00,0.00,"1,047.70",970.20,06_12_2023
NBBD2085,-,"1,004.00","1,049.90","1,004.00","1,049.90","1,019.44",390.00,"1,009.30","397,581.00",5,40.60,45.90,4.02,4.57,2.90,0.00,0.00,"1,049.90",970.20,06_18_2023
