Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NBL,46.76,530.90,530.90,517.00,520.00,522.86,"346,589.00",520.50,"181,218,636.40","2,328",-0.50,13.90,-0.10,2.69,-0.55,453.98,433.11,575.00,286.00,09_01_2021
NBL,47.30,479.40,484.00,470.00,473.00,474.52,"128,371.00",470.00,"60,914,394.60",919,3.00,14.00,0.64,2.98,-0.32,472.13,458.81,575.00,326.00,11_03_2021
NBL,52.34,479.40,484.00,470.00,473.00,474.52,"128,371.00",470.00,"60,914,394.60",919,3.00,14.00,0.64,2.98,-0.32,472.13,458.81,575.00,326.00,11_05_2021
NBL,52.34,479.40,484.00,470.00,473.00,474.52,"128,371.00",470.00,"60,914,394.60",919,3.00,14.00,0.64,2.98,-0.32,472.13,458.81,575.00,326.00,11_06_2021
NBL,52.34,479.40,484.00,470.00,473.00,474.52,"128,371.00",470.00,"60,914,394.60",919,3.00,14.00,0.64,2.98,-0.32,472.13,458.81,575.00,326.00,11_07_2021
NBL,53.13,473.00,480.90,470.00,473.00,473.36,"55,431.00",473.00,"26,238,813.40",491,0.00,10.90,0.00,2.32,-0.08,472.59,459.28,575.00,326.00,11_08_2021
NBL,49.63,473.00,473.00,460.00,465.00,464.50,"102,887.00",473.00,"47,791,159.70",749,-8.00,13.00,-1.69,2.83,0.11,472.99,459.73,575.00,326.00,11_09_2021
NBL,52.76,473.00,473.00,460.00,465.00,464.50,"102,887.00",473.00,"47,791,159.70",749,-8.00,13.00,-1.69,2.83,0.11,472.99,459.73,575.00,326.00,11_10_2021
NBL,50.71,465.00,470.00,453.00,454.00,456.69,"90,966.00",465.00,"41,542,892.80",820,-11.00,17.00,-2.37,3.75,-0.59,473.30,460.06,575.00,326.00,11_11_2021
NBL,47.25,465.00,470.00,453.00,454.00,456.69,"90,966.00",465.00,"41,542,892.80",820,-11.00,17.00,-2.37,3.75,-0.59,473.30,460.06,575.00,326.00,11_12_2021
NBL,47.25,465.00,470.00,453.00,454.00,456.69,"90,966.00",465.00,"41,542,892.80",820,-11.00,17.00,-2.37,3.75,-0.59,473.30,460.06,575.00,326.00,11_13_2021
NBL,45.20,454.00,459.00,445.00,450.90,452.15,"69,586.00",454.00,"31,463,331.90",601,-3.10,14.00,-0.68,3.15,-0.28,473.58,460.40,575.00,326.00,11_14_2021
NBL,43.09,458.90,460.00,447.00,449.90,450.37,"95,462.00",450.90,"42,992,972.70",671,-1.00,13.00,-0.22,2.91,-0.10,473.84,460.74,575.00,326.00,11_15_2021
