Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NBLD87,0.00,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",10.00,0.00,"10,000.00",1,"1,000.00",0.00,0.00,0.00,0.00,-,-,"1,000.00","1,000.00",04_24_2022
NBLD87,37.96,"1,000.00","1,000.00","1,000.00","1,000.00",850.00,"12,500.00","1,000.00","10,625,000.00",1,0.00,0.00,0.00,0.00,15.00,-,-,"1,000.00","1,000.00",04_25_2022
NBLD87,39.44,"1,020.00","1,020.00","1,020.00","1,020.00","1,020.00",50.00,"1,000.00","51,000.00",1,20.00,0.00,2.00,0.00,0.00,-,-,"1,020.00","1,000.00",06_01_2022
NBLD87,36.66,999.60,999.60,922.20,922.20,960.54,50.00,"1,020.00","48,027.00",5,-97.80,77.40,-9.59,8.39,-4.16,-,-,"1,020.00",922.20,09_13_2022
NBLD87,22.00,903.80,903.80,903.80,903.80,903.80,25.00,922.20,"22,595.00",1,-18.40,0.00,-2.00,0.00,0.00,-,-,"1,020.00",903.80,09_15_2022
NBLD87,22.20,885.80,885.80,880.00,880.00,880.47,109.00,903.80,"95,971.00",5,-23.80,5.80,-2.63,0.66,-0.05,-,-,"1,020.00",880.00,09_22_2022
NBLD87,22.32,885.80,885.80,880.00,880.00,880.47,109.00,903.80,"95,971.00",5,-23.80,5.80,-2.63,0.66,-0.05,-,-,"1,020.00",880.00,09_23_2022
NBLD87,22.32,885.80,885.80,880.00,880.00,880.47,109.00,903.80,"95,971.00",5,-23.80,5.80,-2.63,0.66,-0.05,-,-,"1,020.00",880.00,09_24_2022
NBLD87,29.08,862.40,862.40,862.40,862.40,862.40,50.00,880.00,"43,120.00",2,-17.60,0.00,-2.00,0.00,0.00,-,-,"1,020.00",862.40,12_07_2022
NBLD87,23.98,862.40,862.40,862.40,862.40,862.40,50.00,880.00,"43,120.00",2,-17.60,0.00,-2.00,0.00,0.00,-,-,"1,020.00",862.40,12_08_2022
NBLD87,23.98,862.40,862.40,862.40,862.40,862.40,50.00,880.00,"43,120.00",2,-17.60,0.00,-2.00,0.00,0.00,-,-,"1,020.00",862.40,12_09_2022
NBLD87,23.98,862.40,862.40,862.40,862.40,862.40,50.00,880.00,"43,120.00",2,-17.60,0.00,-2.00,0.00,0.00,-,-,"1,020.00",862.40,12_10_2022
NBLD87,25.39,845.20,845.20,845.20,845.20,845.20,20.00,862.40,"16,904.00",2,-17.20,0.00,-1.99,0.00,0.00,-,-,"1,020.00",845.20,12_11_2022
NBLD87,27.84,828.30,828.30,811.80,811.80,823.14,32.00,845.20,"26,340.60",2,-33.40,16.50,-3.95,2.03,-1.40,-,-,"1,020.00",811.80,12_29_2022
NBLD87,30.15,828.30,828.30,811.80,811.80,823.14,32.00,845.20,"26,340.60",2,-33.40,16.50,-3.95,2.03,-1.40,-,-,"1,020.00",811.80,12_30_2022
NBLD87,30.15,828.30,828.30,811.80,811.80,823.14,32.00,845.20,"26,340.60",2,-33.40,16.50,-3.95,2.03,-1.40,-,-,"1,020.00",811.80,12_31_2022
NBLD87,31.33,795.60,795.60,780.00,780.00,783.27,425.00,811.80,"332,890.00",15,-31.80,15.60,-3.92,2.00,-0.42,-,-,"1,020.00",780.00,01_01_2023
NBLD87,35.77,764.40,770.00,750.70,760.00,762.90,505.00,780.00,"385,266.90",16,-20.00,19.30,-2.56,2.57,-0.38,-,-,"1,020.00",750.70,01_02_2023
NBLD87,38.43,750.10,761.00,750.10,760.00,758.49,217.00,760.00,"164,592.50",9,0.00,10.90,0.00,1.45,0.20,-,-,"1,020.00",750.10,01_03_2023
NBLD87,39.86,760.00,775.20,760.00,775.20,765.07,75.00,760.00,"57,380.00",3,15.20,15.20,2.00,2.00,1.31,-,-,"1,020.00",750.10,01_04_2023
NBLD87,40.87,770.00,770.00,770.00,770.00,770.00,25.00,775.20,"19,250.00",1,-5.20,0.00,-0.67,0.00,0.00,-,-,"1,020.00",750.10,01_05_2023
NBLD87,43.97,770.00,770.00,770.00,770.00,770.00,25.00,775.20,"19,250.00",1,-5.20,0.00,-0.67,0.00,0.00,-,-,"1,020.00",750.10,01_06_2023
NBLD87,43.97,770.00,770.00,770.00,770.00,770.00,25.00,775.20,"19,250.00",1,-5.20,0.00,-0.67,0.00,0.00,-,-,"1,020.00",750.10,01_07_2023
